provider_model,model_family,model_family_label,provider,current_model_size,current_size_class,current_parameter_b,current_size_evidence,artificial_analysis_lookup_url,artificial_analysis_evidence,review_model_size,review_parameter_b,review_notes
bytedance/ui-tars-1.5-7b,bytedance/ui-tars-1.5-7b,Ui Tars 1.5 7B,bytedance,Small,small,7,7B parsed from model name,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
bytedance-seed/seed-1.6,bytedance-seed/seed-1.6,Seed 1.6,bytedance-seed,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
bytedance-seed/seed-1.6-flash,bytedance-seed/seed-1.6-flash,Seed 1.6 Flash,bytedance-seed,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
bytedance-seed/seed-2.0-lite,bytedance-seed/seed-2.0-lite,Seed 2.0 Lite,bytedance-seed,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
bytedance-seed/seed-2.0-mini,bytedance-seed/seed-2.0-mini,Seed 2.0 mini,bytedance-seed,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
deepcogito/cogito-v2.1-671b,deepcogito/cogito-v2.1-671b,Cogito v2.1 671B,deepcogito,Large,large,671,671B parsed from model name,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
deepseek/deepseek-chat,deepseek/deepseek-chat,DeepSeek Chat,deepseek,Large,large,671,DeepSeek V3 family model card: 671B total / 37B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
deepseek/deepseek-chat-v3-0324,deepseek/deepseek-chat-v3-0324,DeepSeek Chat v3 0324,deepseek,Large,large,671,DeepSeek V3 model card: 671B total / 37B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
deepseek/deepseek-chat-v3.1,deepseek/deepseek-chat-v3.1,DeepSeek Chat v3.1,deepseek,Large,large,671,DeepSeek V3.1/V3 family: 671B total / 37B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
deepseek/deepseek-v3.1-terminus,deepseek/deepseek-v3.1-terminus,DeepSeek v3.1 Terminus,deepseek,Large,large,671,DeepSeek V3.1/V3 family: 671B total / 37B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
deepseek/deepseek-v3.2,deepseek/deepseek-v3.2,DeepSeek v3.2,deepseek,Large,large,671,DeepSeek V3.2/V3 family: 671B total / 37B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
deepseek/deepseek-v3.2-exp,deepseek/deepseek-v3.2-exp,DeepSeek v3.2 Exp,deepseek,Large,large,671,DeepSeek V3.2/V3 family: 671B total / 37B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
deepseek/deepseek-v4-flash,deepseek/deepseek-v4-flash,DeepSeek v4 Flash,deepseek,Large,large,284,DeepSeek V4 Flash model card: 284B total / 13B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,DeepSeek v4 Pro,deepseek,Large,large,1600,DeepSeek V4 Pro model card: 1.6T total / 49B active,https://artificialanalysis.ai/models/deepseek-v4-pro,local audit cites Artificial Analysis DeepSeek V4 Pro alongside official/Hugging Face sources for open-weight parameter evidence,,,
google/gemini-2.5-flash,google/gemini-2.5-flash,Gemini 2.5 Flash,google,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,google,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
google/gemini-2.5-pro,google/gemini-2.5-pro,Gemini 2.5 Pro,google,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
google/gemini-3-flash-preview,google/gemini-3-flash-preview,Gemini 3 Flash Preview,google,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Gemini 3.1 Flash Lite,google,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,google,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
google/gemini-3.5-flash,google/gemini-3.5-flash,Gemini 3.5 Flash,google,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
google/gemma-2-27b-it,google/gemma-2-27b-it,Gemma 2.27B IT,google,Small,small,27,27B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
google/gemma-2-9b,google/gemma-2-9b,Gemma 2.9B,google,Small,small,9,9B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
google/gemma-3-12b-it,google/gemma-3-12b-it,Gemma 3.12B IT,google,Small,small,12,12B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
google/gemma-3-27b-it,google/gemma-3-27b-it,Gemma 3.27B IT,google,Small,small,27,27B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
google/gemma-3-4b-it,google/gemma-3-4b-it,Gemma 3.4B IT,google,Tiny,tiny,4,4B parsed from model name,https://artificialanalysis.ai/models/open-source/tiny,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
google/gemma-3n-e4b-it,google/gemma-3n-e4b-it,Gemma 3n E4B IT,google,Small,small,8,Gemma 3n E4B model card: 8B raw / 4B effective accelerator footprint,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
google/gemma-4-26b-a4b-it,google/gemma-4-26b-a4b-it,Gemma 4.26B A4B IT,google,Small,small,26,26B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
google/gemma-4-31b-it,google/gemma-4-31b-it,Gemma 4.31B IT,google,Small,small,31,31B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
ibm-granite/granite-4.0-h-micro,ibm-granite/granite-4.0-h-micro,Granite 4.0 H Micro,ibm-granite,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-8b,Granite 4.1 8B,ibm-granite,Small,small,8,8B parsed from model name,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
inception/mercury-2,inception/mercury-2,Mercury 2,inception,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
inclusionai/ling-2.6-1t,inclusionai/ling-2.6-1t,Ling 2.6 1t,inclusionai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
inclusionai/ling-2.6-flash,inclusionai/ling-2.6-flash,Ling 2.6 Flash,inclusionai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
inclusionai/ling-3.0-flash:free,inclusionai/ling-3.0-flash:free,Ling 3.0 flash:free,inclusionai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
inclusionai/ring-2.6-1t,inclusionai/ring-2.6-1t,Ring 2.6 1t,inclusionai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
kwaipilot/kat-coder-air-v2.5,kwaipilot/kat-coder-air-v2.5,Kat Coder Air v2.5,kwaipilot,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
kwaipilot/kat-coder-pro-v2.5,kwaipilot/kat-coder-pro-v2.5,Kat Coder Pro v2.5,kwaipilot,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
meta/muse-spark-1.1,meta/muse-spark-1.1,Muse Spark 1.1,meta,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
meta-llama/llama-3-70b-instruct,meta-llama/llama-3-70b-instruct,Llama 3 70B Instruct,meta-llama,Medium,medium,70,70B parsed from model name,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
meta-llama/llama-3-8b-instruct,meta-llama/llama-3-8b-instruct,Llama 3 8B Instruct,meta-llama,Small,small,8,8B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
meta-llama/llama-3.1-70b-instruct,meta-llama/llama-3.1-70b-instruct,Llama 3.1 70B Instruct,meta-llama,Medium,medium,70,70B parsed from model name,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.1-8b-instruct,Llama 3.1 8B Instruct,meta-llama,Small,small,8,8B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
meta-llama/llama-3.2-11b-vision-instruct,meta-llama/llama-3.2-11b-vision-instruct,Llama 3.2 11B Vision Instruct,meta-llama,Small,small,11,11B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
meta-llama/llama-3.2-1b-instruct,meta-llama/llama-3.2-1b-instruct,Llama 3.2 1B Instruct,meta-llama,Tiny,tiny,1,1B parsed from model name,https://artificialanalysis.ai/models/open-source/tiny,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B Instruct,meta-llama,Medium,medium,70,70B parsed from model name,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
meta-llama/llama-4-maverick,meta-llama/llama-4-maverick,Llama 4 Maverick,meta-llama,Large,large,400,Meta Llama 4 Maverick model card: 400B total / 17B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
meta-llama/llama-4-scout,meta-llama/llama-4-scout,Llama 4 Scout,meta-llama,Medium,medium,109,Meta Llama 4 Scout model card: 109B total / 17B active,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
microsoft/phi-4,microsoft/phi-4,Phi 4,microsoft,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
microsoft/wizardlm-2-8x22b,microsoft/wizardlm-2-8x22b,Wizardlm 2 8x22b,microsoft,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
minimax/minimax-m2,minimax/minimax-m2,MiniMax m2,minimax,Large,large,230,MiniMax M2 family model card: 230B total / 10B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
minimax/minimax-m2.1,minimax/minimax-m2.1,MiniMax m2.1,minimax,Large,large,230,MiniMax M2 family model card: 230B total / 10B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
minimax/minimax-m2.5,minimax/minimax-m2.5,MiniMax m2.5,minimax,Large,large,230,MiniMax M2 family model card: 230B total / 10B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
minimax/minimax-m2.7,minimax/minimax-m2.7,MiniMax m2.7,minimax,Large,large,230,MiniMax M2 family model card: 230B total / 10B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
minimax/minimax-m3,minimax/minimax-m3,MiniMax m3,minimax,Large,large,428,MiniMax M3 model card: 428B total / 23B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
mistralai/codestral-2508,mistralai/codestral-2508,Codestral 2508,mistralai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
mistralai/devstral-2512,mistralai/devstral-2512,Devstral 2512,mistralai,Medium,medium,123,Mistral 3 family model card: 123B,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
mistralai/ministral-14b-2512,mistralai/ministral-14b-2512,Ministral 14B 2512,mistralai,Small,small,14,14B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
mistralai/ministral-3b-2512,mistralai/ministral-3b-2512,Ministral 3B 2512,mistralai,Tiny,tiny,3,3B parsed from model name,https://artificialanalysis.ai/models/open-source/tiny,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
mistralai/ministral-8b-2512,mistralai/ministral-8b-2512,Ministral 8B 2512,mistralai,Small,small,8,8B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
mistralai/mistral-large,mistralai/mistral-large,Mistral Large,mistralai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
mistralai/mistral-large-2407,mistralai/mistral-large-2407,Mistral Large 2407,mistralai,Medium,medium,123,Mistral Large 2407 family: 123B,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
mistralai/mistral-large-2512,mistralai/mistral-large-2512,Mistral Large 2512,mistralai,Large,large,675,Mistral Large 2512 model card: 675B total / 41B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
mistralai/mistral-medium-3,mistralai/mistral-medium-3,Mistral Medium 3,mistralai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
mistralai/mistral-medium-3.1,mistralai/mistral-medium-3.1,Mistral Medium 3.1,mistralai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
mistralai/mistral-medium-3-5,mistralai/mistral-medium-3-5,Mistral Medium 3.5,mistralai,Medium,medium,128,Mistral Medium 3.5 model card: 128B dense,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
mistralai/mistral-nemo,mistralai/mistral-nemo,Mistral Nemo,mistralai,Small,small,12,Mistral Nemo model card: 12B,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
mistralai/mistral-saba,mistralai/mistral-saba,Mistral Saba,mistralai,Small,small,24,Mistral Saba launch/model card: 24B,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
mistralai/mistral-small-24b-instruct-2501,mistralai/mistral-small-24b-instruct-2501,Mistral Small 24B Instruct 2501,mistralai,Small,small,24,24B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
mistralai/mistral-small-2603,mistralai/mistral-small-2603,Mistral Small 2603,mistralai,Medium,medium,119,Mistral 3 family model card: 119B,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct,Mistral Small 3.2 24B Instruct,mistralai,Small,small,24,24B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
mistralai/mixtral-8x22b-instruct,mistralai/mixtral-8x22b-instruct,Mixtral 8x22b Instruct,mistralai,Medium,medium,141,Mixtral 8x22B model card: 141B total / 39B active,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
mistralai/voxtral-small-24b-2507,mistralai/voxtral-small-24b-2507,Voxtral Small 24B 2507,mistralai,Small,small,24,24B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
moonshotai/kimi-k2,moonshotai/kimi-k2,Kimi k2,moonshotai,Large,large,1000,Moonshot Kimi K2 model card: 1T total / 32B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
moonshotai/kimi-k2-thinking,moonshotai/kimi-k2,Kimi k2,moonshotai,Large,large,1000,Moonshot Kimi K2 model card: 1T total / 32B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
moonshotai/kimi-k2-0905,moonshotai/kimi-k2-0905,Kimi k2.0905,moonshotai,Large,large,1000,Moonshot Kimi K2 model card: 1T total / 32B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
moonshotai/kimi-k2.5,moonshotai/kimi-k2.5,Kimi k2.5,moonshotai,Large,large,1000,Moonshot Kimi K2 family: 1T total / 32B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
moonshotai/kimi-k2.6,moonshotai/kimi-k2.6,Kimi k2.6,moonshotai,Large,large,1000,Moonshot Kimi K2 family: 1T total / 32B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
moonshotai/kimi-k2.7-code,moonshotai/kimi-k2.7-code,Kimi k2.7 Code,moonshotai,Large,large,1000,Moonshot Kimi K2 family: 1T total / 32B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
moonshotai/kimi-k3,moonshotai/kimi-k3,Kimi k3,moonshotai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
morph/morph-v3-fast,morph/morph-v3-fast,Morph v3 Fast,morph,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
morph/morph-v3-large,morph/morph-v3-large,Morph v3 Large,morph,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
nex-agi/nex-n2-pro,nex-agi/nex-n2-pro,Nex n2 Pro,nex-agi,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
nex-agi/nex-n2-mini,nex-agi/nex-n2-mini,Nex n2 mini,nex-agi,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
nousresearch/hermes-3-llama-3.1-405b,nousresearch/hermes-3-llama-3.1-405b,Hermes 3 Llama 3.1 405B,nousresearch,Large,large,405,405B parsed from model name,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
nousresearch/hermes-3-llama-3.1-70b,nousresearch/hermes-3-llama-3.1-70b,Hermes 3 Llama 3.1 70B,nousresearch,Medium,medium,70,70B parsed from model name,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
nousresearch/hermes-4-405b,nousresearch/hermes-4-405b,Hermes 4 405B,nousresearch,Large,large,405,405B parsed from model name,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
nousresearch/hermes-4-70b,nousresearch/hermes-4-70b,Hermes 4 70B,nousresearch,Medium,medium,70,70B parsed from model name,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,Nemotron 3 Super 120B A12B,nvidia,Medium,medium,120,120B parsed from model name,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
nvidia/nemotron-3-ultra-550b-a55b,nvidia/nemotron-3-ultra-550b-a55b,Nemotron 3 Ultra 550B A55B,nvidia,Large,large,550,550B parsed from model name,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
