entry_id,source_thinking_entry_id,label,inspect_model,provider_route,control_style,thinking_depth,max_tokens,estimated_cost_usd,configured_reasoning_tokens_per_sample,estimated_reasoning_tokens_per_sample
top-thinking-023-grok-grok-4-3-high,grok-grok-4-3-high,Grok 4.3 high,grok/grok-4.3,grok,xai_reasoning_effort,high,4168,0.10813625,4096,512
top-thinking-024-openrouter-x-ai-grok-4-3-none,openrouter-x-ai-grok-4-3-none,xAI: Grok 4.3 none,openrouter/x-ai/grok-4.3,openrouter,openrouter_reasoning_effort,none,2000,0.00573625,0,0
top-thinking-025-openrouter-x-ai-grok-4-3-low,openrouter-x-ai-grok-4-3-low,xAI: Grok 4.3 low,openrouter/x-ai/grok-4.3,openrouter,openrouter_reasoning_effort,low,2000,0.03133625,512,128
top-thinking-026-openrouter-x-ai-grok-4-3-medium,openrouter-x-ai-grok-4-3-medium,xAI: Grok 4.3 medium,openrouter/x-ai/grok-4.3,openrouter,openrouter_reasoning_effort,medium,2120,0.05693625,2048,256
top-thinking-027-openrouter-x-ai-grok-4-3-high,openrouter-x-ai-grok-4-3-high,xAI: Grok 4.3 high,openrouter/x-ai/grok-4.3,openrouter,openrouter_reasoning_effort,high,8264,0.10813625,8192,512
top-thinking-028-openrouter-google-gemini-3-5-flash-minimal,openrouter-google-gemini-3-5-flash-minimal,Google: Gemini 3.5 Flash minimal,openrouter/google/gemini-3.5-flash,openrouter,openrouter_reasoning_effort,minimal,2000,0.0337635,64,32
top-thinking-029-openrouter-google-gemini-3-5-flash-low,openrouter-google-gemini-3-5-flash-low,Google: Gemini 3.5 Flash low,openrouter/google/gemini-3.5-flash,openrouter,openrouter_reasoning_effort,low,2000,0.0568035,512,64
top-thinking-030-openrouter-google-gemini-3-5-flash-medium,openrouter-google-gemini-3-5-flash-medium,Google: Gemini 3.5 Flash medium,openrouter/google/gemini-3.5-flash,openrouter,openrouter_reasoning_effort,medium,2120,0.1489635,2048,192
top-thinking-031-openrouter-google-gemini-3-5-flash-high,openrouter-google-gemini-3-5-flash-high,Google: Gemini 3.5 Flash high,openrouter/google/gemini-3.5-flash,openrouter,openrouter_reasoning_effort,high,8264,0.2872035,8192,384
top-thinking-032-openrouter-google-gemini-3-1-pro-preview-customtools-low,openrouter-google-gemini-3-1-pro-preview-customtools-low,Google: Gemini 3.1 Pro Preview Custom Tools low,openrouter/google/gemini-3.1-pro-preview-customtools,openrouter,openrouter_reasoning_effort,low,2000,0.075738,512,64
top-thinking-033-openrouter-google-gemini-3-1-pro-preview-customtools-high,openrouter-google-gemini-3-1-pro-preview-customtools-high,Google: Gemini 3.1 Pro Preview Custom Tools high,openrouter/google/gemini-3.1-pro-preview-customtools,openrouter,openrouter_reasoning_effort,high,8264,0.382938,8192,384
top-thinking-034-openrouter-google-gemini-3-1-flash-lite-minimal,openrouter-google-gemini-3-1-flash-lite-minimal,Google: Gemini 3.1 Flash Lite minimal,openrouter/google/gemini-3.1-flash-lite,openrouter,openrouter_reasoning_effort,minimal,2000,0.00562725,64,32
top-thinking-035-openrouter-google-gemini-3-1-flash-lite-low,openrouter-google-gemini-3-1-flash-lite-low,Google: Gemini 3.1 Flash Lite low,openrouter/google/gemini-3.1-flash-lite,openrouter,openrouter_reasoning_effort,low,2000,0.00946725,512,64
top-thinking-036-openrouter-google-gemini-3-1-flash-lite-medium,openrouter-google-gemini-3-1-flash-lite-medium,Google: Gemini 3.1 Flash Lite medium,openrouter/google/gemini-3.1-flash-lite,openrouter,openrouter_reasoning_effort,medium,2120,0.02482725,2048,192
top-thinking-037-openrouter-google-gemini-3-1-flash-lite-high,openrouter-google-gemini-3-1-flash-lite-high,Google: Gemini 3.1 Flash Lite high,openrouter/google/gemini-3.1-flash-lite,openrouter,openrouter_reasoning_effort,high,8264,0.04786725,8192,384
