mode,trial,sample_id,answer_correct,strict_correct,provider_error,timeout,failure_type,target,item_type,lure_type,needle,collection_label,matches,question
none,1,obviousbench.char_count.en.v0.private.100069,False,False,False,False,incorrect_count,1,positive_control,positive_control_sticky_domain,mer,season names,summer,"How many of these season names contain the exact letter sequence ""mer"": spring, summer, autumn, winter?"
none,1,obviousbench.char_count.en.v0.private.100072,False,False,False,False,incorrect_count,1,positive_control,positive_control,x,NATO alphabet words,foxtrot,"How many of these NATO alphabet words contain the exact letter sequence ""x"": alpha, bravo, charlie, delta, echo, foxtrot?"
none,1,obviousbench.char_count.en.v0.private.100073,False,False,False,False,incorrect_count,2,positive_control,positive_control,angle,shape names,triangle;rectangle,"How many of these shape names contain the exact letter sequence ""angle"": circle, square, triangle, rectangle?"
none,1,obviousbench.char_count.en.v0.private.100075,False,False,False,False,incorrect_count,4,positive_control,positive_control,eta,Greek letter names,beta;zeta;eta;theta,"How many of these Greek letter names contain the exact letter sequence ""eta"": alpha, beta, gamma, delta, epsilon, zeta, eta, theta, iota, kappa?"
none,1,obviousbench.char_count.en.v0.private.100080,False,False,False,False,incorrect_count,1,positive_control,positive_control,saw,tool names,saw,"How many of these tool names contain the exact letter sequence ""saw"": hammer, saw, wrench, pliers, drill?"
none,2,obviousbench.char_count.en.v0.private.100015,False,False,False,False,incorrect_count,0,absent_zero,semantic_lure,cat,secondary colors,,"How many of these secondary colors contain the exact letter sequence ""cat"": orange, green, purple?"
none,2,obviousbench.char_count.en.v0.private.100022,False,False,False,False,incorrect_count,0,absent_zero,semantic_lure,cat,programming language names,,"How many of these programming language names contain the exact letter sequence ""cat"": Python, Java, Ruby, Go, Rust, Swift, Kotlin?"
none,2,obviousbench.char_count.en.v0.private.100028,False,False,False,False,incorrect_count,0,absent_zero,semantic_lure,cat,US bill value names,,"How many of these US bill value names contain the exact letter sequence ""cat"": one, five, ten, twenty, fifty, hundred?"
none,2,obviousbench.char_count.en.v0.private.100035,False,False,False,False,incorrect_count,0,absent_zero,near_subsequence_lure,cat,punctuation mark names,,"How many of these punctuation mark names contain the exact letter sequence ""cat"": comma, period, colon, semicolon, question mark, exclamation point?"
none,2,obviousbench.char_count.en.v0.private.100041,False,False,False,False,incorrect_count,0,absent_zero,semantic_lure,cat,Boolean words,,"How many of these Boolean words contain the exact letter sequence ""cat"": true, false?"
none,2,obviousbench.char_count.en.v0.private.100069,False,False,False,False,incorrect_count,1,positive_control,positive_control_sticky_domain,mer,season names,summer,"How many of these season names contain the exact letter sequence ""mer"": spring, summer, autumn, winter?"
none,2,obviousbench.char_count.en.v0.private.100072,False,False,False,False,incorrect_count,1,positive_control,positive_control,x,NATO alphabet words,foxtrot,"How many of these NATO alphabet words contain the exact letter sequence ""x"": alpha, bravo, charlie, delta, echo, foxtrot?"
none,2,obviousbench.char_count.en.v0.private.100073,False,False,False,False,incorrect_count,2,positive_control,positive_control,angle,shape names,triangle;rectangle,"How many of these shape names contain the exact letter sequence ""angle"": circle, square, triangle, rectangle?"
none,2,obviousbench.char_count.en.v0.private.100075,False,False,False,False,incorrect_count,4,positive_control,positive_control,eta,Greek letter names,beta;zeta;eta;theta,"How many of these Greek letter names contain the exact letter sequence ""eta"": alpha, beta, gamma, delta, epsilon, zeta, eta, theta, iota, kappa?"
none,2,obviousbench.char_count.en.v0.private.100080,False,False,False,False,incorrect_count,1,positive_control,positive_control,saw,tool names,saw,"How many of these tool names contain the exact letter sequence ""saw"": hammer, saw, wrench, pliers, drill?"
none,3,obviousbench.char_count.en.v0.private.100015,False,False,False,False,incorrect_count,0,absent_zero,semantic_lure,cat,secondary colors,,"How many of these secondary colors contain the exact letter sequence ""cat"": orange, green, purple?"
none,3,obviousbench.char_count.en.v0.private.100022,False,False,False,False,incorrect_count,0,absent_zero,semantic_lure,cat,programming language names,,"How many of these programming language names contain the exact letter sequence ""cat"": Python, Java, Ruby, Go, Rust, Swift, Kotlin?"
none,3,obviousbench.char_count.en.v0.private.100028,False,False,False,False,incorrect_count,0,absent_zero,semantic_lure,cat,US bill value names,,"How many of these US bill value names contain the exact letter sequence ""cat"": one, five, ten, twenty, fifty, hundred?"
none,3,obviousbench.char_count.en.v0.private.100035,False,False,False,False,incorrect_count,0,absent_zero,near_subsequence_lure,cat,punctuation mark names,,"How many of these punctuation mark names contain the exact letter sequence ""cat"": comma, period, colon, semicolon, question mark, exclamation point?"
none,3,obviousbench.char_count.en.v0.private.100041,False,False,False,False,incorrect_count,0,absent_zero,semantic_lure,cat,Boolean words,,"How many of these Boolean words contain the exact letter sequence ""cat"": true, false?"
none,3,obviousbench.char_count.en.v0.private.100069,False,False,False,False,incorrect_count,1,positive_control,positive_control_sticky_domain,mer,season names,summer,"How many of these season names contain the exact letter sequence ""mer"": spring, summer, autumn, winter?"
none,3,obviousbench.char_count.en.v0.private.100072,False,False,False,False,incorrect_count,1,positive_control,positive_control,x,NATO alphabet words,foxtrot,"How many of these NATO alphabet words contain the exact letter sequence ""x"": alpha, bravo, charlie, delta, echo, foxtrot?"
none,3,obviousbench.char_count.en.v0.private.100073,False,False,False,False,incorrect_count,2,positive_control,positive_control,angle,shape names,triangle;rectangle,"How many of these shape names contain the exact letter sequence ""angle"": circle, square, triangle, rectangle?"
none,3,obviousbench.char_count.en.v0.private.100075,False,False,False,False,incorrect_count,4,positive_control,positive_control,eta,Greek letter names,beta;zeta;eta;theta,"How many of these Greek letter names contain the exact letter sequence ""eta"": alpha, beta, gamma, delta, epsilon, zeta, eta, theta, iota, kappa?"
none,3,obviousbench.char_count.en.v0.private.100080,False,False,False,False,incorrect_count,1,positive_control,positive_control,saw,tool names,saw,"How many of these tool names contain the exact letter sequence ""saw"": hammer, saw, wrench, pliers, drill?"
