curve,model,mode,sample_id,family,answer_successes,strict_successes,correct_successes,trials,question
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,obviousbench.format.en.v0.public.000004,format_compliance,3,1,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,obviousbench.format.en.v0.public.000006,format_compliance,3,2,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,obviousbench.format.en.v0.public.000008,format_compliance,3,2,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,obviousbench.format.en.v0.public.000018,format_compliance,3,1,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,obviousbench.format.en.v0.public.000020,format_compliance,3,2,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,obviousbench.format.en.v0.public.000022,format_compliance,3,2,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,obviousbench.format.en.v0.public.000032,format_compliance,3,2,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,obviousbench.format.en.v0.public.000042,format_compliance,3,2,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,obviousbench.format.en.v0.public.000044,format_compliance,3,2,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,obviousbench.format.en.v0.public.000046,format_compliance,3,2,3,3,"Return a JSON object with exactly one key, ""answer"", whose value is ""blue""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,obviousbench.format.en.v0.public.000049,format_compliance,3,1,3,3,"Return a JSON object with exactly one key, ""answer"", whose value is ""north""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,obviousbench.format.en.v0.public.000050,format_compliance,3,2,3,3,"Return a JSON object with exactly one key, ""answer"", whose value is ""true""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,obviousbench.spell.en.v0.public.000005,spelling_transform,3,2,3,3,Write necessary without the letter e.
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,max,obviousbench.constraint.en.v0.public.000010,constraint_awareness,2,0,2,3,"The motorcycle mechanic is one block away. If my motorcycle needs an oil change, should I walk there or ride the motorcycle there?

A. Walk there
B. Ride the motorcycle there
C. Take a bus
D. It is impossible"
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,max,obviousbench.spell.en.v0.public.000024,spelling_transform,2,0,2,3,Spell bookkeeper backwards.
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,max,obviousbench.spell.en.v0.public.000027,spelling_transform,2,2,2,3,Spell reliability backwards.
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,max,obviousbench.negation.en.v0.public.000021,negation,3,1,3,3,"Which word does not contain the letter e?

A. tree
B. stone
C. cat
D. green"
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,max,obviousbench.spell.en.v0.public.000014,spelling_transform,3,1,3,3,Write planet without the letter e.
GPT-5.5,openai/gpt-5.5,none,obviousbench.char_count.en.v0.public.000036,character_count,1,1,1,3,How many s's are in responsiveness?
GPT-5.5,openai/gpt-5.5,none,obviousbench.constraint.en.v0.public.000041,constraint_awareness,2,2,2,3,"The luggage store is across the mall. If I am returning my suitcase, should I move my things to a backpack or roll or carry the suitcase there?

A. Move my things to a backpack
B. Roll or carry the suitcase there
C. Bring only the luggage tag
D. It is impossible"
GPT-5.5,openai/gpt-5.5,none,obviousbench.negation.en.v0.public.000030,negation,2,2,2,3,"Which animal does not have legs?

A. dog
B. horse
C. snake
D. cat"
GPT-5.5,openai/gpt-5.5,none,obviousbench.spell.en.v0.public.000007,spelling_transform,2,2,2,3,Spell sentence backwards.
GPT-5.5,openai/gpt-5.5,medium,obviousbench.arith.en.v0.public.000015,arithmetic,2,2,2,3,What is 17 + 22 - 1?
GPT-5.5,openai/gpt-5.5,medium,obviousbench.constraint.en.v0.public.000013,constraint_awareness,2,2,2,3,"The bike shop is around the corner. If my bike needs a tune-up, should I walk there or ride the bike there?

A. Walk there
B. Ride the bike there
C. Drive a car there
D. It is impossible"
GPT-5.5,openai/gpt-5.5,high,obviousbench.constraint.en.v0.public.000013,constraint_awareness,2,2,2,3,"The bike shop is around the corner. If my bike needs a tune-up, should I walk there or ride the bike there?

A. Walk there
B. Ride the bike there
C. Drive a car there
D. It is impossible"
GPT-5.5,openai/gpt-5.5,high,obviousbench.constraint.en.v0.public.000041,constraint_awareness,2,2,2,3,"The luggage store is across the mall. If I am returning my suitcase, should I move my things to a backpack or roll or carry the suitcase there?

A. Move my things to a backpack
B. Roll or carry the suitcase there
C. Bring only the luggage tag
D. It is impossible"
GPT-5.5,openai/gpt-5.5,high,obviousbench.spell.en.v0.public.000022,spelling_transform,2,2,2,3,Write parallel without the letter e.
GPT-5.5,openai/gpt-5.5,xhigh,obviousbench.char_count.en.v0.public.000010,character_count,2,2,2,3,How many l's are in google?
GPT-5.5,openai/gpt-5.5,xhigh,obviousbench.negation.en.v0.public.000026,negation,2,2,2,3,"Which word does not contain the letter a?

A. apple
B. chair
C. stone
D. table"
