mode,trial,sample_id,answer_correct,strict_correct,provider_error,timeout,failure_type,target,item_type,suite_split,split,lure_type,needle,collection_label,matches,question
none,1,obviousbench.char_count.en.v0.private.260825,False,False,False,False,incorrect_count,3,positive_control,main_eval,private_v0,positive_control_multi,ur,planet names,Mercury;Saturn;Uranus,"How many of these planet names contain the exact letter sequence ""ur"": Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune?"
none,1,obviousbench.char_count.en.v0.private.260827,False,False,False,False,incorrect_count,3,positive_control,challenge,private_v0,positive_control_multi,ium,chemical element names,helium;lithium;beryllium,"How many of these chemical element names contain the exact letter sequence ""ium"": hydrogen, helium, lithium, beryllium, boron, carbon, nitrogen, oxygen, fluorine, neon?"
none,1,obviousbench.char_count.en.v0.private.260829,False,False,False,False,incorrect_count,1,positive_control,main_eval,private_v0,positive_control_single,or,rainbow colors,orange,"How many of these rainbow colors contain the exact letter sequence ""or"": red, orange, yellow, green, blue, indigo, violet?"
none,1,obviousbench.char_count.en.v0.private.260830,False,False,False,False,incorrect_count,1,positive_control,main_eval,private_v0,positive_control_single,mar,month names,March,"How many of these month names contain the exact letter sequence ""mar"": January, February, March, April, May, June, July, August, September, October, November, December?"
none,1,obviousbench.char_count.en.v0.private.260831,False,False,False,False,incorrect_count,1,positive_control,main_eval,private_v0,positive_control_single,in,rainbow colors,indigo,"How many of these rainbow colors contain the exact letter sequence ""in"": red, orange, yellow, green, blue, indigo, violet?"
none,1,obviousbench.char_count.en.v0.private.260832,False,False,False,False,incorrect_count,1,positive_control,main_eval,private_v0,positive_control_single,dia,card suit names,diamonds,"How many of these card suit names contain the exact letter sequence ""dia"": hearts, diamonds, clubs, spades?"
none,1,obviousbench.char_count.en.v0.private.260833,False,False,False,False,incorrect_count,1,positive_control,main_eval,private_v0,positive_control_single,nick,US coin names,nickel,"How many of these US coin names contain the exact letter sequence ""nick"": penny, nickel, dime, quarter?"
none,1,obviousbench.char_count.en.v0.private.260834,False,False,False,False,incorrect_count,3,positive_control,main_eval,private_v0,positive_control_multi,an,fruit names,banana;mango;orange,"How many of these fruit names contain the exact letter sequence ""an"": apple, banana, cherry, grape, lemon, mango, orange, peach, pear, plum?"
none,1,obviousbench.char_count.en.v0.private.260849,False,False,False,False,incorrect_count,2,positive_control,challenge,private_v0,positive_control_single,dom,taxonomic rank names,domain;kingdom,"How many of these taxonomic rank names contain the exact letter sequence ""dom"": domain, kingdom, phylum, class, order, family, genus, species?"
none,1,obviousbench.char_count.en.v0.private.260850,False,False,False,False,incorrect_count,3,positive_control,challenge,private_v0,positive_control_multi,tion,arithmetic operation names,addition;subtraction;multiplication,"How many of these arithmetic operation names contain the exact letter sequence ""tion"": addition, subtraction, multiplication, division?"
none,2,obviousbench.char_count.en.v0.private.260709,False,False,False,False,incorrect_count,0,absent_zero,challenge,private_v0,semantic_lure,cat,secondary colors,,"How many of these secondary colors contain the exact letter sequence ""cat"": orange, green, purple?"
none,2,obviousbench.char_count.en.v0.private.260722,False,False,False,False,incorrect_count,0,absent_zero,challenge,private_v0,semantic_lure,cat,US bill value names,,"How many of these US bill value names contain the exact letter sequence ""cat"": one, five, ten, twenty, fifty, hundred?"
none,2,obviousbench.char_count.en.v0.private.260729,False,False,False,False,incorrect_count,0,absent_zero,challenge,private_v0,near_subsequence_lure,cat,punctuation mark names,,"How many of these punctuation mark names contain the exact letter sequence ""cat"": comma, period, colon, semicolon, question mark, exclamation point?"
none,2,obviousbench.char_count.en.v0.private.260735,False,False,False,False,incorrect_count,0,absent_zero,challenge,private_v0,semantic_lure,cat,Boolean words,,"How many of these Boolean words contain the exact letter sequence ""cat"": true, false?"
none,2,obviousbench.char_count.en.v0.private.260759,False,False,False,False,incorrect_count,1,positive_control,challenge,private_v0,positive_control_sticky_domain,mer,season names,summer,"How many of these season names contain the exact letter sequence ""mer"": spring, summer, autumn, winter?"
none,2,obviousbench.char_count.en.v0.private.260762,False,False,False,False,incorrect_count,1,positive_control,challenge,private_v0,positive_control,x,NATO alphabet words,foxtrot,"How many of these NATO alphabet words contain the exact letter sequence ""x"": alpha, bravo, charlie, delta, echo, foxtrot?"
none,2,obviousbench.char_count.en.v0.private.260763,False,False,False,False,incorrect_count,2,positive_control,challenge,private_v0,positive_control,angle,shape names,triangle;rectangle,"How many of these shape names contain the exact letter sequence ""angle"": circle, square, triangle, rectangle?"
none,2,obviousbench.char_count.en.v0.private.260765,False,False,False,False,incorrect_count,4,positive_control,challenge,private_v0,positive_control,eta,Greek letter names,beta;zeta;eta;theta,"How many of these Greek letter names contain the exact letter sequence ""eta"": alpha, beta, gamma, delta, epsilon, zeta, eta, theta, iota, kappa?"
none,2,obviousbench.char_count.en.v0.private.260770,False,False,False,False,incorrect_count,1,positive_control,challenge,private_v0,positive_control,saw,tool names,saw,"How many of these tool names contain the exact letter sequence ""saw"": hammer, saw, wrench, pliers, drill?"
none,2,obviousbench.char_count.en.v0.private.260815,False,False,False,False,incorrect_count,0,absent_zero,challenge,private_v0,semantic_lure,plus,arithmetic operation names,,"How many of these arithmetic operation names contain the exact letter sequence ""plus"": addition, subtraction, multiplication, division?"
none,2,obviousbench.char_count.en.v0.private.260818,False,False,False,False,incorrect_count,0,absent_zero,main_eval,private_v0,lexical_absence,net,web browser names,,"How many of these web browser names contain the exact letter sequence ""net"": Chrome, Firefox, Safari, Edge, Opera?"
none,2,obviousbench.char_count.en.v0.private.260822,False,False,False,False,incorrect_count,4,positive_control,challenge,private_v0,positive_control_many,ber,month names,September;October;November;December,"How many of these month names contain the exact letter sequence ""ber"": January, February, March, April, May, June, July, August, September, October, November, December?"
none,2,obviousbench.char_count.en.v0.private.260825,False,False,False,False,incorrect_count,3,positive_control,main_eval,private_v0,positive_control_multi,ur,planet names,Mercury;Saturn;Uranus,"How many of these planet names contain the exact letter sequence ""ur"": Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune?"
none,2,obviousbench.char_count.en.v0.private.260827,False,False,False,False,incorrect_count,3,positive_control,challenge,private_v0,positive_control_multi,ium,chemical element names,helium;lithium;beryllium,"How many of these chemical element names contain the exact letter sequence ""ium"": hydrogen, helium, lithium, beryllium, boron, carbon, nitrogen, oxygen, fluorine, neon?"
none,2,obviousbench.char_count.en.v0.private.260829,False,False,False,False,incorrect_count,1,positive_control,main_eval,private_v0,positive_control_single,or,rainbow colors,orange,"How many of these rainbow colors contain the exact letter sequence ""or"": red, orange, yellow, green, blue, indigo, violet?"
none,2,obviousbench.char_count.en.v0.private.260830,False,False,False,False,incorrect_count,1,positive_control,main_eval,private_v0,positive_control_single,mar,month names,March,"How many of these month names contain the exact letter sequence ""mar"": January, February, March, April, May, June, July, August, September, October, November, December?"
none,2,obviousbench.char_count.en.v0.private.260831,False,False,False,False,incorrect_count,1,positive_control,main_eval,private_v0,positive_control_single,in,rainbow colors,indigo,"How many of these rainbow colors contain the exact letter sequence ""in"": red, orange, yellow, green, blue, indigo, violet?"
none,2,obviousbench.char_count.en.v0.private.260832,False,False,False,False,incorrect_count,1,positive_control,main_eval,private_v0,positive_control_single,dia,card suit names,diamonds,"How many of these card suit names contain the exact letter sequence ""dia"": hearts, diamonds, clubs, spades?"
none,2,obviousbench.char_count.en.v0.private.260833,False,False,False,False,incorrect_count,1,positive_control,main_eval,private_v0,positive_control_single,nick,US coin names,nickel,"How many of these US coin names contain the exact letter sequence ""nick"": penny, nickel, dime, quarter?"
none,2,obviousbench.char_count.en.v0.private.260834,False,False,False,False,incorrect_count,3,positive_control,main_eval,private_v0,positive_control_multi,an,fruit names,banana;mango;orange,"How many of these fruit names contain the exact letter sequence ""an"": apple, banana, cherry, grape, lemon, mango, orange, peach, pear, plum?"
none,2,obviousbench.char_count.en.v0.private.260849,False,False,False,False,incorrect_count,2,positive_control,challenge,private_v0,positive_control_single,dom,taxonomic rank names,domain;kingdom,"How many of these taxonomic rank names contain the exact letter sequence ""dom"": domain, kingdom, phylum, class, order, family, genus, species?"
none,2,obviousbench.char_count.en.v0.private.260850,False,False,False,False,incorrect_count,3,positive_control,challenge,private_v0,positive_control_multi,tion,arithmetic operation names,addition;subtraction;multiplication,"How many of these arithmetic operation names contain the exact letter sequence ""tion"": addition, subtraction, multiplication, division?"
none,3,obviousbench.char_count.en.v0.private.260709,False,False,False,False,incorrect_count,0,absent_zero,challenge,private_v0,semantic_lure,cat,secondary colors,,"How many of these secondary colors contain the exact letter sequence ""cat"": orange, green, purple?"
none,3,obviousbench.char_count.en.v0.private.260722,False,False,False,False,incorrect_count,0,absent_zero,challenge,private_v0,semantic_lure,cat,US bill value names,,"How many of these US bill value names contain the exact letter sequence ""cat"": one, five, ten, twenty, fifty, hundred?"
none,3,obviousbench.char_count.en.v0.private.260729,False,False,False,False,incorrect_count,0,absent_zero,challenge,private_v0,near_subsequence_lure,cat,punctuation mark names,,"How many of these punctuation mark names contain the exact letter sequence ""cat"": comma, period, colon, semicolon, question mark, exclamation point?"
none,3,obviousbench.char_count.en.v0.private.260735,False,False,False,False,incorrect_count,0,absent_zero,challenge,private_v0,semantic_lure,cat,Boolean words,,"How many of these Boolean words contain the exact letter sequence ""cat"": true, false?"
none,3,obviousbench.char_count.en.v0.private.260759,False,False,False,False,incorrect_count,1,positive_control,challenge,private_v0,positive_control_sticky_domain,mer,season names,summer,"How many of these season names contain the exact letter sequence ""mer"": spring, summer, autumn, winter?"
none,3,obviousbench.char_count.en.v0.private.260762,False,False,False,False,incorrect_count,1,positive_control,challenge,private_v0,positive_control,x,NATO alphabet words,foxtrot,"How many of these NATO alphabet words contain the exact letter sequence ""x"": alpha, bravo, charlie, delta, echo, foxtrot?"
none,3,obviousbench.char_count.en.v0.private.260763,False,False,False,False,incorrect_count,2,positive_control,challenge,private_v0,positive_control,angle,shape names,triangle;rectangle,"How many of these shape names contain the exact letter sequence ""angle"": circle, square, triangle, rectangle?"
none,3,obviousbench.char_count.en.v0.private.260765,False,False,False,False,incorrect_count,4,positive_control,challenge,private_v0,positive_control,eta,Greek letter names,beta;zeta;eta;theta,"How many of these Greek letter names contain the exact letter sequence ""eta"": alpha, beta, gamma, delta, epsilon, zeta, eta, theta, iota, kappa?"
none,3,obviousbench.char_count.en.v0.private.260770,False,False,False,False,incorrect_count,1,positive_control,challenge,private_v0,positive_control,saw,tool names,saw,"How many of these tool names contain the exact letter sequence ""saw"": hammer, saw, wrench, pliers, drill?"
none,3,obviousbench.char_count.en.v0.private.260815,False,False,False,False,incorrect_count,0,absent_zero,challenge,private_v0,semantic_lure,plus,arithmetic operation names,,"How many of these arithmetic operation names contain the exact letter sequence ""plus"": addition, subtraction, multiplication, division?"
none,3,obviousbench.char_count.en.v0.private.260818,False,False,False,False,incorrect_count,0,absent_zero,main_eval,private_v0,lexical_absence,net,web browser names,,"How many of these web browser names contain the exact letter sequence ""net"": Chrome, Firefox, Safari, Edge, Opera?"
none,3,obviousbench.char_count.en.v0.private.260822,False,False,False,False,incorrect_count,4,positive_control,challenge,private_v0,positive_control_many,ber,month names,September;October;November;December,"How many of these month names contain the exact letter sequence ""ber"": January, February, March, April, May, June, July, August, September, October, November, December?"
none,3,obviousbench.char_count.en.v0.private.260825,False,False,False,False,incorrect_count,3,positive_control,main_eval,private_v0,positive_control_multi,ur,planet names,Mercury;Saturn;Uranus,"How many of these planet names contain the exact letter sequence ""ur"": Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune?"
none,3,obviousbench.char_count.en.v0.private.260827,False,False,False,False,incorrect_count,3,positive_control,challenge,private_v0,positive_control_multi,ium,chemical element names,helium;lithium;beryllium,"How many of these chemical element names contain the exact letter sequence ""ium"": hydrogen, helium, lithium, beryllium, boron, carbon, nitrogen, oxygen, fluorine, neon?"
none,3,obviousbench.char_count.en.v0.private.260829,False,False,False,False,incorrect_count,1,positive_control,main_eval,private_v0,positive_control_single,or,rainbow colors,orange,"How many of these rainbow colors contain the exact letter sequence ""or"": red, orange, yellow, green, blue, indigo, violet?"
none,3,obviousbench.char_count.en.v0.private.260830,False,False,False,False,incorrect_count,1,positive_control,main_eval,private_v0,positive_control_single,mar,month names,March,"How many of these month names contain the exact letter sequence ""mar"": January, February, March, April, May, June, July, August, September, October, November, December?"
none,3,obviousbench.char_count.en.v0.private.260831,False,False,False,False,incorrect_count,1,positive_control,main_eval,private_v0,positive_control_single,in,rainbow colors,indigo,"How many of these rainbow colors contain the exact letter sequence ""in"": red, orange, yellow, green, blue, indigo, violet?"
none,3,obviousbench.char_count.en.v0.private.260832,False,False,False,False,incorrect_count,1,positive_control,main_eval,private_v0,positive_control_single,dia,card suit names,diamonds,"How many of these card suit names contain the exact letter sequence ""dia"": hearts, diamonds, clubs, spades?"
none,3,obviousbench.char_count.en.v0.private.260833,False,False,False,False,incorrect_count,1,positive_control,main_eval,private_v0,positive_control_single,nick,US coin names,nickel,"How many of these US coin names contain the exact letter sequence ""nick"": penny, nickel, dime, quarter?"
none,3,obviousbench.char_count.en.v0.private.260834,False,False,False,False,incorrect_count,3,positive_control,main_eval,private_v0,positive_control_multi,an,fruit names,banana;mango;orange,"How many of these fruit names contain the exact letter sequence ""an"": apple, banana, cherry, grape, lemon, mango, orange, peach, pear, plum?"
none,3,obviousbench.char_count.en.v0.private.260849,False,False,False,False,incorrect_count,2,positive_control,challenge,private_v0,positive_control_single,dom,taxonomic rank names,domain;kingdom,"How many of these taxonomic rank names contain the exact letter sequence ""dom"": domain, kingdom, phylum, class, order, family, genus, species?"
none,3,obviousbench.char_count.en.v0.private.260850,False,False,False,False,incorrect_count,3,positive_control,challenge,private_v0,positive_control_multi,tion,arithmetic operation names,addition;subtraction;multiplication,"How many of these arithmetic operation names contain the exact letter sequence ""tion"": addition, subtraction, multiplication, division?"
low,1,obviousbench.char_count.en.v0.private.260706,False,False,False,False,non_answer,0,absent_zero,challenge,private_v0,multi_char_absence,cat,letters from a to f,,"How many of these letters from a to f contain the exact letter sequence ""cat"": a, b, c, d, e, f?"
low,1,obviousbench.char_count.en.v0.private.260752,False,False,False,False,incorrect_count,0,absent_zero,main_eval,private_v0,semantic_lure,pie,fruit names,,"How many of these fruit names contain the exact letter sequence ""pie"": apple, banana, cherry, grape, melon?"
low,1,obviousbench.char_count.en.v0.private.260763,False,False,False,False,incorrect_count,2,positive_control,challenge,private_v0,positive_control,angle,shape names,triangle;rectangle,"How many of these shape names contain the exact letter sequence ""angle"": circle, square, triangle, rectangle?"
low,1,obviousbench.char_count.en.v0.private.260765,False,False,False,False,incorrect_count,4,positive_control,challenge,private_v0,positive_control,eta,Greek letter names,beta;zeta;eta;theta,"How many of these Greek letter names contain the exact letter sequence ""eta"": alpha, beta, gamma, delta, epsilon, zeta, eta, theta, iota, kappa?"
low,1,obviousbench.char_count.en.v0.private.260776,False,False,True,False,provider_error,0,absent_zero,challenge,private_v0,semantic_lure,pluto,planet names,,"How many of these planet names contain the exact letter sequence ""pluto"": Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune?"
low,1,obviousbench.char_count.en.v0.private.260824,False,False,False,False,incorrect_count,2,positive_control,main_eval,private_v0,positive_control_multi,ur,day names,Thursday;Saturday,"How many of these day names contain the exact letter sequence ""ur"": Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday?"
low,1,obviousbench.char_count.en.v0.private.260827,False,False,False,False,incorrect_count,3,positive_control,challenge,private_v0,positive_control_multi,ium,chemical element names,helium;lithium;beryllium,"How many of these chemical element names contain the exact letter sequence ""ium"": hydrogen, helium, lithium, beryllium, boron, carbon, nitrogen, oxygen, fluorine, neon?"
low,2,obviousbench.char_count.en.v0.private.260708,False,False,False,False,incorrect_count,0,absent_zero,main_eval,private_v0,semantic_lure,fish,primary colors,,"How many of these primary colors contain the exact letter sequence ""fish"": red, yellow, blue?"
low,2,obviousbench.char_count.en.v0.private.260756,False,False,False,False,incorrect_count,0,absent_zero,main_eval,private_v0,semantic_lure,fish,material names,,"How many of these material names contain the exact letter sequence ""fish"": wood, metal, glass, plastic, stone?"
low,2,obviousbench.char_count.en.v0.private.260781,False,False,False,False,incorrect_count,0,absent_zero,main_eval,private_v0,lexical_absence,cat,season names,,"How many of these season names contain the exact letter sequence ""cat"": spring, summer, autumn, winter?"
low,2,obviousbench.char_count.en.v0.private.260822,False,False,False,False,incorrect_count,4,positive_control,challenge,private_v0,positive_control_many,ber,month names,September;October;November;December,"How many of these month names contain the exact letter sequence ""ber"": January, February, March, April, May, June, July, August, September, October, November, December?"
low,2,obviousbench.char_count.en.v0.private.260850,False,False,False,False,incorrect_count,3,positive_control,challenge,private_v0,positive_control_multi,tion,arithmetic operation names,addition;subtraction;multiplication,"How many of these arithmetic operation names contain the exact letter sequence ""tion"": addition, subtraction, multiplication, division?"
low,3,obviousbench.char_count.en.v0.private.260743,False,False,False,False,incorrect_count,0,absent_zero,main_eval,private_v0,near_subsequence_lure,cat,ocean names,,"How many of these ocean names contain the exact letter sequence ""cat"": Pacific, Atlantic, Indian, Southern, Arctic?"
low,3,obviousbench.char_count.en.v0.private.260764,False,False,False,False,incorrect_count,1,positive_control,main_eval,private_v0,positive_control,bor,chemical element names,boron,"How many of these chemical element names contain the exact letter sequence ""bor"": hydrogen, helium, lithium, beryllium, boron, carbon, nitrogen, oxygen, fluorine, neon?"
low,3,obviousbench.char_count.en.v0.private.260765,False,False,False,False,incorrect_count,4,positive_control,challenge,private_v0,positive_control,eta,Greek letter names,beta;zeta;eta;theta,"How many of these Greek letter names contain the exact letter sequence ""eta"": alpha, beta, gamma, delta, epsilon, zeta, eta, theta, iota, kappa?"
medium,3,obviousbench.char_count.en.v0.private.260743,False,False,False,False,incorrect_count,0,absent_zero,main_eval,private_v0,near_subsequence_lure,cat,ocean names,,"How many of these ocean names contain the exact letter sequence ""cat"": Pacific, Atlantic, Indian, Southern, Arctic?"
medium,3,obviousbench.char_count.en.v0.private.260789,False,False,False,False,incorrect_count,0,absent_zero,main_eval,private_v0,semantic_lure,star,shape names,,"How many of these shape names contain the exact letter sequence ""star"": circle, square, triangle, rectangle?"
