label,model,chosen_source,chosen_summary_dir,chosen_scored_samples,chosen_total_samples,original_scored_samples,original_total_samples,repair_scored_samples,repair_total_samples,note
NVIDIA: Llama 3.3 Nemotron Super 49B V1.5,openrouter/nvidia/llama-3.3-nemotron-super-49b-v1.5,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-053-openrouter-043-nvidia-llama-3-3-nemotron-super-49b-v1-5,70,70,70,70,70,70,kept original summary
Nous: Hermes 4 70B,openrouter/nousresearch/hermes-4-70b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-054-openrouter-143-nousresearch-hermes-4-70b,80,80,80,80,,,kept original summary
Qwen2.5 72B Instruct,openrouter/qwen/qwen-2.5-72b-instruct,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-055-openrouter-072-qwen-qwen-2-5-72b-instruct,80,80,80,80,,,kept original summary
TheDrummer: UnslopNemo 12B,openrouter/thedrummer/unslopnemo-12b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-056-openrouter-068-thedrummer-unslopnemo-12b,80,80,80,80,,,kept original summary
Meta: Llama 3.1 70B Instruct,openrouter/meta-llama/llama-3.1-70b-instruct,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-057-openrouter-158-meta-llama-llama-3-1-70b-instruct,80,80,80,80,,,kept original summary
DeepSeek: DeepSeek V3.2 Exp,openrouter/deepseek/deepseek-v3.2-exp,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-058-openrouter-137-deepseek-deepseek-v3-2-exp,80,80,80,80,,,kept original summary
TheDrummer: Rocinante 12B,openrouter/thedrummer/rocinante-12b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-059-openrouter-070-thedrummer-rocinante-12b,80,80,80,80,,,kept original summary
NVIDIA: Nemotron 3 Super,openrouter/nvidia/nemotron-3-super-120b-a12b,repair,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-060-openrouter-029-nvidia-nemotron-3-super-120b-a12b,80,80,70,70,80,80,used repair summary
Qwen: Qwen3 30B A3B,openrouter/qwen/qwen3-30b-a3b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-061-openrouter-057-qwen-qwen3-30b-a3b,80,80,80,80,,,kept original summary
Nex AGI: DeepSeek V3.1 Nex N1,openrouter/nex-agi/deepseek-v3.1-nex-n1,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-062-openrouter-132-nex-agi-deepseek-v3-1-nex-n1,80,80,80,80,,,kept original summary
AllenAI: Olmo 3 32B Think,openrouter/allenai/olmo-3-32b-think,repair,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-063-openrouter-038-allenai-olmo-3-32b-think,0,6,0,5,0,6,used repair summary
TheDrummer: Cydonia 24B V4.1,openrouter/thedrummer/cydonia-24b-v4.1,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-064-openrouter-044-thedrummer-cydonia-24b-v4-1,80,80,80,80,,,kept original summary
Tencent: Hunyuan A13B Instruct,openrouter/tencent/hunyuan-a13b-instruct,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-065-openrouter-054-tencent-hunyuan-a13b-instruct,80,80,80,80,,,kept original summary
WizardLM-2 8x22B,openrouter/microsoft/wizardlm-2-8x22b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-066-openrouter-077-microsoft-wizardlm-2-8x22b,80,80,80,80,,,kept original summary
ReMM SLERP 13B,openrouter/undi95/remm-slerp-l2-13b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-067-openrouter-078-undi95-remm-slerp-l2-13b,80,80,80,80,,,kept original summary
Google: Gemma 2 27B,openrouter/google/gemma-2-27b-it,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-068-openrouter-074-google-gemma-2-27b-it,80,80,80,80,,,kept original summary
Meta: Llama 3 70B Instruct,openrouter/meta-llama/llama-3-70b-instruct,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-069-openrouter-160-meta-llama-llama-3-70b-instruct,80,80,80,80,,,kept original summary
DeepSeek: DeepSeek V3 0324,openrouter/deepseek/deepseek-chat-v3-0324,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-070-openrouter-150-deepseek-deepseek-chat-v3-0324,80,80,80,80,,,kept original summary
Qwen: Qwen3 Next 80B A3B Thinking,openrouter/qwen/qwen3-next-80b-a3b-thinking,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-071-openrouter-116-qwen-qwen3-next-80b-a3b-thinking,80,80,80,80,,,kept original summary
Qwen: Qwen-Plus,openrouter/qwen/qwen-plus,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-072-openrouter-152-qwen-qwen-plus,80,80,80,80,,,kept original summary
Qwen: Qwen Plus 0728,openrouter/qwen/qwen-plus-2025-07-28,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-073-openrouter-141-qwen-qwen-plus-2025-07-28,80,80,80,80,,,kept original summary
DeepSeek: DeepSeek V3.1,openrouter/deepseek/deepseek-chat-v3.1,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-074-openrouter-145-deepseek-deepseek-chat-v3-1,80,80,80,80,,,kept original summary
Qwen: Qwen3 Coder Next,openrouter/qwen/qwen3-coder-next,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-075-openrouter-130-qwen-qwen3-coder-next,80,80,80,80,,,kept original summary
TheDrummer: Skyfall 36B V2,openrouter/thedrummer/skyfall-36b-v2,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-076-openrouter-151-thedrummer-skyfall-36b-v2,80,80,80,80,,,kept original summary
DeepSeek: DeepSeek V3,openrouter/deepseek/deepseek-chat,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-077-openrouter-153-deepseek-deepseek-chat,80,80,80,80,,,kept original summary
Z.ai: GLM 4.5 Air,openrouter/z-ai/glm-4.5-air,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-078-openrouter-147-z-ai-glm-4-5-air,80,80,80,80,,,kept original summary
DeepSeek: DeepSeek V4 Pro,openrouter/deepseek/deepseek-v4-pro,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-079-openrouter-125-deepseek-deepseek-v4-pro,80,80,80,80,,,kept original summary
Xiaomi: MiMo-V2.5-Pro,openrouter/xiaomi/mimo-v2.5-pro,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-080-openrouter-127-xiaomi-mimo-v2-5-pro,80,80,80,80,,,kept original summary
DeepSeek: DeepSeek V3.1 Terminus,openrouter/deepseek/deepseek-v3.1-terminus,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-081-openrouter-140-deepseek-deepseek-v3-1-terminus,80,80,80,80,,,kept original summary
MiniMax: MiniMax M2.1,openrouter/minimax/minimax-m2.1,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-082-openrouter-034-minimax-minimax-m2-1,80,80,80,80,,,kept original summary
Qwen: Qwen3 Coder Flash,openrouter/qwen/qwen3-coder-flash,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-083-openrouter-045-qwen-qwen3-coder-flash,80,80,80,80,,,kept original summary
MiniMax: MiniMax M2,openrouter/minimax/minimax-m2,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-084-openrouter-040-minimax-minimax-m2,80,80,80,80,,,kept original summary
Qwen2.5 Coder 32B Instruct,openrouter/qwen/qwen-2.5-coder-32b-instruct,repair,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-085-openrouter-067-qwen-qwen-2-5-coder-32b-instruct,0,26,0,22,0,26,used repair summary
Nous: Hermes 3 405B Instruct,openrouter/nousresearch/hermes-3-llama-3.1-405b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-086-openrouter-157-nousresearch-hermes-3-llama-3-1-405b,80,80,80,80,,,kept original summary
Prime Intellect: INTELLECT-3,openrouter/prime-intellect/intellect-3,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-087-openrouter-135-prime-intellect-intellect-3,80,80,80,80,,,kept original summary
Baidu: ERNIE 4.5 300B A47B ,openrouter/baidu/ernie-4.5-300b-a47b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-088-openrouter-055-baidu-ernie-4-5-300b-a47b,80,80,80,80,,,kept original summary
MiniMax: MiniMax M2.5,openrouter/minimax/minimax-m2.5,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-089-openrouter-031-minimax-minimax-m2-5,80,80,80,80,,,kept original summary
MiniMax: MiniMax M2.7,openrouter/minimax/minimax-m2.7,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-090-openrouter-028-minimax-minimax-m2-7,80,80,80,80,,,kept original summary
AionLabs: Aion-1.0-Mini,openrouter/aion-labs/aion-1.0-mini,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-091-openrouter-119-aion-labs-aion-1-0-mini,70,70,70,70,70,70,kept original summary
AionLabs: Aion-RP 1.0 (8B),openrouter/aion-labs/aion-rp-llama-3.1-8b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-092-openrouter-064-aion-labs-aion-rp-llama-3-1-8b,80,80,80,80,,,kept original summary
Z.ai: GLM 4.6,openrouter/z-ai/glm-4.6,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-093-openrouter-136-z-ai-glm-4-6,80,80,80,80,,,kept original summary
Z.ai: GLM 4.7,openrouter/z-ai/glm-4.7,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-094-openrouter-131-z-ai-glm-4-7,80,80,80,80,,,kept original summary
Qwen: Qwen3 Coder 480B A35B,openrouter/qwen/qwen3-coder,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-095-openrouter-148-qwen-qwen3-coder,80,80,80,80,,,kept original summary
Qwen: Qwen3 235B A22B,openrouter/qwen/qwen3-235b-a22b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-096-openrouter-061-qwen-qwen3-235b-a22b,80,80,80,80,,,kept original summary
Z.ai: GLM 5,openrouter/z-ai/glm-5,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-097-openrouter-129-z-ai-glm-5,80,80,80,80,,,kept original summary
Z.ai: GLM 4.5,openrouter/z-ai/glm-4.5,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-098-openrouter-146-z-ai-glm-4-5,80,80,80,80,,,kept original summary
MoonshotAI: Kimi K2 0711,openrouter/moonshotai/kimi-k2,repair,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-099-openrouter-149-moonshotai-kimi-k2,44,66,41,70,44,66,used repair summary
MoonshotAI: Kimi K2 0905,openrouter/moonshotai/kimi-k2-0905,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-100-openrouter-142-moonshotai-kimi-k2-0905,80,80,80,80,,,kept original summary
