entry_id,label,model,chosen_source,chosen_summary_dir,chosen_scored_samples,chosen_total_samples,base_scored_samples,base_total_samples,repair2_scored_samples,repair2_total_samples,note
next-041-registry-openrouter-123-qwen-qwen3-vl-30b-a3b-thinking,Qwen: Qwen3 VL 30B A3B Thinking,openrouter/qwen/qwen3-vl-30b-a3b-thinking,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-041-registry-openrouter-123-qwen-qwen3-vl-30b-a3b-thinking,80,80,80,80,,,kept base manifest row
next-042-registry-gemini-3-1-flash-lite,Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-042-registry-gemini-3-1-flash-lite,80,80,80,80,,,kept base manifest row
next-043-registry-openrouter-088-qwen-qwen3-5-27b,Qwen: Qwen3.5-27B,openrouter/qwen/qwen3.5-27b,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-043-registry-openrouter-088-qwen-qwen3-5-27b,80,80,80,80,,,kept base manifest row
next-044-registry-openrouter-168-qwen-qwen3-5-plus-02-15,Qwen: Qwen3.5 Plus 2026-02-15,openrouter/qwen/qwen3.5-plus-02-15,repair2,results/summaries/paper-v1-scaled-next100-10k-repair2-20260602/next-044-registry-openrouter-168-qwen-qwen3-5-plus-02-15,80,80,70,70,80,80,used repair2 summary because it ranked higher by completeness/scored samples
next-045-registry-openrouter-171-mistralai-mistral-large-2512,Mistral: Mistral Large 3 2512,openrouter/mistralai/mistral-large-2512,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-045-registry-openrouter-171-mistralai-mistral-large-2512,80,80,80,80,,,kept base manifest row
next-046-registry-openrouter-162-qwen-qwen3-5-plus-20260420,Qwen: Qwen3.5 Plus 2026-04-20,openrouter/qwen/qwen3.5-plus-20260420,repair2,results/summaries/paper-v1-scaled-next100-10k-repair2-20260602/next-046-registry-openrouter-162-qwen-qwen3-5-plus-20260420,80,80,0,17,80,80,used repair2 summary because it ranked higher by completeness/scored samples
next-047-registry-openai-gpt-5-mini-minimal,OpenAI GPT-5 mini minimal,openai/gpt-5-mini,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-047-registry-openai-gpt-5-mini-minimal,80,80,80,80,,,kept base manifest row
next-048-registry-openrouter-166-qwen-qwen3-6-plus,Qwen: Qwen3.6 Plus,openrouter/qwen/qwen3.6-plus,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-048-registry-openrouter-166-qwen-qwen3-6-plus,80,80,80,80,,,kept base manifest row
next-049-registry-openrouter-169-moonshotai-kimi-k2-5,MoonshotAI: Kimi K2.5,openrouter/moonshotai/kimi-k2.5,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-049-registry-openrouter-169-moonshotai-kimi-k2-5,80,80,80,80,,,kept base manifest row
next-050-registry-openrouter-089-qwen-qwen3-5-122b-a10b,Qwen: Qwen3.5-122B-A10B,openrouter/qwen/qwen3.5-122b-a10b,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-050-registry-openrouter-089-qwen-qwen3-5-122b-a10b,80,80,80,80,,,kept base manifest row
next-051-registry-openrouter-092-mistralai-devstral-2512,Mistral: Devstral 2 2512,openrouter/mistralai/devstral-2512,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-051-registry-openrouter-092-mistralai-devstral-2512,80,80,80,80,,,kept base manifest row
next-052-registry-openrouter-172-mistralai-mistral-medium-3-1,Mistral: Mistral Medium 3.1,openrouter/mistralai/mistral-medium-3.1,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-052-registry-openrouter-172-mistralai-mistral-medium-3-1,80,80,80,80,,,kept base manifest row
next-053-registry-openrouter-173-z-ai-glm-4-5v,Z.ai: GLM 4.5V,openrouter/z-ai/glm-4.5v,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-053-registry-openrouter-173-z-ai-glm-4-5v,80,80,80,80,,,kept base manifest row
next-054-registry-openrouter-175-mistralai-mistral-medium-3,Mistral: Mistral Medium 3,openrouter/mistralai/mistral-medium-3,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-054-registry-openrouter-175-mistralai-mistral-medium-3,80,80,80,80,,,kept base manifest row
next-055-registry-openrouter-091-qwen-qwen3-5-397b-a17b,Qwen: Qwen3.5 397B A17B,openrouter/qwen/qwen3.5-397b-a17b,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-055-registry-openrouter-091-qwen-qwen3-5-397b-a17b,80,80,80,80,,,kept base manifest row
next-056-registry-gemini-2-5-flash,Gemini 2.5 Flash,google/gemini-2.5-flash,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-056-registry-gemini-2-5-flash,80,80,80,80,,,kept base manifest row
next-057-registry-openrouter-124-qwen-qwen3-vl-235b-a22b-thinking,Qwen: Qwen3 VL 235B A22B Thinking,openrouter/qwen/qwen3-vl-235b-a22b-thinking,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-057-registry-openrouter-124-qwen-qwen3-vl-235b-a22b-thinking,80,80,80,80,,,kept base manifest row
next-058-registry-grok-build-0-1,Grok Build 0.1,grok/grok-build-0.1,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-058-registry-grok-build-0-1,79,80,79,80,,,kept base manifest row
next-059-registry-openrouter-083-qwen-qwen3-6-27b,Qwen: Qwen3.6 27B,openrouter/qwen/qwen3.6-27b,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-059-registry-openrouter-083-qwen-qwen3-6-27b,80,80,80,80,,,kept base manifest row
next-060-registry-gemini-3-flash-preview,Gemini 3 Flash Preview,google/gemini-3-flash-preview,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-060-registry-gemini-3-flash-preview,80,80,80,80,,,kept base manifest row
next-061-registry-openrouter-139-qwen-qwen3-coder-plus,Qwen: Qwen3 Coder Plus,openrouter/qwen/qwen3-coder-plus,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-061-registry-openrouter-139-qwen-qwen3-coder-plus,80,80,80,80,,,kept base manifest row
next-062-registry-openrouter-144-nousresearch-hermes-4-405b,Nous: Hermes 4 405B,openrouter/nousresearch/hermes-4-405b,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-062-registry-openrouter-144-nousresearch-hermes-4-405b,80,80,80,80,,,kept base manifest row
next-063-registry-openrouter-128-z-ai-glm-5-1,Z.ai: GLM 5.1,openrouter/z-ai/glm-5.1,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-063-registry-openrouter-128-z-ai-glm-5-1,80,80,80,80,,,kept base manifest row
next-064-registry-openrouter-161-moonshotai-kimi-latest,MoonshotAI Kimi Latest,openrouter/~moonshotai/kimi-latest,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-064-registry-openrouter-161-moonshotai-kimi-latest,80,80,80,80,,,kept base manifest row
next-065-registry-openrouter-164-moonshotai-kimi-k2-6,MoonshotAI: Kimi K2.6,openrouter/moonshotai/kimi-k2.6,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-065-registry-openrouter-164-moonshotai-kimi-k2-6,80,80,80,80,,,kept base manifest row
next-066-registry-openrouter-138-qwen-qwen3-max,Qwen: Qwen3 Max,openrouter/qwen/qwen3-max,repair2,results/summaries/paper-v1-scaled-next100-10k-repair2-20260602/next-066-registry-openrouter-138-qwen-qwen3-max,46,80,25,67,46,80,used repair2 summary because it ranked higher by completeness/scored samples
next-067-registry-openrouter-178-qwen-qwen3-7-max,Qwen: Qwen3.7 Max,openrouter/qwen/qwen3.7-max,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-067-registry-openrouter-178-qwen-qwen3-7-max,80,80,80,80,,,kept base manifest row
next-068-registry-openrouter-180-z-ai-glm-5-turbo,Z.ai: GLM 5 Turbo,openrouter/z-ai/glm-5-turbo,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-068-registry-openrouter-180-z-ai-glm-5-turbo,80,80,80,80,,,kept base manifest row
next-069-registry-openrouter-184-z-ai-glm-5v-turbo,Z.ai: GLM 5V Turbo,openrouter/z-ai/glm-5v-turbo,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-069-registry-openrouter-184-z-ai-glm-5v-turbo,80,80,80,80,,,kept base manifest row
next-070-registry-openai-gpt-5-4-mini-none,OpenAI GPT-5.4 mini no thinking,openai/gpt-5.4-mini,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-070-registry-openai-gpt-5-4-mini-none,80,80,80,80,,,kept base manifest row
next-071-registry-openrouter-179-qwen-qwen3-6-max-preview,Qwen: Qwen3.6 Max Preview,openrouter/qwen/qwen3.6-max-preview,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-071-registry-openrouter-179-qwen-qwen3-6-max-preview,80,80,80,80,,,kept base manifest row
next-072-registry-openrouter-114-anthracite-org-magnum-v4-72b,Magnum v4 72B,openrouter/anthracite-org/magnum-v4-72b,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-072-registry-openrouter-114-anthracite-org-magnum-v4-72b,80,80,80,80,,,kept base manifest row
next-073-registry-openrouter-115-mistralai-mixtral-8x22b-instruct,Mistral: Mixtral 8x22B Instruct,openrouter/mistralai/mixtral-8x22b-instruct,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-073-registry-openrouter-115-mistralai-mixtral-8x22b-instruct,80,80,80,80,,,kept base manifest row
next-074-registry-openrouter-185-mistralai-mistral-large-2407,Mistral Large 2407,openrouter/mistralai/mistral-large-2407,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-074-registry-openrouter-185-mistralai-mistral-large-2407,80,80,80,80,,,kept base manifest row
next-075-registry-openrouter-183-mistralai-mistral-medium-3-5,Mistral: Mistral Medium 3.5,openrouter/mistralai/mistral-medium-3-5,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-075-registry-openrouter-183-mistralai-mistral-medium-3-5,80,80,80,80,,,kept base manifest row
next-076-registry-openrouter-181-ai21-jamba-large-1-7,AI21: Jamba Large 1.7,openrouter/ai21/jamba-large-1.7,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-076-registry-openrouter-181-ai21-jamba-large-1-7,80,80,80,80,,,kept base manifest row
next-077-registry-openai-gpt-5-minimal,OpenAI GPT-5 minimal,openai/gpt-5,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-077-registry-openai-gpt-5-minimal,80,80,80,80,,,kept base manifest row
next-078-registry-openai-gpt-4o,OpenAI GPT-4o,openai/gpt-4o,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-078-registry-openai-gpt-4o,80,80,80,80,,,kept base manifest row
next-079-registry-openrouter-182-cohere-command-a,Cohere: Command A,openrouter/cohere/command-a,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-079-registry-openrouter-182-cohere-command-a,80,80,80,80,,,kept base manifest row
next-080-registry-openai-gpt-5-2-none,OpenAI GPT-5.2 no thinking,openai/gpt-5.2,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-080-registry-openai-gpt-5-2-none,80,80,80,80,,,kept base manifest row
next-081-registry-openai-gpt-5-4-none,OpenAI GPT-5.4 no thinking,openai/gpt-5.4,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-081-registry-openai-gpt-5-4-none,80,80,80,80,,,kept base manifest row
next-082-registry-anthropic-claude-opus-4-6,Anthropic Claude Opus 4.6,anthropic/claude-opus-4-6,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-082-registry-anthropic-claude-opus-4-6,80,80,80,80,,,kept base manifest row
next-083-registry-anthropic-claude-opus-4-7,Anthropic Claude Opus 4.7,anthropic/claude-opus-4-7,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-083-registry-anthropic-claude-opus-4-7,80,80,80,80,,,kept base manifest row
next-084-registry-anthropic-claude-opus-4-8,Anthropic Claude Opus 4.8,anthropic/claude-opus-4-8,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-084-registry-anthropic-claude-opus-4-8,80,80,80,80,,,kept base manifest row
next-085-registry-openai-gpt-5-5-low,OpenAI GPT-5.5 low,openai/gpt-5.5,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-085-registry-openai-gpt-5-5-low,80,80,80,80,,,kept base manifest row
next-086-registry-openai-gpt-5-5-none,OpenAI GPT-5.5 no thinking,openai/gpt-5.5,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-086-registry-openai-gpt-5-5-none,80,80,80,80,,,kept base manifest row
next-087-thinking-openai-gpt-5-nano-minimal,OpenAI GPT-5 nano minimal,openai/gpt-5-nano,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-087-thinking-openai-gpt-5-nano-minimal,80,80,80,80,,,kept base manifest row
next-088-thinking-openai-gpt-5-nano-low,OpenAI GPT-5 nano low,openai/gpt-5-nano,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-088-thinking-openai-gpt-5-nano-low,80,80,80,80,,,kept base manifest row
next-089-thinking-gemini-gemini-2-5-flash-lite-low,Gemini 2.5 Flash-Lite low_budget_1024,google/gemini-2.5-flash-lite,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-089-thinking-gemini-gemini-2-5-flash-lite-low,80,80,80,80,,,kept base manifest row
next-090-thinking-openai-gpt-5-nano-medium,OpenAI GPT-5 nano medium,openai/gpt-5-nano,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-090-thinking-openai-gpt-5-nano-medium,80,80,80,80,,,kept base manifest row
next-091-thinking-openrouter-deepseek-deepseek-r1-distill-qwen-32b-low,DeepSeek: R1 Distill Qwen 32B low_budget_512,openrouter/deepseek/deepseek-r1-distill-qwen-32b,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-091-thinking-openrouter-deepseek-deepseek-r1-distill-qwen-32b-low,70,70,70,70,,,kept base manifest row
next-092-thinking-openai-gpt-5-mini-minimal,OpenAI GPT-5 mini minimal,openai/gpt-5-mini,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-092-thinking-openai-gpt-5-mini-minimal,80,80,80,80,,,kept base manifest row
next-093-thinking-gemini-gemini-3-1-flash-lite-minimal,Gemini 3.1 Flash-Lite minimal_budget_1024,google/gemini-3.1-flash-lite,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-093-thinking-gemini-gemini-3-1-flash-lite-minimal,80,80,80,80,,,kept base manifest row
next-094-thinking-openrouter-google-gemini-3-1-flash-lite-minimal,Google: Gemini 3.1 Flash Lite minimal,openrouter/google/gemini-3.1-flash-lite,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-094-thinking-openrouter-google-gemini-3-1-flash-lite-minimal,80,80,80,80,,,kept base manifest row
next-095-thinking-openrouter-google-gemini-3-1-flash-lite-preview-minimal,Google: Gemini 3.1 Flash Lite Preview minimal,openrouter/google/gemini-3.1-flash-lite-preview,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-095-thinking-openrouter-google-gemini-3-1-flash-lite-preview-minimal,80,80,80,80,,,kept base manifest row
next-096-thinking-openrouter-qwen-qwen3-6-35b-a3b-low,Qwen: Qwen3.6 35B A3B low_budget_512,openrouter/qwen/qwen3.6-35b-a3b,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-096-thinking-openrouter-qwen-qwen3-6-35b-a3b-low,80,80,80,80,,,kept base manifest row
next-097-thinking-gemini-gemini-2-5-flash-lite-medium,Gemini 2.5 Flash-Lite medium_budget_8192,google/gemini-2.5-flash-lite,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-097-thinking-gemini-gemini-2-5-flash-lite-medium,80,80,80,80,,,kept base manifest row
next-098-thinking-openrouter-qwen-qwen3-6-flash-low,Qwen: Qwen3.6 Flash low_budget_512,openrouter/qwen/qwen3.6-flash,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-098-thinking-openrouter-qwen-qwen3-6-flash-low,80,80,80,80,,,kept base manifest row
next-099-thinking-openai-gpt-5-4-nano-low,OpenAI GPT-5.4 nano low,openai/gpt-5.4-nano,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-099-thinking-openai-gpt-5-4-nano-low,80,80,80,80,,,kept base manifest row
