id,label,provider_route,inspect_model,total_samples,billable_samples,cache_hits,estimated_billable_cost_usd,pricing_source,warnings
scaled-058-openrouter-137-deepseek-deepseek-v3-2-exp,DeepSeek: DeepSeek V3.2 Exp,openrouter,openrouter/deepseek/deepseek-v3.2-exp,80,80,0,0.000562,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-059-openrouter-070-thedrummer-rocinante-12b,TheDrummer: Rocinante 12B,openrouter,openrouter/thedrummer/rocinante-12b,80,80,0,0.000354,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-060-openrouter-029-nvidia-nemotron-3-super-120b-a12b,NVIDIA: Nemotron 3 Super,openrouter,openrouter/nvidia/nemotron-3-super-120b-a12b,80,80,0,0.000187,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-061-openrouter-057-qwen-qwen3-30b-a3b,Qwen: Qwen3 30B A3B,openrouter,openrouter/qwen/qwen3-30b-a3b,80,80,0,0.000187,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-062-openrouter-132-nex-agi-deepseek-v3-1-nex-n1,Nex AGI: DeepSeek V3.1 Nex N1,openrouter,openrouter/nex-agi/deepseek-v3.1-nex-n1,80,80,0,0.000281,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-063-openrouter-038-allenai-olmo-3-32b-think,AllenAI: Olmo 3 32B Think,openrouter,openrouter/allenai/olmo-3-32b-think,80,80,0,0.000312,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-064-openrouter-044-thedrummer-cydonia-24b-v4-1,TheDrummer: Cydonia 24B V4.1,openrouter,openrouter/thedrummer/cydonia-24b-v4.1,80,80,0,0.000708,runcost,No price found for output_reasoning_tokens (token).
scaled-065-openrouter-054-tencent-hunyuan-a13b-instruct,Tencent: Hunyuan A13B Instruct,openrouter,openrouter/tencent/hunyuan-a13b-instruct,80,80,0,0.000291,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-066-openrouter-077-microsoft-wizardlm-2-8x22b,WizardLM-2 8x22B,openrouter,openrouter/microsoft/wizardlm-2-8x22b,80,80,0,0.001290,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-067-openrouter-078-undi95-remm-slerp-l2-13b,ReMM SLERP 13B,openrouter,openrouter/undi95/remm-slerp-l2-13b,80,80,0,0.000936,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-068-openrouter-074-google-gemma-2-27b-it,Google: Gemma 2 27B,openrouter,openrouter/google/gemma-2-27b-it,80,80,0,0.001352,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-069-openrouter-160-meta-llama-llama-3-70b-instruct,Meta: Llama 3 70B Instruct,openrouter,openrouter/meta-llama/llama-3-70b-instruct,80,80,0,0.001061,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-070-openrouter-150-deepseek-deepseek-chat-v3-0324,DeepSeek: DeepSeek V3 0324,openrouter,openrouter/deepseek/deepseek-chat-v3-0324,80,80,0,0.000492,runcost,No price found for output_reasoning_tokens (token).
scaled-071-openrouter-116-qwen-qwen3-next-80b-a3b-thinking,Qwen: Qwen3 Next 80B A3B Thinking,openrouter,openrouter/qwen/qwen3-next-80b-a3b-thinking,80,80,0,0.000203,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-072-openrouter-152-qwen-qwen-plus,Qwen: Qwen-Plus,openrouter,openrouter/qwen/qwen-plus,80,80,0,0.000570,runcost,No price found for output_reasoning_tokens (token).
scaled-073-openrouter-141-qwen-qwen-plus-2025-07-28,Qwen: Qwen Plus 0728,openrouter,openrouter/qwen/qwen-plus-2025-07-28,80,80,0,0.000541,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-074-openrouter-145-deepseek-deepseek-chat-v3-1,DeepSeek: DeepSeek V3.1,openrouter,openrouter/deepseek/deepseek-chat-v3.1,80,80,0,0.000510,runcost,No price found for output_reasoning_tokens (token).
scaled-075-openrouter-130-qwen-qwen3-coder-next,Qwen: Qwen3 Coder Next,openrouter,openrouter/qwen/qwen3-coder-next,80,80,0,0.000268,runcost,No price found for output_reasoning_tokens (token).
scaled-076-openrouter-151-thedrummer-skyfall-36b-v2,TheDrummer: Skyfall 36B V2,openrouter,openrouter/thedrummer/skyfall-36b-v2,80,80,0,0.001284,runcost,No price found for output_reasoning_tokens (token).
scaled-077-openrouter-153-deepseek-deepseek-chat,DeepSeek: DeepSeek V3,openrouter,openrouter/deepseek/deepseek-chat,80,80,0,0.000476,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-078-openrouter-147-z-ai-glm-4-5-air,Z.ai: GLM 4.5 Air,openrouter,openrouter/z-ai/glm-4.5-air,80,80,0,0.000294,runcost,No price found for output_reasoning_tokens (token).
scaled-079-openrouter-125-deepseek-deepseek-v4-pro,DeepSeek: DeepSeek V4 Pro,openrouter,openrouter/deepseek/deepseek-v4-pro,80,80,0,0.000907,runcost,No price found for output_reasoning_tokens (token).
scaled-080-openrouter-127-xiaomi-mimo-v2-5-pro,Xiaomi: MiMo-V2.5-Pro,openrouter,openrouter/xiaomi/mimo-v2.5-pro,80,80,0,0.000907,runcost,No price found for output_reasoning_tokens (token).
scaled-081-openrouter-140-deepseek-deepseek-v3-1-terminus,DeepSeek: DeepSeek V3.1 Terminus,openrouter,openrouter/deepseek/deepseek-v3.1-terminus,80,80,0,0.000634,runcost,No price found for output_reasoning_tokens (token).
scaled-082-openrouter-034-minimax-minimax-m2-1,MiniMax: MiniMax M2.1,openrouter,openrouter/minimax/minimax-m2.1,80,80,0,0.000620,runcost,No price found for output_reasoning_tokens (token).
scaled-083-openrouter-045-qwen-qwen3-coder-flash,Qwen: Qwen3 Coder Flash,openrouter,openrouter/qwen/qwen3-coder-flash,80,80,0,0.000427,runcost,No price found for output_reasoning_tokens (token).
scaled-084-openrouter-040-minimax-minimax-m2,MiniMax: MiniMax M2,openrouter,openrouter/minimax/minimax-m2,80,80,0,0.000547,runcost,No price found for output_reasoning_tokens (token).
scaled-085-openrouter-067-qwen-qwen-2-5-coder-32b-instruct,Qwen2.5 Coder 32B Instruct,openrouter,openrouter/qwen/qwen-2.5-coder-32b-instruct,80,80,0,0.001373,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-086-openrouter-157-nousresearch-hermes-3-llama-3-1-405b,Nous: Hermes 3 405B Instruct,openrouter,openrouter/nousresearch/hermes-3-llama-3.1-405b,80,80,0,0.002080,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-087-openrouter-135-prime-intellect-intellect-3,Prime Intellect: INTELLECT-3,openrouter,openrouter/prime-intellect/intellect-3,80,80,0,0.000416,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-088-openrouter-055-baidu-ernie-4-5-300b-a47b,Baidu: ERNIE 4.5 300B A47B ,openrouter,openrouter/baidu/ernie-4.5-300b-a47b,80,80,0,0.000582,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-089-openrouter-031-minimax-minimax-m2-5,MiniMax: MiniMax M2.5,openrouter,openrouter/minimax/minimax-m2.5,80,80,0,0.000312,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-090-openrouter-028-minimax-minimax-m2-7,MiniMax: MiniMax M2.7,openrouter,openrouter/minimax/minimax-m2.7,80,80,0,0.000580,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-091-openrouter-119-aion-labs-aion-1-0-mini,AionLabs: Aion-1.0-Mini,openrouter,openrouter/aion-labs/aion-1.0-mini,80,80,0,0.001456,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-092-openrouter-064-aion-labs-aion-rp-llama-3-1-8b,AionLabs: Aion-RP 1.0 (8B),openrouter,openrouter/aion-labs/aion-rp-llama-3.1-8b,80,80,0,0.001664,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-093-openrouter-136-z-ai-glm-4-6,Z.ai: GLM 4.6,openrouter,openrouter/z-ai/glm-4.6,80,80,0,0.000939,runcost,No price found for output_reasoning_tokens (token).
scaled-094-openrouter-131-z-ai-glm-4-7,Z.ai: GLM 4.7,openrouter,openrouter/z-ai/glm-4.7,80,80,0,0.000877,runcost,No price found for output_reasoning_tokens (token).
scaled-095-openrouter-148-qwen-qwen3-coder,Qwen: Qwen3 Coder 480B A35B,openrouter,openrouter/qwen/qwen3-coder,80,80,0,0.000458,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-096-openrouter-061-qwen-qwen3-235b-a22b,Qwen: Qwen3 235B A22B,openrouter,openrouter/qwen/qwen3-235b-a22b,80,80,0,0.000946,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-097-openrouter-129-z-ai-glm-5,Z.ai: GLM 5,openrouter,openrouter/z-ai/glm-5,80,80,0,0.001315,runcost,No price found for output_reasoning_tokens (token).
scaled-098-openrouter-146-z-ai-glm-4-5,Z.ai: GLM 4.5,openrouter,openrouter/z-ai/glm-4.5,80,80,0,0.001310,runcost,No price found for output_reasoning_tokens (token).
scaled-099-openrouter-149-moonshotai-kimi-k2,MoonshotAI: Kimi K2 0711,openrouter,openrouter/moonshotai/kimi-k2,80,80,0,0.001186,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-100-openrouter-142-moonshotai-kimi-k2-0905,MoonshotAI: Kimi K2 0905,openrouter,openrouter/moonshotai/kimi-k2-0905,80,80,0,0.001248,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
