id,label,provider_route,inspect_model,total_samples,billable_samples,cache_hits,estimated_billable_cost_usd,pricing_source,warnings
expand222-top-thinking-008-openai-gpt-5-4-medium,OpenAI GPT-5.4 medium,openai,openai/gpt-5.4,224,98,126,0.072770,runcost,
expand222-top-thinking-009-openai-gpt-5-4-high,OpenAI GPT-5.4 high,openai,openai/gpt-5.4,224,98,126,0.081952,runcost,
expand222-next-068-registry-openrouter-180-z-ai-glm-5-turbo,Z.ai: GLM 5 Turbo,openrouter,openrouter/z-ai/glm-5-turbo,224,98,126,0.003222,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-097-openrouter-129-z-ai-glm-5,Z.ai: GLM 5,openrouter,openrouter/z-ai/glm-5,224,224,0,0.003683,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-093-openrouter-136-z-ai-glm-4-6,Z.ai: GLM 4.6,openrouter,openrouter/z-ai/glm-4.6,224,224,0,0.002630,runcost,No price found for output_reasoning_tokens (token).
expand222-next-043-registry-openrouter-088-qwen-qwen3-5-27b,Qwen: Qwen3.5-27B,openrouter,openrouter/qwen/qwen3.5-27b,224,98,126,0.000497,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-069-registry-openrouter-184-z-ai-glm-5v-turbo,Z.ai: GLM 5V Turbo,openrouter,openrouter/z-ai/glm-5v-turbo,224,98,126,0.003222,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-087-openrouter-135-prime-intellect-intellect-3,Prime Intellect: INTELLECT-3,openrouter,openrouter/prime-intellect/intellect-3,224,224,0,0.001165,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-098-openrouter-146-z-ai-glm-4-5,Z.ai: GLM 4.5,openrouter,openrouter/z-ai/glm-4.5,224,224,0,0.003667,runcost,No price found for output_reasoning_tokens (token).
expand222-next-050-registry-openrouter-089-qwen-qwen3-5-122b-a10b,Qwen: Qwen3.5-122B-A10B,openrouter,openrouter/qwen/qwen3.5-122b-a10b,224,98,126,0.000662,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-035-openrouter-027-deepseek-deepseek-v4-flash,DeepSeek: DeepSeek V4 Flash,openrouter,openrouter/deepseek/deepseek-v4-flash,224,0,224,0.000000,runcost,No price found for output_reasoning_tokens (token).
expand222-overline-002-openai-gpt-5-4-nano-medium,OpenAI GPT-5.4 nano medium,openai,openai/gpt-5.4-nano,224,224,0,0.012956,runcost,
expand222-paper-openrouter-nemotron-3-nano,NVIDIA Nemotron 3 Nano 30B A3B,openrouter,openrouter/nvidia/nemotron-3-nano-30b-a3b,224,224,0,0.000291,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-overline-001-openrouter-nvidia-llama-3-3-nemotron-super-49b-v1-5,NVIDIA: Llama 3.3 Nemotron Super 49B V1.5,openrouter,openrouter/nvidia/llama-3.3-nemotron-super-49b-v1.5,224,98,126,0.000255,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-top-thinking-035-openrouter-google-gemini-3-1-flash-lite-low,Google: Gemini 3.1 Flash Lite low,openrouter,openrouter/google/gemini-3.1-flash-lite,224,98,126,0.006828,runcost,
expand222-scaled-079-openrouter-125-deepseek-deepseek-v4-pro,DeepSeek: DeepSeek V4 Pro,openrouter,openrouter/deepseek/deepseek-v4-pro,224,224,0,0.002539,runcost,No price found for output_reasoning_tokens (token).
expand222-overline-005-openai-gpt-5-4-mini-high,OpenAI GPT-5.4 mini high,openai,openai/gpt-5.4-mini,224,224,0,0.046822,runcost,
expand222-next-010-registry-openrouter-090-qwen-qwen3-5-flash-02-23,Qwen: Qwen3.5-Flash,openrouter,openrouter/qwen/qwen3.5-flash-02-23,224,98,126,0.000166,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-top-thinking-007-openai-gpt-5-4-low,OpenAI GPT-5.4 low,openai,openai/gpt-5.4,224,98,126,0.050255,runcost,
expand222-scaled-094-openrouter-131-z-ai-glm-4-7,Z.ai: GLM 4.7,openrouter,openrouter/z-ai/glm-4.7,224,224,0,0.002455,runcost,No price found for output_reasoning_tokens (token).
expand222-next-036-registry-openrouter-081-qwen-qwen3-6-flash,Qwen: Qwen3.6 Flash,openrouter,openrouter/qwen/qwen3.6-flash,224,98,126,0.000478,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-096-thinking-openrouter-qwen-qwen3-6-35b-a3b-low,Qwen: Qwen3.6 35B A3B low_budget_512,openrouter,openrouter/qwen/qwen3.6-35b-a3b,224,98,126,0.000357,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-096-openrouter-061-qwen-qwen3-235b-a22b,Qwen: Qwen3 235B A22B,openrouter,openrouter/qwen/qwen3-235b-a22b,224,224,0,0.002650,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-058-registry-grok-build-0-1,Grok Build 0.1,grok,grok/grok-build-0.1,224,224,0,0.038304,panel_price_metadata,runcost price card missing; used panel price metadata
expand222-next-089-thinking-gemini-gemini-2-5-flash-lite-low,Gemini 2.5 Flash-Lite low_budget_1024,gemini,google/gemini-2.5-flash-lite,224,98,126,0.000262,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-082-openrouter-034-minimax-minimax-m2-1,MiniMax: MiniMax M2.1,openrouter,openrouter/minimax/minimax-m2.1,224,224,0,0.001736,runcost,No price found for output_reasoning_tokens (token).
expand222-overline-007-openai-gpt-5-4-mini-xhigh,OpenAI GPT-5.4 mini xhigh,openai,openai/gpt-5.4-mini,224,224,0,0.046822,runcost,
expand222-next-031-registry-openrouter-082-qwen-qwen3-6-35b-a3b,Qwen: Qwen3.6 35B A3B,openrouter,openrouter/qwen/qwen3.6-35b-a3b,224,98,126,0.000357,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-paper-grok-4-3,Grok 4.3,grok,grok/grok-4.3,224,224,0,0.886980,panel_price_metadata,runcost price card missing; used panel price metadata
expand222-next-017-registry-openrouter-165-google-gemma-4-31b-it,Google: Gemma 4 31B,openrouter,openrouter/google/gemma-4-31b-it,224,98,126,0.000306,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-paper-openai-gpt-4-1,OpenAI GPT-4.1,openai,openai/gpt-4.1,224,224,0,0.024134,runcost,
expand222-next-044-registry-openrouter-168-qwen-qwen3-5-plus-02-15,Qwen: Qwen3.5 Plus 2026-02-15,openrouter,openrouter/qwen/qwen3.5-plus-02-15,224,98,126,0.000662,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-083-registry-anthropic-claude-opus-4-7,Anthropic Claude Opus 4.7,anthropic,anthropic/claude-opus-4-7,224,98,126,0.050490,runcost,
expand222-next-082-registry-anthropic-claude-opus-4-6,Anthropic Claude Opus 4.6,anthropic,anthropic/claude-opus-4-6,224,98,126,0.041285,runcost,
expand222-next-059-registry-openrouter-083-qwen-qwen3-6-27b,Qwen: Qwen3.6 27B,openrouter,openrouter/qwen/qwen3.6-27b,224,98,126,0.000739,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-038-registry-openrouter-122-qwen-qwen3-vl-8b-thinking,Qwen: Qwen3 VL 8B Thinking,openrouter,openrouter/qwen/qwen3-vl-8b-thinking,224,98,126,0.000298,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-041-registry-openrouter-123-qwen-qwen3-vl-30b-a3b-thinking,Qwen: Qwen3 VL 30B A3B Thinking,openrouter,openrouter/qwen/qwen3-vl-30b-a3b-thinking,224,98,126,0.000331,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-100-openrouter-142-moonshotai-kimi-k2-0905,MoonshotAI: Kimi K2 0905,openrouter,openrouter/moonshotai/kimi-k2-0905,224,224,0,0.003494,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-078-registry-openai-gpt-4o,OpenAI GPT-4o,openai,openai/gpt-4o,224,98,126,0.011610,runcost,
expand222-scaled-041-openrouter-060-qwen-qwen3-32b,Qwen: Qwen3 32B,openrouter,openrouter/qwen/qwen3-32b,224,224,0,0.000466,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-097-thinking-gemini-gemini-2-5-flash-lite-medium,Gemini 2.5 Flash-Lite medium_budget_8192,gemini,google/gemini-2.5-flash-lite,224,98,126,0.000262,runcost,No price found for output_reasoning_tokens (token).
expand222-next-086-registry-openai-gpt-5-5-none,OpenAI GPT-5.5 no thinking,openai,openai/gpt-5.5,224,98,126,0.040480,runcost,
expand222-top-thinking-013-anthropic-claude-opus-4-8-high,Claude Opus 4.8 high,anthropic,anthropic/claude-opus-4-8,224,98,126,0.040990,runcost,
expand222-top-thinking-011-anthropic-claude-opus-4-8-low,Claude Opus 4.8 low,anthropic,anthropic/claude-opus-4-8,224,98,126,0.040990,runcost,
expand222-top-thinking-012-anthropic-claude-opus-4-8-medium,Claude Opus 4.8 medium,anthropic,anthropic/claude-opus-4-8,224,98,126,0.040990,runcost,
expand222-top-thinking-014-anthropic-claude-opus-4-8-xhigh,Claude Opus 4.8 xhigh,anthropic,anthropic/claude-opus-4-8,224,98,126,0.040990,runcost,
expand222-next-084-registry-anthropic-claude-opus-4-8,Anthropic Claude Opus 4.8,anthropic,anthropic/claude-opus-4-8,224,98,126,0.040990,runcost,
expand222-scaled-089-openrouter-031-minimax-minimax-m2-5,MiniMax: MiniMax M2.5,openrouter,openrouter/minimax/minimax-m2.5,224,224,0,0.000874,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-032-registry-openrouter-087-qwen-qwen3-5-35b-a3b,Qwen: Qwen3.5-35B-A3B,openrouter,openrouter/qwen/qwen3.5-35b-a3b,224,98,126,0.000354,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-paper-openrouter-xiaomi-mimo-v2-flash,Xiaomi MiMo-V2-Flash,openrouter,openrouter/xiaomi/mimo-v2-flash,224,224,0,0.000598,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-075-openrouter-130-qwen-qwen3-coder-next,Qwen: Qwen3 Coder Next,openrouter,openrouter/qwen/qwen3-coder-next,224,224,0,0.000750,runcost,No price found for output_reasoning_tokens (token).
expand222-top-thinking-016-anthropic-claude-sonnet-4-6-low,Claude Sonnet 4.6 low,anthropic,anthropic/claude-sonnet-4-6,224,98,126,0.026916,runcost,
expand222-top-thinking-001-openai-gpt-5-5-none,OpenAI GPT-5.5 none,openai,openai/gpt-5.5,224,98,126,0.040480,runcost,
expand222-top-thinking-015-anthropic-claude-opus-4-8-max,Claude Opus 4.8 max,anthropic,anthropic/claude-opus-4-8,224,98,126,0.040990,runcost,
expand222-next-013-registry-openrouter-084-google-gemma-4-26b-a4b-it,Google: Gemma 4 26B A4B ,openrouter,openrouter/google/gemma-4-26b-a4b-it,224,98,126,0.000153,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-100-thinking-openrouter-openai-gpt-5-4-nano-low,OpenAI: GPT-5.4 Nano low,openrouter,openrouter/openai/gpt-5.4-nano,224,98,126,0.000523,runcost,No price found for output_reasoning_tokens (token).
expand222-top-thinking-028-openrouter-google-gemini-3-5-flash-minimal,Google: Gemini 3.5 Flash minimal,openrouter,openrouter/google/gemini-3.5-flash,224,98,126,0.040969,runcost,
expand222-next-081-registry-openai-gpt-5-4-none,OpenAI GPT-5.4 no thinking,openai,openai/gpt-5.4,224,98,126,0.020240,runcost,
expand222-top-thinking-017-anthropic-claude-sonnet-4-6-medium,Claude Sonnet 4.6 medium,anthropic,anthropic/claude-sonnet-4-6,224,98,126,0.026916,runcost,
expand222-next-077-registry-openai-gpt-5-minimal,OpenAI GPT-5 minimal,openai,openai/gpt-5,224,98,126,0.044431,runcost,
expand222-top-thinking-018-anthropic-claude-sonnet-4-6-high,Claude Sonnet 4.6 high,anthropic,anthropic/claude-sonnet-4-6,224,98,126,0.026916,runcost,
expand222-paper-anthropic-claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,anthropic,anthropic/claude-sonnet-4-6,224,224,0,0.060579,runcost,
expand222-next-053-registry-openrouter-173-z-ai-glm-4-5v,Z.ai: GLM 4.5V,openrouter,openrouter/z-ai/glm-4.5v,224,98,126,0.001604,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-051-openrouter-033-z-ai-glm-4-7-flash,Z.ai: GLM 4.7 Flash,openrouter,openrouter/z-ai/glm-4.7-flash,224,224,0,0.000365,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-090-openrouter-028-minimax-minimax-m2-7,MiniMax: MiniMax M2.7,openrouter,openrouter/minimax/minimax-m2.7,224,224,0,0.001625,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-078-openrouter-147-z-ai-glm-4-5-air,Z.ai: GLM 4.5 Air,openrouter,openrouter/z-ai/glm-4.5-air,224,224,0,0.000822,runcost,No price found for output_reasoning_tokens (token).
expand222-paper-openai-gpt-4-1-mini,OpenAI GPT-4.1 mini,openai,openai/gpt-4.1-mini,224,224,0,0.017539,runcost,
expand222-scaled-062-openrouter-132-nex-agi-deepseek-v3-1-nex-n1,Nex AGI: DeepSeek V3.1 Nex N1,openrouter,openrouter/nex-agi/deepseek-v3.1-nex-n1,224,224,0,0.000786,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-022-openrouter-053-qwen-qwen3-235b-a22b-2507,Qwen: Qwen3 235B A22B Instruct 2507,openrouter,openrouter/qwen/qwen3-235b-a22b-2507,224,224,0,0.000414,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-025-registry-openrouter-085-mistralai-mistral-small-2603,Mistral: Mistral Small 4,openrouter,openrouter/mistralai/mistral-small-2603,224,98,126,0.000392,runcost,No price found for output_reasoning_tokens (token).
expand222-paper-openrouter-qwen3-next,Qwen3 Next 80B A3B Instruct,openrouter,openrouter/qwen/qwen3-next-80b-a3b-instruct,224,224,0,0.000524,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-099-openrouter-149-moonshotai-kimi-k2,MoonshotAI: Kimi K2 0711,openrouter,openrouter/moonshotai/kimi-k2,224,98,126,0.001452,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-062-registry-openrouter-144-nousresearch-hermes-4-405b,Nous: Hermes 4 405B,openrouter,openrouter/nousresearch/hermes-4-405b,224,98,126,0.002548,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-paper-anthropic-claude-haiku-4-5,Anthropic Claude Haiku 4.5,anthropic,anthropic/claude-haiku-4-5,224,224,0,0.018163,runcost,
expand222-next-076-registry-openrouter-181-ai21-jamba-large-1-7,AI21: Jamba Large 1.7,openrouter,openrouter/ai21/jamba-large-1.7,224,98,126,0.005096,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-040-registry-openrouter-103-baidu-ernie-4-5-vl-424b-a47b,Baidu: ERNIE 4.5 VL 424B A47B ,openrouter,openrouter/baidu/ernie-4.5-vl-424b-a47b,224,98,126,0.001070,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-top-thinking-019-anthropic-claude-sonnet-4-6-max,Claude Sonnet 4.6 max,anthropic,anthropic/claude-sonnet-4-6,224,98,126,0.026916,runcost,
expand222-paper-gemini-2-5-flash-lite,Gemini 2.5 Flash-Lite,gemini,google/gemini-2.5-flash-lite,224,224,0,0.000598,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-072-openrouter-152-qwen-qwen-plus,Qwen: Qwen-Plus,openrouter,openrouter/qwen/qwen-plus,224,224,0,0.001596,runcost,No price found for output_reasoning_tokens (token).
expand222-next-051-registry-openrouter-092-mistralai-devstral-2512,Mistral: Devstral 2 2512,openrouter,openrouter/mistralai/devstral-2512,224,98,126,0.001047,runcost,No price found for output_reasoning_tokens (token).
expand222-next-099-thinking-openai-gpt-5-4-nano-low,OpenAI GPT-5.4 nano low,openai,openai/gpt-5.4-nano,224,98,126,0.005668,runcost,
expand222-next-092-thinking-openai-gpt-5-mini-minimal,OpenAI GPT-5 mini minimal,openai,openai/gpt-5-mini,224,98,126,0.008886,runcost,
expand222-scaled-086-openrouter-157-nousresearch-hermes-3-llama-3-1-405b,Nous: Hermes 3 405B Instruct,openrouter,openrouter/nousresearch/hermes-3-llama-3.1-405b,224,224,0,0.005824,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-035-registry-openrouter-113-minimax-minimax-01,MiniMax: MiniMax-01,openrouter,openrouter/minimax/minimax-01,224,98,126,0.000510,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-080-registry-openai-gpt-5-2-none,OpenAI GPT-5.2 no thinking,openai,openai/gpt-5.2,224,98,126,0.016481,runcost,
expand222-scaled-050-openrouter-058-qwen-qwen3-8b,Qwen: Qwen3 8B,openrouter,openrouter/qwen/qwen3-8b,224,224,0,0.000370,runcost,No price found for output_reasoning_tokens (token).
expand222-top-thinking-006-openai-gpt-5-4-none,OpenAI GPT-5.4 none,openai,openai/gpt-5.4,224,98,126,0.020240,runcost,
expand222-next-045-registry-openrouter-171-mistralai-mistral-large-2512,Mistral: Mistral Large 3 2512,openrouter,openrouter/mistralai/mistral-large-2512,224,98,126,0.001308,runcost,No price found for output_reasoning_tokens (token).
