id,label,provider_route,inspect_model,model_id,thinking_depth,control_style,input_price_per_mtok_usd,output_price_per_mtok_usd,reasoning_price_per_mtok_usd,configured_reasoning_tokens_per_sample,estimated_reasoning_tokens_per_sample,calibration_source,estimated_cost_usd,estimated_cost_per_sample_usd,pricing_source,cost_warnings
openai-gpt-5-4-mini-none,OpenAI GPT-5.4 mini none,openai,openai/gpt-5.4-mini,gpt-5.4-mini,none,openai_reasoning_effort,0.75,4.5,4.5,0,0,measured_usage_with_conservative_buffer:openai,0.00536175,0.00006702,runcost_default_price_cards,
openai-gpt-5-4-mini-low,OpenAI GPT-5.4 mini low,openai,openai/gpt-5.4-mini,gpt-5.4-mini,low,openai_reasoning_effort,0.75,4.5,4.5,256,64,measured_usage_with_conservative_buffer:openai,0.02840175,0.00035502,runcost_default_price_cards,
openai-gpt-5-4-mini-medium,OpenAI GPT-5.4 mini medium,openai,openai/gpt-5.4-mini,gpt-5.4-mini,medium,openai_reasoning_effort,0.75,4.5,4.5,1024,96,measured_usage_with_conservative_buffer:openai,0.03992175,0.00049902,runcost_default_price_cards,
openai-gpt-5-4-mini-high,OpenAI GPT-5.4 mini high,openai,openai/gpt-5.4-mini,gpt-5.4-mini,high,openai_reasoning_effort,0.75,4.5,4.5,4096,160,measured_usage_with_conservative_buffer:openai,0.06296175,0.00078702,runcost_default_price_cards,
openai-gpt-5-4-mini-xhigh,OpenAI GPT-5.4 mini xhigh,openai,openai/gpt-5.4-mini,gpt-5.4-mini,xhigh,openai_reasoning_effort,0.75,4.5,4.5,8192,320,measured_usage_with_conservative_buffer:openai,0.12056175,0.00150702,runcost_default_price_cards,
openai-gpt-5-4-nano-none,OpenAI GPT-5.4 nano none,openai,openai/gpt-5.4-nano,gpt-5.4-nano,none,openai_reasoning_effort,0.2,1.25,1.25,0,0,measured_usage_with_conservative_buffer:openai,0.0014618,0.00001827,runcost_default_price_cards,
openai-gpt-5-4-nano-low,OpenAI GPT-5.4 nano low,openai,openai/gpt-5.4-nano,gpt-5.4-nano,low,openai_reasoning_effort,0.2,1.25,1.25,256,64,measured_usage_with_conservative_buffer:openai,0.0078618,0.00009827,runcost_default_price_cards,
openai-gpt-5-4-nano-medium,OpenAI GPT-5.4 nano medium,openai,openai/gpt-5.4-nano,gpt-5.4-nano,medium,openai_reasoning_effort,0.2,1.25,1.25,1024,96,measured_usage_with_conservative_buffer:openai,0.0110618,0.00013827,runcost_default_price_cards,
openai-gpt-5-4-nano-high,OpenAI GPT-5.4 nano high,openai,openai/gpt-5.4-nano,gpt-5.4-nano,high,openai_reasoning_effort,0.2,1.25,1.25,4096,160,measured_usage_with_conservative_buffer:openai,0.0174618,0.00021827,runcost_default_price_cards,
openai-gpt-5-4-nano-xhigh,OpenAI GPT-5.4 nano xhigh,openai,openai/gpt-5.4-nano,gpt-5.4-nano,xhigh,openai_reasoning_effort,0.2,1.25,1.25,8192,320,measured_usage_with_conservative_buffer:openai,0.0334618,0.00041827,runcost_default_price_cards,
openai-gpt-5-2-none,OpenAI GPT-5.2 none,openai,openai/gpt-5.2,gpt-5.2,none,openai_reasoning_effort,1.75,14,14,0,0,measured_usage_with_conservative_buffer:openai,0.01475075,0.00018438,runcost_default_price_cards,
openai-gpt-5-2-low,OpenAI GPT-5.2 low,openai,openai/gpt-5.2,gpt-5.2,low,openai_reasoning_effort,1.75,14,14,256,64,measured_usage_with_conservative_buffer:openai,0.08643075,0.00108038,runcost_default_price_cards,
openai-gpt-5-2-medium,OpenAI GPT-5.2 medium,openai,openai/gpt-5.2,gpt-5.2,medium,openai_reasoning_effort,1.75,14,14,1024,96,measured_usage_with_conservative_buffer:openai,0.12227075,0.00152838,runcost_default_price_cards,
openai-gpt-5-2-high,OpenAI GPT-5.2 high,openai,openai/gpt-5.2,gpt-5.2,high,openai_reasoning_effort,1.75,14,14,4096,160,measured_usage_with_conservative_buffer:openai,0.19395075,0.00242438,runcost_default_price_cards,
openai-gpt-5-2-xhigh,OpenAI GPT-5.2 xhigh,openai,openai/gpt-5.2,gpt-5.2,xhigh,openai_reasoning_effort,1.75,14,14,8192,320,measured_usage_with_conservative_buffer:openai,0.37315075,0.00466438,runcost_default_price_cards,
openai-gpt-5-minimal,OpenAI GPT-5 minimal,openai,openai/gpt-5,gpt-5,minimal,openai_reasoning_effort,1.25,10,10,64,16,measured_usage_with_conservative_buffer:openai,0.02333625,0.0002917,runcost_default_price_cards,
openai-gpt-5-low,OpenAI GPT-5 low,openai,openai/gpt-5,gpt-5,low,openai_reasoning_effort,1.25,10,10,256,64,measured_usage_with_conservative_buffer:openai,0.06173625,0.0007717,runcost_default_price_cards,
openai-gpt-5-medium,OpenAI GPT-5 medium,openai,openai/gpt-5,gpt-5,medium,openai_reasoning_effort,1.25,10,10,1024,96,measured_usage_with_conservative_buffer:openai,0.08733625,0.0010917,runcost_default_price_cards,
openai-gpt-5-high,OpenAI GPT-5 high,openai,openai/gpt-5,gpt-5,high,openai_reasoning_effort,1.25,10,10,4096,160,measured_usage_with_conservative_buffer:openai,0.13853625,0.0017317,runcost_default_price_cards,
openai-gpt-5-mini-minimal,OpenAI GPT-5 mini minimal,openai,openai/gpt-5-mini,gpt-5-mini,minimal,openai_reasoning_effort,0.25,2,2,64,16,measured_usage_with_conservative_buffer:openai,0.00466725,0.00005834,runcost_default_price_cards,
openai-gpt-5-mini-low,OpenAI GPT-5 mini low,openai,openai/gpt-5-mini,gpt-5-mini,low,openai_reasoning_effort,0.25,2,2,256,64,measured_usage_with_conservative_buffer:openai,0.01234725,0.00015434,runcost_default_price_cards,
openai-gpt-5-mini-medium,OpenAI GPT-5 mini medium,openai,openai/gpt-5-mini,gpt-5-mini,medium,openai_reasoning_effort,0.25,2,2,1024,96,measured_usage_with_conservative_buffer:openai,0.01746725,0.00021834,runcost_default_price_cards,
openai-gpt-5-mini-high,OpenAI GPT-5 mini high,openai,openai/gpt-5-mini,gpt-5-mini,high,openai_reasoning_effort,0.25,2,2,4096,160,measured_usage_with_conservative_buffer:openai,0.02770725,0.00034634,runcost_default_price_cards,
openai-gpt-5-nano-minimal,OpenAI GPT-5 nano minimal,openai,openai/gpt-5-nano,gpt-5-nano,minimal,openai_reasoning_effort,0.05,0.4,0.4,64,16,measured_usage_with_conservative_buffer:openai,0.00093345,0.00001167,runcost_default_price_cards,
openai-gpt-5-nano-low,OpenAI GPT-5 nano low,openai,openai/gpt-5-nano,gpt-5-nano,low,openai_reasoning_effort,0.05,0.4,0.4,256,64,measured_usage_with_conservative_buffer:openai,0.00246945,0.00003087,runcost_default_price_cards,
openai-gpt-5-nano-medium,OpenAI GPT-5 nano medium,openai,openai/gpt-5-nano,gpt-5-nano,medium,openai_reasoning_effort,0.05,0.4,0.4,1024,96,measured_usage_with_conservative_buffer:openai,0.00349345,0.00004367,runcost_default_price_cards,
openai-gpt-5-nano-high,OpenAI GPT-5 nano high,openai,openai/gpt-5-nano,gpt-5-nano,high,openai_reasoning_effort,0.05,0.4,0.4,4096,160,measured_usage_with_conservative_buffer:openai,0.00554145,0.00006927,runcost_default_price_cards,
anthropic-claude-opus-4-8-low,Claude Opus 4.8 low,anthropic,anthropic/claude-opus-4-8,claude-opus-4-8,low,anthropic_adaptive_thinking_effort,5,25,25,512,16,measured_usage_with_conservative_buffer:anthropic,0.064545,0.00080681,runcost_default_price_cards,
anthropic-claude-opus-4-8-medium,Claude Opus 4.8 medium,anthropic,anthropic/claude-opus-4-8,claude-opus-4-8,medium,anthropic_adaptive_thinking_effort,5,25,25,2048,48,measured_usage_with_conservative_buffer:anthropic,0.128545,0.00160681,runcost_default_price_cards,
anthropic-claude-opus-4-8-high,Claude Opus 4.8 high,anthropic,anthropic/claude-opus-4-8,claude-opus-4-8,high,anthropic_adaptive_thinking_effort,5,25,25,8192,128,measured_usage_with_conservative_buffer:anthropic,0.288545,0.00360681,runcost_default_price_cards,
anthropic-claude-opus-4-8-xhigh,Claude Opus 4.8 xhigh,anthropic,anthropic/claude-opus-4-8,claude-opus-4-8,xhigh,anthropic_adaptive_thinking_effort,5,25,25,16384,256,measured_usage_with_conservative_buffer:anthropic,0.544545,0.00680681,runcost_default_price_cards,
anthropic-claude-opus-4-8-max,Claude Opus 4.8 max,anthropic,anthropic/claude-opus-4-8,claude-opus-4-8,max,anthropic_adaptive_thinking_effort,5,25,25,32768,384,measured_usage_with_conservative_buffer:anthropic,0.800545,0.01000681,runcost_default_price_cards,
anthropic-claude-opus-4-7-low,Claude Opus 4.7 low,anthropic,anthropic/claude-opus-4-7,claude-opus-4-7,low,anthropic_adaptive_thinking_effort,5,25,25,512,16,measured_usage_with_conservative_buffer:anthropic,0.064545,0.00080681,runcost_default_price_cards,
anthropic-claude-opus-4-7-medium,Claude Opus 4.7 medium,anthropic,anthropic/claude-opus-4-7,claude-opus-4-7,medium,anthropic_adaptive_thinking_effort,5,25,25,2048,48,measured_usage_with_conservative_buffer:anthropic,0.128545,0.00160681,runcost_default_price_cards,
anthropic-claude-opus-4-7-high,Claude Opus 4.7 high,anthropic,anthropic/claude-opus-4-7,claude-opus-4-7,high,anthropic_adaptive_thinking_effort,5,25,25,8192,128,measured_usage_with_conservative_buffer:anthropic,0.288545,0.00360681,runcost_default_price_cards,
anthropic-claude-opus-4-7-xhigh,Claude Opus 4.7 xhigh,anthropic,anthropic/claude-opus-4-7,claude-opus-4-7,xhigh,anthropic_adaptive_thinking_effort,5,25,25,16384,256,measured_usage_with_conservative_buffer:anthropic,0.544545,0.00680681,runcost_default_price_cards,
anthropic-claude-opus-4-7-max,Claude Opus 4.7 max,anthropic,anthropic/claude-opus-4-7,claude-opus-4-7,max,anthropic_adaptive_thinking_effort,5,25,25,32768,384,measured_usage_with_conservative_buffer:anthropic,0.800545,0.01000681,runcost_default_price_cards,
anthropic-claude-opus-4-6-low,Claude Opus 4.6 low,anthropic,anthropic/claude-opus-4-6,claude-opus-4-6,low,anthropic_adaptive_thinking_effort,5,25,25,512,16,measured_usage_with_conservative_buffer:anthropic,0.064545,0.00080681,runcost_default_price_cards,
anthropic-claude-opus-4-6-medium,Claude Opus 4.6 medium,anthropic,anthropic/claude-opus-4-6,claude-opus-4-6,medium,anthropic_adaptive_thinking_effort,5,25,25,2048,48,measured_usage_with_conservative_buffer:anthropic,0.128545,0.00160681,runcost_default_price_cards,
anthropic-claude-opus-4-6-high,Claude Opus 4.6 high,anthropic,anthropic/claude-opus-4-6,claude-opus-4-6,high,anthropic_adaptive_thinking_effort,5,25,25,8192,128,measured_usage_with_conservative_buffer:anthropic,0.288545,0.00360681,runcost_default_price_cards,
anthropic-claude-opus-4-6-max,Claude Opus 4.6 max,anthropic,anthropic/claude-opus-4-6,claude-opus-4-6,max,anthropic_adaptive_thinking_effort,5,25,25,32768,384,measured_usage_with_conservative_buffer:anthropic,0.800545,0.01000681,runcost_default_price_cards,
anthropic-claude-opus-4-5-low,Claude Opus 4.5 low_budget_512,anthropic,anthropic/claude-opus-4-5,claude-opus-4-5,low,anthropic_manual_thinking_budget,5,25,25,512,16,measured_usage_with_conservative_buffer:anthropic,0.064545,0.00080681,runcost_default_price_cards,
anthropic-claude-opus-4-5-medium,Claude Opus 4.5 medium_budget_2048,anthropic,anthropic/claude-opus-4-5,claude-opus-4-5,medium,anthropic_manual_thinking_budget,5,25,25,2048,48,measured_usage_with_conservative_buffer:anthropic,0.128545,0.00160681,runcost_default_price_cards,
anthropic-claude-opus-4-5-high,Claude Opus 4.5 high_budget_8192,anthropic,anthropic/claude-opus-4-5,claude-opus-4-5,high,anthropic_manual_thinking_budget,5,25,25,8192,128,measured_usage_with_conservative_buffer:anthropic,0.288545,0.00360681,runcost_default_price_cards,
anthropic-claude-opus-4-5-max,Claude Opus 4.5 max_budget_32768,anthropic,anthropic/claude-opus-4-5,claude-opus-4-5,max,anthropic_manual_thinking_budget,5,25,25,32768,384,measured_usage_with_conservative_buffer:anthropic,0.800545,0.01000681,runcost_default_price_cards,
anthropic-claude-sonnet-4-6-low,Claude Sonnet 4.6 low,anthropic,anthropic/claude-sonnet-4-6,claude-sonnet-4-6,low,anthropic_adaptive_thinking_effort,3,15,15,512,16,measured_usage_with_conservative_buffer:anthropic,0.038727,0.00048409,runcost_default_price_cards,
anthropic-claude-sonnet-4-6-medium,Claude Sonnet 4.6 medium,anthropic,anthropic/claude-sonnet-4-6,claude-sonnet-4-6,medium,anthropic_adaptive_thinking_effort,3,15,15,2048,48,measured_usage_with_conservative_buffer:anthropic,0.077127,0.00096409,runcost_default_price_cards,
anthropic-claude-sonnet-4-6-high,Claude Sonnet 4.6 high,anthropic,anthropic/claude-sonnet-4-6,claude-sonnet-4-6,high,anthropic_adaptive_thinking_effort,3,15,15,8192,128,measured_usage_with_conservative_buffer:anthropic,0.173127,0.00216409,runcost_default_price_cards,
anthropic-claude-sonnet-4-6-max,Claude Sonnet 4.6 max,anthropic,anthropic/claude-sonnet-4-6,claude-sonnet-4-6,max,anthropic_adaptive_thinking_effort,3,15,15,32768,384,measured_usage_with_conservative_buffer:anthropic,0.480327,0.00600409,runcost_default_price_cards,
anthropic-claude-sonnet-4-5-low,Claude Sonnet 4.5 low_budget_512,anthropic,anthropic/claude-sonnet-4-5,claude-sonnet-4-5,low,anthropic_manual_thinking_budget,3,15,15,512,16,measured_usage_with_conservative_buffer:anthropic,0.038727,0.00048409,runcost_default_price_cards,
anthropic-claude-sonnet-4-5-medium,Claude Sonnet 4.5 medium_budget_2048,anthropic,anthropic/claude-sonnet-4-5,claude-sonnet-4-5,medium,anthropic_manual_thinking_budget,3,15,15,2048,48,measured_usage_with_conservative_buffer:anthropic,0.077127,0.00096409,runcost_default_price_cards,
anthropic-claude-sonnet-4-5-high,Claude Sonnet 4.5 high_budget_8192,anthropic,anthropic/claude-sonnet-4-5,claude-sonnet-4-5,high,anthropic_manual_thinking_budget,3,15,15,8192,128,measured_usage_with_conservative_buffer:anthropic,0.173127,0.00216409,runcost_default_price_cards,
anthropic-claude-sonnet-4-5-max,Claude Sonnet 4.5 max_budget_32768,anthropic,anthropic/claude-sonnet-4-5,claude-sonnet-4-5,max,anthropic_manual_thinking_budget,3,15,15,32768,384,measured_usage_with_conservative_buffer:anthropic,0.480327,0.00600409,runcost_default_price_cards,
gemini-gemini-2-5-pro-low,Gemini 2.5 Pro low_budget_1024,gemini,google/gemini-2.5-pro,gemini-2.5-pro,low,gemini_thinking_budget,1.25,10,10,1024,64,measured_usage_with_conservative_buffer:gemini,0.06173625,0.0007717,runcost_default_price_cards,
gemini-gemini-2-5-pro-medium,Gemini 2.5 Pro medium_budget_8192,gemini,google/gemini-2.5-pro,gemini-2.5-pro,medium,gemini_thinking_budget,1.25,10,10,8192,192,measured_usage_with_conservative_buffer:gemini,0.16413625,0.0020517,runcost_default_price_cards,
gemini-gemini-2-5-pro-high,Gemini 2.5 Pro high_budget_24576,gemini,google/gemini-2.5-pro,gemini-2.5-pro,high,gemini_thinking_budget,1.25,10,10,24576,384,measured_usage_with_conservative_buffer:gemini,0.31773625,0.0039717,runcost_default_price_cards,
gemini-gemini-2-5-pro-max,Gemini 2.5 Pro max_budget_32768,gemini,google/gemini-2.5-pro,gemini-2.5-pro,max,gemini_thinking_budget,1.25,10,10,32768,512,measured_usage_with_conservative_buffer:gemini,0.42013625,0.0052517,runcost_default_price_cards,
gemini-gemini-2-5-flash-none,Gemini 2.5 Flash thinking_budget_0,gemini,google/gemini-2.5-flash,gemini-2.5-flash,none,gemini_thinking_budget,0.3,2.5,2.5,0,0,measured_usage_with_conservative_buffer:gemini,0.0025927,0.00003241,runcost_default_price_cards,
gemini-gemini-2-5-flash-low,Gemini 2.5 Flash low_budget_1024,gemini,google/gemini-2.5-flash,gemini-2.5-flash,low,gemini_thinking_budget,0.3,2.5,2.5,1024,64,measured_usage_with_conservative_buffer:gemini,0.0153927,0.00019241,runcost_default_price_cards,
gemini-gemini-2-5-flash-medium,Gemini 2.5 Flash medium_budget_8192,gemini,google/gemini-2.5-flash,gemini-2.5-flash,medium,gemini_thinking_budget,0.3,2.5,2.5,8192,192,measured_usage_with_conservative_buffer:gemini,0.0409927,0.00051241,runcost_default_price_cards,
gemini-gemini-2-5-flash-high,Gemini 2.5 Flash high_budget_24576,gemini,google/gemini-2.5-flash,gemini-2.5-flash,high,gemini_thinking_budget,0.3,2.5,2.5,24576,384,measured_usage_with_conservative_buffer:gemini,0.0793927,0.00099241,runcost_default_price_cards,
gemini-gemini-2-5-flash-lite-none,Gemini 2.5 Flash-Lite thinking_budget_0,gemini,google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,none,gemini_thinking_budget,0.1,0.4,0.4,0,0,measured_usage_with_conservative_buffer:gemini,0.0005869,0.00000734,runcost_default_price_cards,
gemini-gemini-2-5-flash-lite-low,Gemini 2.5 Flash-Lite low_budget_1024,gemini,google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,low,gemini_thinking_budget,0.1,0.4,0.4,1024,64,measured_usage_with_conservative_buffer:gemini,0.0026349,0.00003294,runcost_default_price_cards,
gemini-gemini-2-5-flash-lite-medium,Gemini 2.5 Flash-Lite medium_budget_8192,gemini,google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,medium,gemini_thinking_budget,0.1,0.4,0.4,8192,192,measured_usage_with_conservative_buffer:gemini,0.0067309,0.00008414,runcost_default_price_cards,
gemini-gemini-2-5-flash-lite-high,Gemini 2.5 Flash-Lite high_budget_24576,gemini,google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,high,gemini_thinking_budget,0.1,0.4,0.4,24576,384,measured_usage_with_conservative_buffer:gemini,0.0128749,0.00016094,runcost_default_price_cards,
gemini-gemini-3-1-pro-preview-low,Gemini 3.1 Pro Preview low_budget_1024,gemini,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,low,gemini_thinking_level,2,12,12,1024,64,measured_usage_with_conservative_buffer:gemini,0.075738,0.00094673,runcost_default_price_cards,
gemini-gemini-3-1-pro-preview-high,Gemini 3.1 Pro Preview high_budget_24576,gemini,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,high,gemini_thinking_level,2,12,12,24576,384,measured_usage_with_conservative_buffer:gemini,0.382938,0.00478673,runcost_default_price_cards,
gemini-gemini-3-5-flash-minimal,Gemini 3.5 Flash minimal_budget_1024,gemini,google/gemini-3.5-flash,gemini-3.5-flash,minimal,gemini_thinking_level,1.5,9,9,1024,32,measured_usage_with_conservative_buffer:gemini,0.0337635,0.00042204,runcost_default_price_cards,
gemini-gemini-3-5-flash-low,Gemini 3.5 Flash low_budget_1024,gemini,google/gemini-3.5-flash,gemini-3.5-flash,low,gemini_thinking_level,1.5,9,9,1024,64,measured_usage_with_conservative_buffer:gemini,0.0568035,0.00071004,runcost_default_price_cards,
gemini-gemini-3-5-flash-medium,Gemini 3.5 Flash medium_budget_8192,gemini,google/gemini-3.5-flash,gemini-3.5-flash,medium,gemini_thinking_level,1.5,9,9,8192,192,measured_usage_with_conservative_buffer:gemini,0.1489635,0.00186204,runcost_default_price_cards,
gemini-gemini-3-5-flash-high,Gemini 3.5 Flash high_budget_24576,gemini,google/gemini-3.5-flash,gemini-3.5-flash,high,gemini_thinking_level,1.5,9,9,24576,384,measured_usage_with_conservative_buffer:gemini,0.2872035,0.00359004,runcost_default_price_cards,
gemini-gemini-3-flash-preview-minimal,Gemini 3 Flash Preview minimal_budget_1024,gemini,google/gemini-3-flash-preview,gemini-3-flash-preview,minimal,gemini_thinking_level,0.5,3,3,1024,32,measured_usage_with_conservative_buffer:gemini,0.0112545,0.00014068,runcost_default_price_cards,
gemini-gemini-3-flash-preview-low,Gemini 3 Flash Preview low_budget_1024,gemini,google/gemini-3-flash-preview,gemini-3-flash-preview,low,gemini_thinking_level,0.5,3,3,1024,64,measured_usage_with_conservative_buffer:gemini,0.0189345,0.00023668,runcost_default_price_cards,
gemini-gemini-3-flash-preview-medium,Gemini 3 Flash Preview medium_budget_8192,gemini,google/gemini-3-flash-preview,gemini-3-flash-preview,medium,gemini_thinking_level,0.5,3,3,8192,192,measured_usage_with_conservative_buffer:gemini,0.0496545,0.00062068,runcost_default_price_cards,
gemini-gemini-3-flash-preview-high,Gemini 3 Flash Preview high_budget_24576,gemini,google/gemini-3-flash-preview,gemini-3-flash-preview,high,gemini_thinking_level,0.5,3,3,24576,384,measured_usage_with_conservative_buffer:gemini,0.0957345,0.00119668,runcost_default_price_cards,
gemini-gemini-3-1-flash-lite-minimal,Gemini 3.1 Flash-Lite minimal_budget_1024,gemini,google/gemini-3.1-flash-lite,gemini-3.1-flash-lite,minimal,gemini_thinking_level,0.25,1.5,1.5,1024,32,measured_usage_with_conservative_buffer:gemini,0.00562725,0.00007034,runcost_default_price_cards,
gemini-gemini-3-1-flash-lite-low,Gemini 3.1 Flash-Lite low_budget_1024,gemini,google/gemini-3.1-flash-lite,gemini-3.1-flash-lite,low,gemini_thinking_level,0.25,1.5,1.5,1024,64,measured_usage_with_conservative_buffer:gemini,0.00946725,0.00011834,runcost_default_price_cards,
gemini-gemini-3-1-flash-lite-medium,Gemini 3.1 Flash-Lite medium_budget_8192,gemini,google/gemini-3.1-flash-lite,gemini-3.1-flash-lite,medium,gemini_thinking_level,0.25,1.5,1.5,8192,192,measured_usage_with_conservative_buffer:gemini,0.02482725,0.00031034,runcost_default_price_cards,
gemini-gemini-3-1-flash-lite-high,Gemini 3.1 Flash-Lite high_budget_24576,gemini,google/gemini-3.1-flash-lite,gemini-3.1-flash-lite,high,gemini_thinking_level,0.25,1.5,1.5,24576,384,measured_usage_with_conservative_buffer:gemini,0.04786725,0.00059834,runcost_default_price_cards,
grok-grok-4-3-none,Grok 4.3 none,grok,grok/grok-4.3,grok-4.3,none,xai_reasoning_effort,1.25,2.5,2.5,0,0,measured_usage_with_conservative_buffer:grok,0.00573625,0.0000717,runcost_default_price_cards,
grok-grok-4-3-low,Grok 4.3 low,grok,grok/grok-4.3,grok-4.3,low,xai_reasoning_effort,1.25,2.5,2.5,256,128,measured_usage_with_conservative_buffer:grok,0.03133625,0.0003917,runcost_default_price_cards,
grok-grok-4-3-medium,Grok 4.3 medium,grok,grok/grok-4.3,grok-4.3,medium,xai_reasoning_effort,1.25,2.5,2.5,1024,256,measured_usage_with_conservative_buffer:grok,0.05693625,0.0007117,runcost_default_price_cards,
grok-grok-4-3-high,Grok 4.3 high,grok,grok/grok-4.3,grok-4.3,high,xai_reasoning_effort,1.25,2.5,2.5,4096,512,measured_usage_with_conservative_buffer:grok,0.10813625,0.0013517,runcost_default_price_cards,
grok-grok-4-20-multi-agent-low,Grok 4.20 Multi-Agent low,grok,grok/grok-4.20-multi-agent,grok-4.20-multi-agent,low,xai_reasoning_effort,2,6,6,256,128,measured_usage_with_conservative_buffer:grok,0.071898,0.00089873,openrouter_models_api_proxy_price,
grok-grok-4-20-multi-agent-medium,Grok 4.20 Multi-Agent medium,grok,grok/grok-4.20-multi-agent,grok-4.20-multi-agent,medium,xai_reasoning_effort,2,6,6,1024,256,measured_usage_with_conservative_buffer:grok,0.133338,0.00166673,openrouter_models_api_proxy_price,
grok-grok-4-20-multi-agent-high,Grok 4.20 Multi-Agent high,grok,grok/grok-4.20-multi-agent,grok-4.20-multi-agent,high,xai_reasoning_effort,2,6,6,4096,512,measured_usage_with_conservative_buffer:grok,0.256218,0.00320273,openrouter_models_api_proxy_price,
grok-grok-4-20-multi-agent-xhigh,Grok 4.20 Multi-Agent xhigh,grok,grok/grok-4.20-multi-agent,grok-4.20-multi-agent,xhigh,xai_reasoning_effort,2,6,6,8192,1024,measured_usage_with_conservative_buffer:grok,0.501978,0.00627473,openrouter_models_api_proxy_price,
openrouter-openai-gpt-5-5-none,OpenAI: GPT-5.5 none,openrouter,openrouter/openai/gpt-5.5,openai/gpt-5.5,none,openrouter_reasoning_effort,5,30,30,0,0,measured_usage_with_conservative_buffer:openai,0.035745,0.00044681,openrouter_models_api,
openrouter-openai-gpt-5-5-low,OpenAI: GPT-5.5 low,openrouter,openrouter/openai/gpt-5.5,openai/gpt-5.5,low,openrouter_reasoning_effort,5,30,30,512,64,measured_usage_with_conservative_buffer:openai,0.189345,0.00236681,openrouter_models_api,
openrouter-openai-gpt-5-5-medium,OpenAI: GPT-5.5 medium,openrouter,openrouter/openai/gpt-5.5,openai/gpt-5.5,medium,openrouter_reasoning_effort,5,30,30,2048,96,measured_usage_with_conservative_buffer:openai,0.266145,0.00332681,openrouter_models_api,
openrouter-openai-gpt-5-5-high,OpenAI: GPT-5.5 high,openrouter,openrouter/openai/gpt-5.5,openai/gpt-5.5,high,openrouter_reasoning_effort,5,30,30,8192,160,measured_usage_with_conservative_buffer:openai,0.419745,0.00524681,openrouter_models_api,
openrouter-openai-gpt-5-5-xhigh,OpenAI: GPT-5.5 xhigh,openrouter,openrouter/openai/gpt-5.5,openai/gpt-5.5,xhigh,openrouter_reasoning_effort,5,30,30,16384,320,measured_usage_with_conservative_buffer:openai,0.803745,0.01004681,openrouter_models_api,
