rank,label,display_label,model,thinking_level,barrage_profile,accuracy_pct,accuracy_ci_95,answer_accuracy_pct,format_accuracy_pct,strict_accuracy_pct,obvious_failure_rate_pct,correct,answer_correct,format_correct,strict_correct,scored_samples,provider_errors,timeouts,total_tokens,total_tokens_display,estimated_cost_usd,cost_per_correct_usd,tokens_per_correct,overthinking_index,reasoning_token_source,cost_warnings,summary_dir
11,MoonshotAI: Kimi K2.5,MoonshotAI: Kimi K2.5 (provider default),openrouter/moonshotai/kimi-k2.5,provider default,hard_obvious_8x28_seed_20260531,99.1,96.8-99.8%,99.1,100.0,99.1,0.9,222,222,224,222,224,0,0,21418,21.42k,0.034297,0.000154,96,0.97,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-049-registry-openrouter-169-moonshotai-kimi-k2-5
12,Google: Gemini 3.5 Flash low,Google: Gemini 3.5 Flash low (thinking=low),openrouter/google/gemini-3.5-flash,thinking=low,hard_obvious_8x28_seed_20260531,99.1,96.8-99.8%,99.1,100.0,99.1,0.9,222,222,224,222,224,0,0,14555,14.55k,0.1050075,0.00047301,66,0.99,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-029-openrouter-google-gemini-3-5-flash-low
13,Qwen: Qwen3.6 Max Preview,Qwen: Qwen3.6 Max Preview (thinking=max),openrouter/qwen/qwen3.6-max-preview,thinking=max,hard_obvious_8x28_seed_20260531,99.1,96.8-99.8%,99.1,100.0,99.1,0.9,222,222,224,222,224,0,0,34743,34.74k,0.19439,0.000876,156,0.98,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-071-registry-openrouter-179-qwen-qwen3-6-max-preview
14,OpenAI GPT-5.4 xhigh,OpenAI GPT-5.4 xhigh (thinking=xhigh),openai/gpt-5.4,thinking=xhigh,hard_obvious_8x28_seed_20260531,99.1,96.8-99.8%,99.1,100.0,99.1,0.9,222,222,224,222,224,0,0,20190,20.19k,0.25585,0.00115248,91,0.96,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-010-openai-gpt-5-4-xhigh
15,DeepSeek: DeepSeek V4 Pro,DeepSeek: DeepSeek V4 Pro (provider default),openrouter/deepseek/deepseek-v4-pro,provider default,hard_obvious_8x28_seed_20260531,98.7,96.1-99.5%,98.7,94.2,92.9,1.3,221,221,211,208,224,0,0,22466,22.47k,0.016219,0.000073,102,0.95,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-079-openrouter-125-deepseek-deepseek-v4-pro
16,Tencent: Hy3 preview,Tencent: Hy3 preview (provider default),openrouter/tencent/hy3-preview,provider default,hard_obvious_8x28_seed_20260531,98.7,96.1-99.5%,98.7,100.0,98.7,1.3,221,221,224,221,224,0,0,98006,98.01k,0.019445,0.000088,443,0.84,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-038-openrouter-126-tencent-hy3-preview
17,Qwen: Qwen3 30B A3B,Qwen: Qwen3 30B A3B (provider default),openrouter/qwen/qwen3-30b-a3b,provider default,hard_obvious_8x28_seed_20260531,98.7,96.1-99.5%,98.7,100.0,98.7,1.3,221,221,224,221,224,0,0,62726,62.73k,0.025618,0.000116,284,0.89,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-061-openrouter-057-qwen-qwen3-30b-a3b
18,Google: Gemini 3.1 Flash Lite high,Google: Gemini 3.1 Flash Lite high (thinking=high),openrouter/google/gemini-3.1-flash-lite,thinking=high,hard_obvious_8x28_seed_20260531,98.7,96.1-99.5%,98.7,100.0,98.7,1.3,221,221,224,221,224,0,0,31118,31.12k,0.042292,0.00019137,141,0.99,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-037-openrouter-google-gemini-3-1-flash-lite-high
19,Qwen: Qwen3.5 397B A17B,Qwen: Qwen3.5 397B A17B (provider default),openrouter/qwen/qwen3.5-397b-a17b,provider default,hard_obvious_8x28_seed_20260531,98.7,96.1-99.5%,98.7,100.0,98.7,1.3,221,221,224,221,224,0,0,37862,37.86k,0.080195,0.000363,171,0.95,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-055-registry-openrouter-091-qwen-qwen3-5-397b-a17b
20,Google: Gemini 3.1 Pro Preview Custom Tools low,Google: Gemini 3.1 Pro Preview Custom Tools low (thinking=low),openrouter/google/gemini-3.1-pro-preview-customtools,thinking=low,hard_obvious_8x28_seed_20260531,98.7,96.1-99.5%,98.7,100.0,98.7,1.3,221,221,224,221,224,0,0,16698,16.70k,0.164886,0.00074609,76,0.99,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-032-openrouter-google-gemini-3-1-pro-preview-customtools-low
21,Google: Gemini 3.5 Flash medium,Google: Gemini 3.5 Flash medium (thinking=medium),openrouter/google/gemini-3.5-flash,thinking=medium,hard_obvious_8x28_seed_20260531,98.7,96.1-99.5%,98.7,100.0,98.7,1.3,221,221,224,221,224,0,0,21478,21.48k,0.1673145,0.00075708,97,0.99,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-030-openrouter-google-gemini-3-5-flash-medium
22,Grok 4.3,Grok 4.3 (provider default),grok/grok-4.3,provider default,hard_obvious_8x28_seed_20260531,98.7,96.1-99.5%,98.7,67.4,66.1,1.3,221,221,151,148,224,0,0,108334,108.33k,0.182911,0.000828,490,15.14,reported,,results/summaries/paper-v1-8x28-current-222-20260602-repair3-xai-grok/runs/expand222-paper-grok-4-3
23,Google: Gemini 3.5 Flash high,Google: Gemini 3.5 Flash high (thinking=high),openrouter/google/gemini-3.5-flash,thinking=high,hard_obvious_8x28_seed_20260531,98.7,96.1-99.5%,98.7,100.0,98.7,1.3,221,221,224,221,224,0,0,23696,23.70k,0.1872765,0.0008474,107,0.99,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-031-openrouter-google-gemini-3-5-flash-high
24,Google: Gemini 3.1 Flash Lite medium,Google: Gemini 3.1 Flash Lite medium (thinking=medium),openrouter/google/gemini-3.1-flash-lite,thinking=medium,hard_obvious_8x28_seed_20260531,98.2,95.5-99.3%,98.2,100.0,98.2,1.8,220,220,224,220,224,0,0,16038,16.04k,0.01968075,0.00008946,73,0.99,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-036-openrouter-google-gemini-3-1-flash-lite-medium
25,OpenAI GPT-5.4 mini high,OpenAI GPT-5.4 mini high (thinking=high),openai/gpt-5.4-mini,thinking=high,hard_obvious_8x28_seed_20260531,98.2,95.5-99.3%,98.2,100.0,98.2,1.8,220,220,224,220,224,0,0,18215,18.21k,0.056775,0.00025807,83,0.89,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-overline-005-openai-gpt-5-4-mini-high
26,OpenAI GPT-5.4 medium,OpenAI GPT-5.4 medium (thinking=medium),openai/gpt-5.4,thinking=medium,hard_obvious_8x28_seed_20260531,98.2,95.5-99.3%,98.2,100.0,98.2,1.8,220,220,224,220,224,0,0,8100,8.10k,0.0745,0.00033864,37,0.85,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-008-openai-gpt-5-4-medium
27,Qwen: Qwen3 VL 235B A22B Thinking,Qwen: Qwen3 VL 235B A22B Thinking (model-named thinking),openrouter/qwen/qwen3-vl-235b-a22b-thinking,model-named thinking,hard_obvious_8x28_seed_20260531,98.2,95.5-99.3%,98.2,100.0,98.2,1.8,220,220,224,220,224,0,0,63894,63.89k,0.156432,0.000711,290,0.99,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-057-registry-openrouter-124-qwen-qwen3-vl-235b-a22b-thinking
28,OpenAI GPT-5.4 mini xhigh,OpenAI GPT-5.4 mini xhigh (thinking=xhigh),openai/gpt-5.4-mini,thinking=xhigh,hard_obvious_8x28_seed_20260531,98.2,95.5-99.3%,98.2,100.0,98.2,1.8,220,220,224,220,224,0,0,42483,42.48k,0.165981,0.00075446,193,0.97,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-overline-007-openai-gpt-5-4-mini-xhigh
29,Claude Opus 4.8 max,Claude Opus 4.8 max (thinking=max),anthropic/claude-opus-4-8,thinking=max,hard_obvious_8x28_seed_20260531,98.2,95.5-99.3%,98.2,97.8,96.0,1.8,220,220,219,215,224,0,0,21331,21.33k,0.254035,0.0011547,97,0.83,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-015-anthropic-claude-opus-4-8-max
30,OpenAI GPT-5 nano medium,OpenAI GPT-5 nano medium (thinking=medium),openai/gpt-5-nano,thinking=medium,hard_obvious_8x28_seed_20260531,97.8,94.9-99.0%,97.8,100.0,97.8,2.2,219,219,224,219,224,0,0,38976,38.98k,0.0142744,0.00006518,178,0.90,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-090-thinking-openai-gpt-5-nano-medium
31,StepFun: Step 3.5 Flash,StepFun: Step 3.5 Flash (provider default),openrouter/stepfun/step-3.5-flash,provider default,hard_obvious_8x28_seed_20260531,97.8,94.9-99.0%,97.8,100.0,97.8,2.2,219,219,224,219,224,0,0,89478,89.48k,0.02525,0.000115,409,0.98,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-044-openrouter-032-stepfun-step-3-5-flash
32,Gemini 2.5 Flash,Gemini 2.5 Flash (provider default),google/gemini-2.5-flash,provider default,hard_obvious_8x28_seed_20260531,97.8,94.9-99.0%,97.8,87.5,85.7,2.2,219,219,196,192,224,0,0,20840,20.84k,0.044292,0.000202,95,49.56,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-056-registry-gemini-2-5-flash
33,Z.ai: GLM 4.7,Z.ai: GLM 4.7 (provider default),openrouter/z-ai/glm-4.7,provider default,hard_obvious_8x28_seed_20260531,97.8,94.9-99.0%,97.8,88.8,86.6,2.2,219,219,199,194,224,0,0,44644,44.64k,0.068968,0.000315,204,0.98,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-094-openrouter-131-z-ai-glm-4-7
34,Qwen: Qwen3.5-122B-A10B,Qwen: Qwen3.5-122B-A10B (provider default),openrouter/qwen/qwen3.5-122b-a10b,provider default,hard_obvious_8x28_seed_20260531,97.8,94.9-99.0%,97.8,99.6,97.8,2.2,219,219,223,219,224,0,0,38980,38.98k,0.073236,0.000334,178,0.96,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-050-registry-openrouter-089-qwen-qwen3-5-122b-a10b
35,Qwen: Qwen3.6 Plus,Qwen: Qwen3.6 Plus (provider default),openrouter/qwen/qwen3.6-plus,provider default,hard_obvious_8x28_seed_20260531,97.8,94.9-99.0%,97.8,100.0,97.8,2.2,219,219,224,219,224,0,0,41328,41.33k,0.073587,0.000336,189,0.98,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-048-registry-openrouter-166-qwen-qwen3-6-plus
36,Z.ai: GLM 5.1,Z.ai: GLM 5.1 (provider default),openrouter/z-ai/glm-5.1,provider default,hard_obvious_8x28_seed_20260531,97.8,94.9-99.0%,97.8,100.0,97.8,2.2,219,219,224,219,224,0,0,35022,35.02k,0.09988,0.000456,160,0.98,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-063-registry-openrouter-128-z-ai-glm-5-1
37,OpenAI GPT-5.4 high,OpenAI GPT-5.4 high (thinking=high),openai/gpt-5.4,thinking=high,hard_obvious_8x28_seed_20260531,97.8,94.9-99.0%,97.8,100.0,97.8,2.2,219,219,224,219,224,0,0,9829,9.83k,0.100435,0.00045861,45,0.89,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-009-openai-gpt-5-4-high
38,Qwen: Qwen3 235B A22B,Qwen: Qwen3 235B A22B (provider default),openrouter/qwen/qwen3-235b-a22b,provider default,hard_obvious_8x28_seed_20260531,97.8,94.9-99.0%,97.8,97.8,96.0,2.2,219,219,219,215,224,0,0,73769,73.77k,0.124564,0.000569,337,0.97,reported,,results/summaries/paper-v1-8x28-current-222-final-20260602/cumulative-cost-runs/expand222-scaled-096-openrouter-061-qwen-qwen3-235b-a22b
39,Prime Intellect: INTELLECT-3,Prime Intellect: INTELLECT-3 (provider default),openrouter/prime-intellect/intellect-3,provider default,hard_obvious_8x28_seed_20260531,97.8,94.9-99.0%,97.8,97.8,95.5,2.2,219,219,219,214,224,0,0,179362,179.36k,0.190823,0.000871,819,1.01,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-087-openrouter-135-prime-intellect-intellect-3
40,Claude Sonnet 4.6 high,Claude Sonnet 4.6 high (thinking=high),anthropic/claude-sonnet-4-6,thinking=high,hard_obvious_8x28_seed_20260531,97.8,94.9-99.0%,97.8,87.5,85.3,2.2,219,219,196,191,224,0,0,22669,22.67k,0.211131,0.00096407,104,0.75,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-018-anthropic-claude-sonnet-4-6-high
41,Qwen: Qwen3.5 Plus 2026-04-20,Qwen: Qwen3.5 Plus 2026-04-20 (provider default),openrouter/qwen/qwen3.5-plus-20260420,provider default,hard_obvious_8x28_seed_20260531,97.8,94.9-99.0%,97.8,100.0,97.8,2.2,219,219,224,219,224,0,0,122046,122.05k,0.213219,0.000974,557,1.00,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-046-registry-openrouter-162-qwen-qwen3-5-plus-20260420
42,Z.ai: GLM 4.5,Z.ai: GLM 4.5 (provider default),openrouter/z-ai/glm-4.5,provider default,hard_obvious_8x28_seed_20260531,97.8,94.9-99.0%,97.8,88.4,86.2,2.2,219,219,198,193,224,0,0,122603,122.60k,0.257196,0.001174,560,0.99,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-098-openrouter-146-z-ai-glm-4-5
43,NVIDIA: Nemotron 3 Super,NVIDIA: Nemotron 3 Super (provider default),openrouter/nvidia/nemotron-3-super-120b-a12b,provider default,hard_obvious_8x28_seed_20260531,97.3,94.3-98.8%,97.3,100.0,97.3,2.7,218,218,224,218,224,0,0,38,0.04k,0.000006,0,0,24.50,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-060-openrouter-029-nvidia-nemotron-3-super-120b-a12b
44,Qwen: Qwen3 235B A22B Thinking 2507,Qwen: Qwen3 235B A22B Thinking 2507 (model-named thinking),openrouter/qwen/qwen3-235b-a22b-thinking-2507,model-named thinking,hard_obvious_8x28_seed_20260531,97.3,94.3-98.8%,97.3,100.0,97.3,2.7,218,218,224,218,224,0,0,102425,102.42k,0.010239,0.000047,470,0.97,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-023-openrouter-118-qwen-qwen3-235b-a22b-thinking-2507
45,Xiaomi: MiMo-V2.5-Pro,Xiaomi: MiMo-V2.5-Pro (provider default),openrouter/xiaomi/mimo-v2.5-pro,provider default,hard_obvious_8x28_seed_20260531,97.3,94.3-98.8%,97.3,100.0,97.3,2.7,218,218,224,218,224,0,0,62499,62.50k,0.019374,0.000089,287,0.95,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-080-openrouter-127-xiaomi-mimo-v2-5-pro
46,Qwen: Qwen3.6 Flash low_budget_512,Qwen: Qwen3.6 Flash low_budget_512 (thinking=low),openrouter/qwen/qwen3.6-flash,thinking=low,hard_obvious_8x28_seed_20260531,97.3,94.3-98.8%,97.3,100.0,97.3,2.7,218,218,224,218,224,0,0,34491,34.49k,0.034763,0.000159,158,0.98,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-098-thinking-openrouter-qwen-qwen3-6-flash-low
47,OpenAI GPT-5.4 low,OpenAI GPT-5.4 low (thinking=low),openai/gpt-5.4,thinking=low,hard_obvious_8x28_seed_20260531,97.3,94.3-98.8%,97.3,100.0,97.3,2.7,218,218,224,218,224,0,0,6365,6.37k,0.048475,0.00022236,29,0.77,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-007-openai-gpt-5-4-low
48,Z.ai: GLM 5 Turbo,Z.ai: GLM 5 Turbo (provider default),openrouter/z-ai/glm-5-turbo,provider default,hard_obvious_8x28_seed_20260531,97.3,94.3-98.8%,97.3,100.0,97.3,2.7,218,218,224,218,224,0,0,14876,14.88k,0.049166,0.000226,68,0.97,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-068-registry-openrouter-180-z-ai-glm-5-turbo
49,MoonshotAI Kimi Latest,MoonshotAI Kimi Latest (provider default),openrouter/~moonshotai/kimi-latest,provider default,hard_obvious_8x28_seed_20260531,97.3,94.3-98.8%,97.3,100.0,97.3,2.7,218,218,224,218,224,0,0,23806,23.81k,0.070267,0.000322,109,0.90,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-064-registry-openrouter-161-moonshotai-kimi-latest
50,NVIDIA: Llama 3.3 Nemotron Super 49B V1.5,NVIDIA: Llama 3.3 Nemotron Super 49B V1.5 (provider default),openrouter/nvidia/llama-3.3-nemotron-super-49b-v1.5,provider default,hard_obvious_8x28_seed_20260531,96.9,93.7-98.5%,96.9,99.6,96.4,3.1,217,217,223,216,224,0,0,33145,33.15k,0.011798,0.000054,153,0.89,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-overline-001-openrouter-nvidia-llama-3-3-nemotron-super-49b-v1-5
51,MiniMax: MiniMax M3,MiniMax: MiniMax M3 (provider default),openrouter/minimax/minimax-m3,provider default,hard_obvious_8x28_seed_20260531,96.9,93.7-98.5%,96.9,100.0,96.9,3.1,217,217,224,217,224,0,0,67257,67.26k,0.029649,0.000137,310,0.90,reported,,results/summaries/paper-v1-8x28-cost-telemetry-rerun2-20260603/runs/expand222-next-039-registry-openrouter-080-minimax-minimax-m3
52,Grok Build 0.1,Grok Build 0.1 (provider default),grok/grok-build-0.1,provider default,hard_obvious_8x28_seed_20260531,96.9,93.7-98.5%,96.9,81.7,78.6,3.1,217,217,183,176,224,0,0,219263,219.26k,0.469025,0.002161,1010,89.30,reported,,results/summaries/paper-v1-8x28-current-222-20260602-repair3-xai-grok/runs/expand222-next-058-registry-grok-build-0-1
53,Qwen: Qwen3 14B,Qwen: Qwen3 14B (provider default),openrouter/qwen/qwen3-14b,provider default,hard_obvious_8x28_seed_20260531,96.4,93.1-98.2%,96.4,98.7,95.1,3.6,216,216,221,213,224,0,0,59960,59.96k,0.013375,0.000062,278,0.89,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-039-openrouter-059-qwen-qwen3-14b
54,OpenAI GPT-5.4 nano xhigh,OpenAI GPT-5.4 nano xhigh (thinking=xhigh),openai/gpt-5.4-nano,thinking=xhigh,hard_obvious_8x28_seed_20260531,96.4,93.1-98.2%,96.4,100.0,96.4,3.6,216,216,224,216,224,0,0,22563,22.56k,0.02114985,0.00009792,104,0.92,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-overline-006-openai-gpt-5-4-nano-xhigh
55,OpenAI GPT-5.4 mini low,OpenAI GPT-5.4 mini low (thinking=low),openai/gpt-5.4-mini,thinking=low,hard_obvious_8x28_seed_20260531,96.4,93.1-98.2%,96.4,100.0,96.4,3.6,216,216,224,216,224,0,0,12361,12.36k,0.030432,0.00014089,57,0.78,reported,,results/summaries/paper-v1-8x28-fill-gpt-5-4-mini-low-20260603/runs/expand222-fill-openai-gpt-5-4-mini-low
56,Qwen: Qwen3.6 35B A3B,Qwen: Qwen3.6 35B A3B (provider default),openrouter/qwen/qwen3.6-35b-a3b,provider default,hard_obvious_8x28_seed_20260531,96.4,93.1-98.2%,96.4,100.0,96.4,3.6,216,216,224,216,224,0,0,44492,44.49k,0.040786,0.000189,206,0.92,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-031-registry-openrouter-082-qwen-qwen3-6-35b-a3b
57,Qwen: Qwen3.6 35B A3B low_budget_512,Qwen: Qwen3.6 35B A3B low_budget_512 (thinking=low),openrouter/qwen/qwen3.6-35b-a3b,thinking=low,hard_obvious_8x28_seed_20260531,96.4,93.1-98.2%,96.4,100.0,96.4,3.6,216,216,224,216,224,0,0,46369,46.37k,0.042663,0.000198,215,0.95,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-096-thinking-openrouter-qwen-qwen3-6-35b-a3b-low
58,Qwen: Qwen3.6 Flash,Qwen: Qwen3.6 Flash (provider default),openrouter/qwen/qwen3.6-flash,provider default,hard_obvious_8x28_seed_20260531,96.4,93.1-98.2%,96.4,100.0,96.4,3.6,216,216,224,216,224,0,0,41682,41.68k,0.042853,0.000198,193,0.98,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-036-registry-openrouter-081-qwen-qwen3-6-flash
59,OpenAI GPT-5.4 mini medium,OpenAI GPT-5.4 mini medium (thinking=medium),openai/gpt-5.4-mini,thinking=medium,hard_obvious_8x28_seed_20260531,96.4,93.1-98.2%,96.4,100.0,96.4,3.6,216,216,224,216,224,0,0,15152,15.15k,0.0429915,0.00019903,70,0.85,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-overline-004-openai-gpt-5-4-mini-medium
60,MiniMax: MiniMax M2.5,MiniMax: MiniMax M2.5 (provider default),openrouter/minimax/minimax-m2.5,provider default,hard_obvious_8x28_seed_20260531,96.4,93.1-98.2%,96.4,100.0,96.4,3.6,216,216,224,216,224,0,0,64393,64.39k,0.06168,0.000286,298,0.95,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-089-openrouter-031-minimax-minimax-m2-5
61,Z.ai: GLM 5V Turbo,Z.ai: GLM 5V Turbo (provider default),openrouter/z-ai/glm-5v-turbo,provider default,hard_obvious_8x28_seed_20260531,96.4,93.1-98.2%,96.4,88.8,85.3,3.6,216,216,199,191,224,0,0,21521,21.52k,0.07515,0.000348,100,0.98,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-069-registry-openrouter-184-z-ai-glm-5v-turbo
62,Claude Opus 4.8 high,Claude Opus 4.8 high (thinking=high),anthropic/claude-opus-4-8,thinking=high,hard_obvious_8x28_seed_20260531,96.4,93.1-98.2%,96.4,99.6,96.0,3.6,216,216,223,215,224,0,0,16019,16.02k,0.121235,0.00056127,74,0.40,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-013-anthropic-claude-opus-4-8-high
