label,family,accuracy_pct,correct,samples,failures,estimated_cost_usd
GPT-5.5 medium,spelling_transform,100.00,10,10,0,0.02093
GPT-5.5 medium,word_count,100.00,10,10,0,0.01189
GPT-5.5 none,arithmetic,100.00,10,10,0,0.003595
GPT-5.5 none,character_count,50.00,5,10,5,0.00311
GPT-5.5 none,constraint_awareness,100.00,10,10,0,0.00461
GPT-5.5 none,format_compliance,100.00,10,10,0,0.004215
GPT-5.5 none,negation,100.00,10,10,0,0.003755
GPT-5.5 none,ordering,100.00,10,10,0,0.00579
GPT-5.5 none,spelling_transform,80.00,8,10,2,0.00371
GPT-5.5 none,word_count,100.00,10,10,0,0.00346
Gemini 2.5 Flash OR,arithmetic,100.00,10,10,0,0.0001695
Gemini 2.5 Flash OR,character_count,40.00,4,10,6,0.000112
Gemini 2.5 Flash OR,constraint_awareness,60.00,6,10,4,0.0002008
Gemini 2.5 Flash OR,format_compliance,80.00,8,10,2,0.0002458
Gemini 2.5 Flash OR,negation,90.00,9,10,1,0.0001483
Gemini 2.5 Flash OR,ordering,100.00,10,10,0,0.0003357
Gemini 2.5 Flash OR,spelling_transform,80.00,8,10,2,0.0001517
Gemini 2.5 Flash OR,word_count,100.00,10,10,0,0.0001306
Gemini 3.5 Flash OR,arithmetic,100.00,10,10,0,0.012003
Gemini 3.5 Flash OR,character_count,80.00,8,10,2,0.020595
Gemini 3.5 Flash OR,constraint_awareness,100.00,10,10,0,0.019329
Gemini 3.5 Flash OR,format_compliance,100.00,10,10,0,0.017247
Gemini 3.5 Flash OR,negation,100.00,10,10,0,0.0150345
Gemini 3.5 Flash OR,ordering,100.00,10,10,0,0.0193185
Gemini 3.5 Flash OR,spelling_transform,100.00,10,10,0,0.019044
Gemini 3.5 Flash OR,word_count,100.00,10,10,0,0.012984
OR free DeepSeek V4 Flash,arithmetic,0.00,0,2,2,0.0
OR free DeepSeek V4 Flash,character_count,0.00,0,2,2,0.0
OR free DeepSeek V4 Flash,constraint_awareness,0.00,0,2,2,0.0
OR free DeepSeek V4 Flash,format_compliance,0.00,0,2,2,0.0
OR free DeepSeek V4 Flash,negation,0.00,0,2,2,0.0
OR free DeepSeek V4 Flash,ordering,0.00,0,2,2,0.0
OR free DeepSeek V4 Flash,spelling_transform,0.00,0,2,2,0.0
OR free DeepSeek V4 Flash,word_count,0.00,0,2,2,0.0
OR free GPT-OSS 120B,arithmetic,100.00,2,2,0,0.0
OR free GPT-OSS 120B,character_count,100.00,2,2,0,0.0
OR free GPT-OSS 120B,constraint_awareness,100.00,2,2,0,0.0
OR free GPT-OSS 120B,format_compliance,100.00,2,2,0,0.0
OR free GPT-OSS 120B,negation,100.00,2,2,0,0.0
OR free GPT-OSS 120B,ordering,100.00,2,2,0,0.0
OR free GPT-OSS 120B,spelling_transform,100.00,2,2,0,0.0
OR free GPT-OSS 120B,word_count,100.00,2,2,0,0.0
