label,model,barrage_profile,reasoning_effort,reasoning_summary,total_samples,scored_samples,correct,failures,answer_correct,format_correct,strict_correct,provider_errors,timeouts,accuracy,answer_accuracy,format_accuracy,strict_accuracy,obvious_failure_rate,failures_per_1000,non_answers,format_failures,input_tokens,output_tokens,reasoning_tokens,cache_read_tokens,cache_write_tokens,total_tokens,estimated_cost_usd,cost_source,cost_warnings,summary_dir
Claude Opus 4.6 medium,anthropic/claude-opus-4-6,balanced_8x10,,none,80,80,77,3,77,80,77,0,0,0.9625,0.9625,1.0,0.9625,0.0375,38,0,0,3581,639,0,0,0,4220,0.03388,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-medium-seq-balanced_8x10-20260531-080213
Claude Opus 4.6 high,anthropic/claude-opus-4-6,balanced_8x10,,none,80,80,76,4,76,80,76,0,0,0.95,0.95,1.0,0.95,0.05,50,0,0,3581,1050,0,0,0,4631,0.044155,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-high-seq-balanced_8x10-20260531-080353
Claude Opus 4.7 low,anthropic/claude-opus-4-7,balanced_8x10,,none,80,80,73,7,73,80,73,0,0,0.9125,0.9125,1.0,0.9125,0.0875,88,0,0,5061,612,0,0,0,5673,0.040605,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-low-seq-balanced_8x10-20260531-080550
Claude Opus 4.7 medium,anthropic/claude-opus-4-7,balanced_8x10,,none,80,80,75,5,75,80,75,0,0,0.9375,0.9375,1.0,0.9375,0.0625,62,0,0,5061,612,0,0,0,5673,0.040605,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-medium-seq-balanced_8x10-20260531-080751
Claude Opus 4.7 high,anthropic/claude-opus-4-7,balanced_8x10,,none,80,80,74,6,74,80,74,0,0,0.925,0.925,1.0,0.925,0.075,75,0,0,5061,612,0,0,0,5673,0.040605,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-high-seq-balanced_8x10-20260531-080926
Claude Opus 4.8 low,anthropic/claude-opus-4-8,balanced_8x10,,none,80,80,74,6,74,80,74,0,0,0.925,0.925,1.0,0.925,0.075,75,0,0,4661,413,0,0,0,5074,0.03363,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-low-seq-balanced_8x10-20260531-081105
Claude Opus 4.8 medium,anthropic/claude-opus-4-8,balanced_8x10,,none,80,80,75,5,75,80,75,0,0,0.9375,0.9375,1.0,0.9375,0.0625,62,0,0,4661,413,0,0,0,5074,0.03363,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-medium-seq-balanced_8x10-20260531-081256
Claude Opus 4.8 high,anthropic/claude-opus-4-8,balanced_8x10,,none,80,80,75,5,75,80,75,0,0,0.9375,0.9375,1.0,0.9375,0.0625,62,0,0,4661,413,0,0,0,5074,0.03363,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-high-seq-balanced_8x10-20260531-081442
Gemini 3.1 Flash Lite OR,openrouter/google/gemini-3.1-flash-lite,balanced_8x10,,,80,80,65,15,65,80,65,0,0,0.8125,0.8125,1.0,0.8125,0.1875,188,0,0,3036,226,0,0,0,3262,0.001098,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-flash-lite-openrouter-balanced_8x10-20260531-080345
Gemini 3 Flash Preview OR,openrouter/google/gemini-3-flash-preview,balanced_8x10,,,80,80,70,10,70,80,70,0,0,0.875,0.875,1.0,0.875,0.125,125,0,0,2998,227,0,0,0,3225,0.00218,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-flash-preview-openrouter-balanced_8x10-20260531-080345
Gemini 3.1 Pro Preview OR,openrouter/google/gemini-3.1-pro-preview,balanced_8x10,,,80,80,80,0,80,80,80,0,0,1.0,1.0,1.0,1.0,0.0,0,0,0,2998,14743,14519,0,0,17741,0.182912,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-pro-preview-openrouter-balanced_8x10-20260531-080345
Gemini 3.5 Flash OR,openrouter/google/gemini-3.5-flash,balanced_8x10,,,80,80,80,0,80,80,80,0,0,1.0,1.0,1.0,1.0,0.0,0,0,0,2998,16058,15834,0,0,19056,0.149019,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-5-flash-openrouter-balanced_8x10-20260531-080345
Grok 4.3 xAI,grok/grok-4.3,balanced_8x10,,,80,80,70,10,70,60,50,0,0,0.875,0.875,0.75,0.625,0.125,125,0,20,2954,1578,21981,10240,0,36753,0.064638,xai_docs_2026-05-31,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-3-xai-balanced_8x10-20260531-075934
Grok 4.20 xAI,grok/grok-4.20,balanced_8x10,,,80,80,46,34,46,48,16,0,0,0.575,0.575,0.6,0.2,0.425,425,1,32,3242,6548,50702,9472,0,69964,0.1490719,xai_docs_2026-05-31,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-20-xai-balanced_8x10-20260531-075934
