label,model,barrage_profile,reasoning_effort,reasoning_summary,family,samples,correct,failures,answer_correct,format_correct,strict_correct,input_tokens,output_tokens,reasoning_tokens,cache_read_tokens,cache_write_tokens,total_tokens,estimated_cost_usd,cost_source,cost_warnings,summary_dir
GPT-4.1 none,openai/gpt-4.1,balanced_8x10,,,constraint_awareness,10,6,4,6,9,5,632,13,0,0,0,645,0.001368,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4-1-balanced-8x10-nothinking-20260530-213526
GPT-4.1 none,openai/gpt-4.1,balanced_8x10,,,format_compliance,10,10,0,10,10,10,433,35,0,0,0,468,0.001146,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4-1-balanced-8x10-nothinking-20260530-213526
GPT-4.1 none,openai/gpt-4.1,balanced_8x10,,,negation,10,9,1,9,9,8,455,13,0,0,0,468,0.001014,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4-1-balanced-8x10-nothinking-20260530-213526
GPT-4.1 none,openai/gpt-4.1,balanced_8x10,,,ordering,10,10,0,10,10,10,418,85,0,0,0,503,0.001516,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4-1-balanced-8x10-nothinking-20260530-213526
GPT-4.1 none,openai/gpt-4.1,balanced_8x10,,,spelling_transform,10,6,4,6,10,6,314,32,0,0,0,346,0.000884,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4-1-balanced-8x10-nothinking-20260530-213526
GPT-4.1 none,openai/gpt-4.1,balanced_8x10,,,word_count,10,10,0,10,10,10,402,11,0,0,0,413,0.000892,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4-1-balanced-8x10-nothinking-20260530-213526
GPT-4o none,openai/gpt-4o,balanced_8x10,,,arithmetic,10,10,0,10,10,10,375,20,0,0,0,395,0.0011375,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4o-balanced-8x10-nothinking-20260530-213550
GPT-4o none,openai/gpt-4o,balanced_8x10,,,character_count,10,7,3,7,10,7,332,17,0,0,0,349,0.001,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4o-balanced-8x10-nothinking-20260530-213550
GPT-4o none,openai/gpt-4o,balanced_8x10,,,constraint_awareness,10,6,4,6,5,1,632,33,0,0,0,665,0.00191,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4o-balanced-8x10-nothinking-20260530-213550
GPT-4o none,openai/gpt-4o,balanced_8x10,,,format_compliance,10,10,0,10,7,7,433,47,0,0,0,480,0.0015525,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4o-balanced-8x10-nothinking-20260530-213550
GPT-4o none,openai/gpt-4o,balanced_8x10,,,negation,10,9,1,9,6,5,455,21,0,0,0,476,0.0013475,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4o-balanced-8x10-nothinking-20260530-213550
GPT-4o none,openai/gpt-4o,balanced_8x10,,,ordering,10,10,0,10,10,10,418,85,0,0,0,503,0.001895,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4o-balanced-8x10-nothinking-20260530-213550
GPT-4o none,openai/gpt-4o,balanced_8x10,,,spelling_transform,10,9,1,9,10,9,314,32,0,0,0,346,0.001105,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4o-balanced-8x10-nothinking-20260530-213550
GPT-4o none,openai/gpt-4o,balanced_8x10,,,word_count,10,10,0,10,10,10,402,10,0,0,0,412,0.001105,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4o-balanced-8x10-nothinking-20260530-213550
GPT-5.2 none,openai/gpt-5.2,balanced_8x10,none,none,arithmetic,10,10,0,10,10,10,365,60,0,0,0,425,0.00147875,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-2-nothinking-balanced_8x10-20260531-001430
GPT-5.2 none,openai/gpt-5.2,balanced_8x10,none,none,character_count,10,4,6,4,10,4,322,50,0,0,0,372,0.0012635,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-2-nothinking-balanced_8x10-20260531-001430
GPT-5.2 none,openai/gpt-5.2,balanced_8x10,none,none,constraint_awareness,10,10,0,10,10,10,622,50,0,0,0,672,0.0017885,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-2-nothinking-balanced_8x10-20260531-001430
GPT-5.2 none,openai/gpt-5.2,balanced_8x10,none,none,format_compliance,10,10,0,10,10,10,423,70,0,0,0,493,0.00172025,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-2-nothinking-balanced_8x10-20260531-001430
GPT-5.2 none,openai/gpt-5.2,balanced_8x10,none,none,negation,10,10,0,10,10,10,445,51,0,0,0,496,0.00149275,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-2-nothinking-balanced_8x10-20260531-001430
GPT-5.2 none,openai/gpt-5.2,balanced_8x10,none,none,ordering,10,10,0,10,10,10,408,125,0,0,0,533,0.002464,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-2-nothinking-balanced_8x10-20260531-001430
GPT-5.2 none,openai/gpt-5.2,balanced_8x10,none,none,spelling_transform,10,7,3,7,10,7,304,72,0,0,0,376,0.00154,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-2-nothinking-balanced_8x10-20260531-001430
GPT-5.2 none,openai/gpt-5.2,balanced_8x10,none,none,word_count,10,9,1,9,10,9,392,50,0,0,0,442,0.001386,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-2-nothinking-balanced_8x10-20260531-001430
GPT-5 low,openai/gpt-5,balanced_8x10,low,none,arithmetic,10,10,0,10,10,10,365,531,128,0,0,896,0.00576625,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-low-balanced_8x10-20260531-001449
GPT-5 low,openai/gpt-5,balanced_8x10,low,none,character_count,10,10,0,10,10,10,322,1195,832,0,0,1517,0.0123525,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-low-balanced_8x10-20260531-001449
GPT-5 low,openai/gpt-5,balanced_8x10,low,none,constraint_awareness,10,9,1,9,10,9,622,589,192,0,0,1211,0.0066675,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-low-balanced_8x10-20260531-001449
GPT-5 low,openai/gpt-5,balanced_8x10,low,none,format_compliance,10,10,0,10,10,10,423,806,320,0,0,1229,0.00858875,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-low-balanced_8x10-20260531-001449
GPT-5 low,openai/gpt-5,balanced_8x10,low,none,negation,10,10,0,10,10,10,445,534,64,0,0,979,0.00589625,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-low-balanced_8x10-20260531-001449
GPT-5 low,openai/gpt-5,balanced_8x10,low,none,ordering,10,10,0,10,10,10,408,803,192,0,0,1211,0.00854,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-low-balanced_8x10-20260531-001449
GPT-5 low,openai/gpt-5,balanced_8x10,low,none,spelling_transform,10,10,0,10,10,10,304,1325,832,0,0,1629,0.01363,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-low-balanced_8x10-20260531-001449
GPT-5 low,openai/gpt-5,balanced_8x10,low,none,word_count,10,10,0,10,10,10,392,551,128,0,0,943,0.006,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-low-balanced_8x10-20260531-001449
GPT-5.4 none,openai/gpt-5.4,balanced_8x10,none,none,arithmetic,10,10,0,10,10,10,365,59,0,0,0,424,0.0017975,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-none-balanced_8x10-20260531-075312
GPT-5.4 none,openai/gpt-5.4,balanced_8x10,none,none,character_count,10,7,3,7,10,7,322,50,0,0,0,372,0.001555,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-none-balanced_8x10-20260531-075312
GPT-5.4 none,openai/gpt-5.4,balanced_8x10,none,none,constraint_awareness,10,6,4,6,10,6,622,50,0,0,0,672,0.002305,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-none-balanced_8x10-20260531-075312
GPT-5.4 none,openai/gpt-5.4,balanced_8x10,none,none,format_compliance,10,10,0,10,10,10,423,70,0,0,0,493,0.0021075,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-none-balanced_8x10-20260531-075312
GPT-5.4 none,openai/gpt-5.4,balanced_8x10,none,none,negation,10,10,0,10,10,10,445,51,0,0,0,496,0.0018775,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-none-balanced_8x10-20260531-075312
GPT-5.4 none,openai/gpt-5.4,balanced_8x10,none,none,ordering,10,10,0,10,10,10,408,125,0,0,0,533,0.002895,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-none-balanced_8x10-20260531-075312
GPT-5.4 none,openai/gpt-5.4,balanced_8x10,none,none,spelling_transform,10,7,3,7,10,7,304,69,0,0,0,373,0.001795,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-none-balanced_8x10-20260531-075312
GPT-5.4 none,openai/gpt-5.4,balanced_8x10,none,none,word_count,10,10,0,10,10,10,392,50,0,0,0,442,0.00173,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-none-balanced_8x10-20260531-075312
GPT-5.4 low,openai/gpt-5.4,balanced_8x10,low,none,arithmetic,10,10,0,10,10,10,365,175,104,0,0,540,0.0035375,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-low-balanced_8x10-20260531-075312
GPT-5.4 low,openai/gpt-5.4,balanced_8x10,low,none,character_count,10,9,1,9,10,9,322,479,409,0,0,801,0.00799,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-low-balanced_8x10-20260531-075312
GPT-5.4 low,openai/gpt-5.4,balanced_8x10,low,none,constraint_awareness,10,10,0,10,10,10,622,237,167,0,0,859,0.00511,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-low-balanced_8x10-20260531-075312
GPT-5.4 low,openai/gpt-5.4,balanced_8x10,low,none,format_compliance,10,10,0,10,10,10,423,214,128,0,0,637,0.0042675,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-low-balanced_8x10-20260531-075312
GPT-5.4 low,openai/gpt-5.4,balanced_8x10,low,none,negation,10,10,0,10,10,10,445,159,92,0,0,604,0.0034975,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-low-balanced_8x10-20260531-075312
GPT-5.4 low,openai/gpt-5.4,balanced_8x10,low,none,ordering,10,10,0,10,10,10,408,181,48,0,0,589,0.003735,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-low-balanced_8x10-20260531-075312
GPT-5.4 low,openai/gpt-5.4,balanced_8x10,low,none,spelling_transform,10,9,1,9,10,9,304,443,355,0,0,747,0.007405,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-low-balanced_8x10-20260531-075312
GPT-5.4 low,openai/gpt-5.4,balanced_8x10,low,none,word_count,10,10,0,10,10,10,392,271,201,0,0,663,0.005045,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-low-balanced_8x10-20260531-075312
GPT-5.4 medium,openai/gpt-5.4,balanced_8x10,medium,none,arithmetic,10,10,0,10,10,10,365,303,223,0,0,668,0.0054575,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-medium-balanced_8x10-20260531-075312
GPT-5.4 medium,openai/gpt-5.4,balanced_8x10,medium,none,character_count,10,10,0,10,10,10,322,693,623,0,0,1015,0.0112,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-medium-balanced_8x10-20260531-075312
GPT-5.4 medium,openai/gpt-5.4,balanced_8x10,medium,none,constraint_awareness,10,10,0,10,10,10,622,332,262,0,0,954,0.006535,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-medium-balanced_8x10-20260531-075312
GPT-5.4 medium,openai/gpt-5.4,balanced_8x10,medium,none,format_compliance,10,10,0,10,10,10,423,398,308,0,0,821,0.0070275,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-medium-balanced_8x10-20260531-075312
GPT-5.4 medium,openai/gpt-5.4,balanced_8x10,medium,none,negation,10,10,0,10,10,10,445,284,213,0,0,729,0.0053725,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-medium-balanced_8x10-20260531-075312
GPT-5.4 medium,openai/gpt-5.4,balanced_8x10,medium,none,ordering,10,10,0,10,10,10,408,311,166,0,0,719,0.005685,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-medium-balanced_8x10-20260531-075312
GPT-5.4 medium,openai/gpt-5.4,balanced_8x10,medium,none,spelling_transform,10,8,2,8,10,8,304,687,599,0,0,991,0.011065,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-medium-balanced_8x10-20260531-075312
GPT-5.4 medium,openai/gpt-5.4,balanced_8x10,medium,none,word_count,10,10,0,10,10,10,392,402,332,0,0,794,0.00701,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-medium-balanced_8x10-20260531-075312
GPT-5.4 high,openai/gpt-5.4,balanced_8x10,high,none,arithmetic,10,10,0,10,10,10,365,349,269,0,0,714,0.0061475,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-high-balanced_8x10-20260531-075312
GPT-5.4 high,openai/gpt-5.4,balanced_8x10,high,none,character_count,10,10,0,10,10,10,322,880,810,0,0,1202,0.014005,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-high-balanced_8x10-20260531-075312
GPT-5.4 high,openai/gpt-5.4,balanced_8x10,high,none,constraint_awareness,10,10,0,10,10,10,622,367,297,0,0,989,0.00706,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-high-balanced_8x10-20260531-075312
GPT-5.4 high,openai/gpt-5.4,balanced_8x10,high,none,format_compliance,10,10,0,10,10,10,423,452,362,0,0,875,0.0078375,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-high-balanced_8x10-20260531-075312
GPT-5.4 high,openai/gpt-5.4,balanced_8x10,high,none,negation,10,10,0,10,10,10,445,365,294,0,0,810,0.0065875,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-high-balanced_8x10-20260531-075312
GPT-5.4 high,openai/gpt-5.4,balanced_8x10,high,none,ordering,10,10,0,10,10,10,408,421,276,0,0,829,0.007335,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-high-balanced_8x10-20260531-075312
GPT-5.4 high,openai/gpt-5.4,balanced_8x10,high,none,spelling_transform,10,9,1,9,10,9,304,966,876,0,0,1270,0.01525,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-high-balanced_8x10-20260531-075312
GPT-5.4 high,openai/gpt-5.4,balanced_8x10,high,none,word_count,10,10,0,10,10,10,392,434,364,0,0,826,0.00749,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-high-balanced_8x10-20260531-075312
GPT-5.5 none,openai/gpt-5.5,balanced_8x10,none,none,arithmetic,10,10,0,10,10,10,365,59,0,0,0,424,0.003595,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-balanced-8x10-nothinking-20260530-213600
GPT-5.5 none,openai/gpt-5.5,balanced_8x10,none,none,character_count,10,5,5,5,10,5,322,50,0,0,0,372,0.00311,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-balanced-8x10-nothinking-20260530-213600
GPT-5.5 none,openai/gpt-5.5,balanced_8x10,none,none,constraint_awareness,10,10,0,10,10,10,622,50,0,0,0,672,0.00461,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-balanced-8x10-nothinking-20260530-213600
GPT-5.5 none,openai/gpt-5.5,balanced_8x10,none,none,format_compliance,10,10,0,10,10,10,423,70,0,0,0,493,0.004215,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-balanced-8x10-nothinking-20260530-213600
GPT-5.5 none,openai/gpt-5.5,balanced_8x10,none,none,negation,10,10,0,10,10,10,445,51,0,0,0,496,0.003755,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-balanced-8x10-nothinking-20260530-213600
GPT-5.5 none,openai/gpt-5.5,balanced_8x10,none,none,ordering,10,10,0,10,10,10,408,125,0,0,0,533,0.00579,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-balanced-8x10-nothinking-20260530-213600
GPT-5.5 none,openai/gpt-5.5,balanced_8x10,none,none,spelling_transform,10,8,2,8,10,8,304,73,0,0,0,377,0.00371,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-balanced-8x10-nothinking-20260530-213600
GPT-5.5 none,openai/gpt-5.5,balanced_8x10,none,none,word_count,10,10,0,10,10,10,392,50,0,0,0,442,0.00346,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-balanced-8x10-nothinking-20260530-213600
GPT-5.5 medium,openai/gpt-5.5,balanced_8x10,medium,none,arithmetic,10,10,0,10,10,10,365,292,213,0,0,657,0.010585,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-medium-balanced_8x10-20260531-001525
GPT-5.5 medium,openai/gpt-5.5,balanced_8x10,medium,none,character_count,10,10,0,10,10,10,322,561,491,0,0,883,0.01844,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-medium-balanced_8x10-20260531-001525
GPT-5.5 medium,openai/gpt-5.5,balanced_8x10,medium,none,constraint_awareness,10,10,0,10,10,10,622,334,264,0,0,956,0.01313,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-medium-balanced_8x10-20260531-001525
GPT-5.5 medium,openai/gpt-5.5,balanced_8x10,medium,none,format_compliance,10,10,0,10,10,10,423,319,229,0,0,742,0.011685,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-medium-balanced_8x10-20260531-001525
GPT-5.5 medium,openai/gpt-5.5,balanced_8x10,medium,none,negation,10,10,0,10,10,10,445,252,181,0,0,697,0.009785,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-medium-balanced_8x10-20260531-001525
GPT-5.5 medium,openai/gpt-5.5,balanced_8x10,medium,none,ordering,10,10,0,10,10,10,408,405,260,0,0,813,0.01419,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-medium-balanced_8x10-20260531-001525
GPT-5.5 medium,openai/gpt-5.5,balanced_8x10,medium,none,spelling_transform,10,10,0,10,10,10,304,647,555,0,0,951,0.02093,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-medium-balanced_8x10-20260531-001525
GPT-5.5 medium,openai/gpt-5.5,balanced_8x10,medium,none,word_count,10,10,0,10,10,10,392,331,261,0,0,723,0.01189,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-medium-balanced_8x10-20260531-001525
GPT-5.5 high,openai/gpt-5.5,balanced_8x10,high,none,arithmetic,10,10,0,10,10,10,365,346,267,0,0,711,0.012205,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-high-balanced_8x10-20260531-075312
GPT-5.5 high,openai/gpt-5.5,balanced_8x10,high,none,character_count,10,10,0,10,10,10,322,728,658,0,0,1050,0.02345,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-high-balanced_8x10-20260531-075312
GPT-5.5 high,openai/gpt-5.5,balanced_8x10,high,none,constraint_awareness,10,10,0,10,10,10,622,467,397,0,0,1089,0.01712,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-high-balanced_8x10-20260531-075312
GPT-5.5 high,openai/gpt-5.5,balanced_8x10,high,none,format_compliance,10,10,0,10,10,10,423,546,456,0,0,969,0.018495,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-high-balanced_8x10-20260531-075312
GPT-5.5 high,openai/gpt-5.5,balanced_8x10,high,none,negation,10,10,0,10,10,10,445,334,263,0,0,779,0.012245,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-high-balanced_8x10-20260531-075312
GPT-5.5 high,openai/gpt-5.5,balanced_8x10,high,none,ordering,10,10,0,10,10,10,408,458,313,0,0,866,0.01578,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-high-balanced_8x10-20260531-075312
GPT-5.5 high,openai/gpt-5.5,balanced_8x10,high,none,spelling_transform,10,10,0,10,10,10,304,789,697,0,0,1093,0.02519,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-high-balanced_8x10-20260531-075312
GPT-5.5 high,openai/gpt-5.5,balanced_8x10,high,none,word_count,10,10,0,10,10,10,392,425,355,0,0,817,0.01471,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-high-balanced_8x10-20260531-075312
Claude Haiku 4.5,anthropic/claude-haiku-4-5,balanced_8x10,,,arithmetic,10,10,0,10,10,10,412,60,0,0,0,472,0.000712,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-haiku-4-5-balanced_8x10-20260531-001824
Claude Haiku 4.5,anthropic/claude-haiku-4-5,balanced_8x10,,,character_count,10,5,5,5,10,5,362,50,0,0,0,412,0.000612,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-haiku-4-5-balanced_8x10-20260531-001824
Claude Haiku 4.5,anthropic/claude-haiku-4-5,balanced_8x10,,,constraint_awareness,10,6,4,6,10,6,660,40,0,0,0,700,0.00086,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-haiku-4-5-balanced_8x10-20260531-001824
Claude Haiku 4.5,anthropic/claude-haiku-4-5,balanced_8x10,,,format_compliance,10,10,0,10,5,5,456,96,0,0,0,552,0.000936,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-haiku-4-5-balanced_8x10-20260531-001824
Claude Haiku 4.5,anthropic/claude-haiku-4-5,balanced_8x10,,,negation,10,9,1,9,10,9,481,42,0,0,0,523,0.000691,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-haiku-4-5-balanced_8x10-20260531-001824
Claude Haiku 4.5,anthropic/claude-haiku-4-5,balanced_8x10,,,ordering,10,10,0,10,10,10,440,120,0,0,0,560,0.00104,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-haiku-4-5-balanced_8x10-20260531-001824
Claude Haiku 4.5,anthropic/claude-haiku-4-5,balanced_8x10,,,spelling_transform,10,6,4,6,10,6,338,133,0,0,0,471,0.001003,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-haiku-4-5-balanced_8x10-20260531-001824
Claude Haiku 4.5,anthropic/claude-haiku-4-5,balanced_8x10,,,word_count,10,10,0,10,10,10,432,50,0,0,0,482,0.000682,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-haiku-4-5-balanced_8x10-20260531-001824
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,balanced_8x10,,,arithmetic,10,10,0,10,10,10,412,60,0,0,0,472,0.002136,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-sonnet-4-6-balanced_8x10-20260531-001905
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,balanced_8x10,,,character_count,10,3,7,3,10,3,362,99,0,0,0,461,0.002571,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-sonnet-4-6-balanced_8x10-20260531-001905
