provider_model,reasoning_effort,effort_order,answer_pass3_accuracy,answer_pass3_items,items,estimated_cost_usd,log10_estimated_cost_usd,strict_pass3_accuracy,strict_attempt_accuracy,strict_any3_accuracy,total_tokens,reasoning_tokens
anthropic/claude-opus-4-7,max,6,0.868056,125,144,0.335135,-0.47478,0.868056,0.895833,0.916667,37751,3034
anthropic/claude-opus-4.5,none,0,0.819444,118,144,0.1908,-0.719422,0.819444,0.828704,0.840278,24780,0
anthropic/claude-opus-4.5,low_budget_1024,99,0.993056,143,144,1.601965,0.204653,0.965278,0.974537,0.986111,91249,53986
anthropic/claude-opus-4.5,medium_budget_2048,99,0.993056,143,144,1.67784,0.224751,0.951389,0.962963,0.972222,94284,56386
anthropic/claude-opus-4.5,high_budget_8192,99,0.993056,143,144,1.691115,0.228173,0.965278,0.976852,0.993056,94815,57291
anthropic/claude-opus-4.5,xhigh_budget_16384,99,0.986111,142,144,1.709565,0.232886,0.965278,0.972222,0.979167,95553,58055
anthropic/claude-opus-4.8,none,0,0.847222,122,144,0.202885,-0.69275,0.840278,0.87037,0.895833,30733,0
anthropic/claude-opus-4.8,low,2,0.951389,137,144,0.30321,-0.518256,0.951389,0.969907,0.986111,34746,3905
anthropic/claude-opus-4.8,medium,3,0.930556,134,144,0.319985,-0.49487,0.930556,0.949074,0.958333,35417,4338
anthropic/claude-opus-4.8,high,4,0.944444,136,144,0.354185,-0.45077,0.944444,0.965278,0.979167,36785,5255
anthropic/claude-opus-4.8,xhigh,5,0.965278,139,144,0.507835,-0.294277,0.965278,0.979167,0.993056,42931,7938
anthropic/claude-opus-4.8,max,6,0.993056,143,144,1.004085,0.00177,0.993056,0.993056,0.993056,62781,17758
anthropic/claude-sonnet-4,none,0,0.576389,83,144,0.170925,-0.767194,0.520833,0.62037,0.708333,28543,0
anthropic/claude-sonnet-4,low,2,0.944444,136,144,1.034874,0.014887,0.944444,0.969907,0.986111,96162,45404
anthropic/claude-sonnet-4,medium,3,0.951389,137,144,1.141884,0.057622,0.951389,0.972222,0.986111,103296,50442
anthropic/claude-sonnet-4,high,4,0.958333,138,144,1.235574,0.091869,0.958333,0.974537,0.993056,109542,55124
anthropic/claude-sonnet-4,xhigh,5,0.958333,138,144,1.214964,0.084563,0.951389,0.969907,0.986111,108168,54591
anthropic/claude-sonnet-4.5,none,0,0.680556,98,144,0.186195,-0.730032,0.576389,0.618056,0.659722,29561,0
anthropic/claude-sonnet-4.5,low,2,0.958333,138,144,0.947199,-0.023559,0.930556,0.958333,0.979167,90317,39162
anthropic/claude-sonnet-4.5,medium,3,0.965278,139,144,0.970794,-0.012873,0.930556,0.958333,0.986111,91890,40639
anthropic/claude-sonnet-4.5,high,4,0.972222,140,144,1.088769,0.036936,0.930556,0.958333,0.986111,99755,46853
anthropic/claude-sonnet-4.5,xhigh,5,0.972222,140,144,1.074324,0.031135,0.9375,0.967593,0.986111,98792,46401
anthropic/claude-sonnet-4.6,none,0,0.798611,115,144,0.12915,-0.888906,0.791667,0.819444,0.840278,25758,0
anthropic/claude-sonnet-4.6,default,1,0.777778,112,144,0.12708,-0.895923,0.770833,0.803241,0.840278,25620,0
anthropic/claude-sonnet-4.6,low,2,0.791667,114,144,0.12111,-0.91682,0.777778,0.814815,0.840278,25222,520
anthropic/claude-sonnet-4.6,medium,3,0.881944,127,144,0.189,-0.723538,0.854167,0.884259,0.916667,29748,4981
anthropic/claude-sonnet-4.6,high,4,0.965278,139,144,0.573405,-0.241539,0.833333,0.858796,0.881944,55375,25841
anthropic/claude-sonnet-4.6,max,6,0.965278,139,144,0.822045,-0.085104,0.770833,0.798611,0.826389,71951,39841
deepseek/deepseek-chat,default,1,0.423611,61,144,0.0074779068,-2.12622,0.368056,0.516204,0.680556,22939,0
deepseek/deepseek-chat-v3-0324,default,1,0.486111,70,144,0.0063348,-2.198267,0.409722,0.537037,0.666667,22706,0
deepseek/deepseek-chat-v3.1,default,1,0.548611,79,144,0.00504029,-2.297544,0.506944,0.648148,0.75,20905,0
deepseek/deepseek-v3.1-terminus,default,1,0.583333,84,144,0.01980518,-1.703221,0.548611,0.706019,0.840278,35724,14708
deepseek/deepseek-v3.2,default,1,0.506944,73,144,0.0037922456,-2.421104,0.506944,0.662037,0.8125,21014,0
deepseek/deepseek-v3.2-exp,default,1,0.611111,88,144,0.00553408,-2.256955,0.611111,0.696759,0.791667,19889,0
deepseek/deepseek-v4-flash,default,1,0.736111,106,144,0.0080677963,-2.093245,0.736111,0.87963,0.993056,50963,29777
deepseek/deepseek-v4-pro,default,1,0.798611,115,144,0.046928496,-1.328563,0.798611,0.921296,1.0,63532,42882
google/gemini-2.5-flash,none,0,0.652778,94,144,0.0077746,-2.109322,0.652778,0.759259,0.854167,18604,0
google/gemini-2.5-flash,low,2,0.923611,133,144,0.2003971,-0.698109,0.923611,0.960648,0.993056,95653,77036
google/gemini-2.5-flash,medium,3,0.944444,136,144,0.1851921,-0.732378,0.944444,0.972222,0.986111,89571,70823
google/gemini-2.5-flash,high,4,0.930556,134,144,0.1802621,-0.744096,0.930556,0.972222,1.0,87599,68994
google/gemini-2.5-flash-lite,none,0,0.576389,83,144,0.0021499,-2.667582,0.576389,0.696759,0.805556,18580,0
google/gemini-2.5-flash-lite,low,2,0.881944,127,144,0.0375203,-1.425734,0.881944,0.946759,0.993056,107006,88399
google/gemini-2.5-flash-lite,medium,3,0.861111,124,144,0.0472372,-1.325716,0.861111,0.930556,0.972222,131299,112689
google/gemini-2.5-flash-lite,high,4,0.861111,124,144,0.0502876,-1.298539,0.861111,0.93287,0.979167,138925,117468
google/gemini-2.5-pro,low,2,0.958333,138,144,1.69616875,0.229469,0.958333,0.974537,0.986111,185023,166417
google/gemini-2.5-pro,dynamic,3,0.972222,140,144,1.70182875,0.230916,0.972222,0.986111,1.0,185589,166979
google/gemini-2.5-pro,medium,3,0.965278,139,144,1.78795875,0.252357,0.965278,0.981481,0.993056,194202,175596
google/gemini-2.5-pro,high,4,0.965278,139,144,1.718015,0.235027,0.965278,0.983796,1.0,187142,168611
google/gemini-2.5-pro,xhigh,5,0.958333,138,144,1.67839875,0.224895,0.958333,0.979167,0.993056,183246,164640
google/gemini-3-flash-preview,minimal,0,0.861111,124,144,0.0118895,-1.924836,0.861111,0.888889,0.923611,18729,0
google/gemini-3-flash-preview,default,1,0.833333,120,144,0.0118245,-1.927217,0.833333,0.877315,0.916667,18614,0
google/gemini-3-flash-preview,low,2,0.986111,142,144,0.227781,-0.642483,0.986111,0.99537,1.0,90662,71981
google/gemini-3-flash-preview,medium,3,0.993056,143,144,0.2473165,-0.606747,0.979167,0.990741,1.0,97133,78498
google/gemini-3-flash-preview,high,4,0.972222,140,144,0.245631,-0.609717,0.965278,0.986111,1.0,96652,77922
google/gemini-3.1-flash-lite,minimal,0,0.798611,115,144,0.00596425,-2.224444,0.798611,0.842593,0.881944,18832,0
google/gemini-3.1-flash-lite,default,1,0.8125,117,144,0.0059355,-2.226543,0.8125,0.837963,0.868056,18722,0
google/gemini-3.1-flash-lite,low,2,0.833333,120,144,0.0850275,-1.070441,0.833333,0.898148,0.951389,71560,52706
google/gemini-3.1-flash-lite,medium,3,0.958333,138,144,0.1175015,-0.929957,0.944444,0.981481,1.0,93186,74360
google/gemini-3.1-flash-lite,high,4,0.979167,141,144,0.19541975,-0.709032,0.979167,0.993056,1.0,145154,126303
google/gemini-3.5-flash,minimal,0,0.833333,120,144,0.0353655,-1.45142,0.833333,0.87963,0.916667,18602,0
google/gemini-3.5-flash,default,1,0.993056,143,144,0.8993745,-0.046059,0.993056,0.997685,1.0,114603,95996
google/gemini-3.5-flash,low,2,0.993056,143,144,0.5007285,-0.300398,0.993056,0.997685,1.0,70419,51682
google/gemini-3.5-flash,medium,3,0.993056,143,144,0.9108225,-0.040566,0.993056,0.997685,1.0,115910,97265
google/gemini-3.5-flash,high,4,1.0,144,144,0.9955275,-0.001947,1.0,1.0,1.0,125335,106673
google/gemma-2-27b-it,none,0,0.451389,65,144,0.01554995,-1.808271,0.430556,0.564815,0.694444,23923,0
google/gemma-3-12b-it,none,0,0.576389,83,144,0.00105753,-2.975707,0.576389,0.618056,0.652778,23016,0
google/gemma-3-27b-it,none,0,0.506944,73,144,0.00107672,-2.967897,0.472222,0.520833,0.569444,23370,0
google/gemma-3-4b-it,none,0,0.361111,52,144,0.00100276,-2.998803,0.361111,0.37963,0.402778,23282,0
google/gemma-3n-e4b-it,none,0,0.444444,64,144,0.00168246,-2.774055,0.430556,0.469907,0.506944,26280,0
google/gemma-4-26b-a4b-it,none,0,0.6875,99,144,0.00171255,-2.766357,0.6875,0.733796,0.770833,24195,0
google/gemma-4-26b-a4b-it,low,2,0.965278,139,144,0.03818517,-1.418105,0.958333,0.981481,0.993056,136185,95033
google/gemma-4-26b-a4b-it,medium,3,0.965278,139,144,0.03507126,-1.455049,0.965278,0.988426,1.0,127376,88645
google/gemma-4-26b-a4b-it,high,4,0.958333,138,144,0.03557181,-1.448894,0.958333,0.974537,0.986111,129452,83789
google/gemma-4-31b-it,none,0,0.847222,122,144,0.00302507,-2.519265,0.847222,0.872685,0.895833,24650,0
google/gemma-4-31b-it,low,2,1.0,144,144,0.02704315,-1.567943,1.0,1.0,1.0,91329,44722
google/gemma-4-31b-it,medium,3,0.993056,143,144,0.02517265,-1.599071,0.993056,0.997685,1.0,88146,41697
google/gemma-4-31b-it,high,4,1.0,144,144,0.02509939,-1.600337,1.0,1.0,1.0,88962,43350
meta-llama/llama-3-70b-instruct,none,0,0.569444,82,144,0.01206689,-1.918405,0.555556,0.634259,0.722222,23008,0
meta-llama/llama-3-8b-instruct,none,0,0.395833,57,144,0.00089892,-3.046279,0.354167,0.444444,0.513889,22473,0
meta-llama/llama-3.1-70b-instruct,none,0,0.451389,65,144,0.0090848,-2.041685,0.395833,0.571759,0.722222,23247,0
meta-llama/llama-3.1-8b-instruct,none,0,0.208333,30,144,0.00050879,-3.293461,0.180556,0.375,0.583333,23224,0
meta-llama/llama-3.2-11b-vision-instruct,none,0,0.236111,34,144,0.00556689,-2.254387,0.222222,0.393519,0.583333,22722,0
meta-llama/llama-3.2-1b-instruct,none,0,0.243056,35,144,0.000937917,-3.027836,0.243056,0.256944,0.277778,23331,0
meta-llama/llama-3.3-70b-instruct,none,0,0.569444,82,144,0.00258562,-2.587435,0.486111,0.611111,0.736111,26166,0
meta-llama/llama-4-maverick,none,0,0.638889,92,144,0.0039543,-2.40293,0.548611,0.615741,0.708333,22971,0
meta-llama/llama-4-scout,none,0,0.506944,73,144,0.00218526,-2.660497,0.4375,0.49537,0.5625,22748,0
minimax/minimax-01,default,1,0.430556,62,144,0.0661772,-1.179292,0.409722,0.585648,0.722222,325144,0
minimax/minimax-m2,default,1,0.881944,127,144,0.124628815,-0.904382,0.875,0.939815,0.986111,149668,113182
minimax/minimax-m2.1,default,1,0.680556,98,144,0.12736342,-0.894955,0.680556,0.844907,0.965278,162084,121072
minimax/minimax-m2.5,default,1,0.875,126,144,0.1266846,-0.897276,0.875,0.939815,0.993056,142654,104286
minimax/minimax-m2.7,default,1,0.833333,120,144,0.14602902,-0.835561,0.826389,0.921296,0.986111,151001,108812
minimax/minimax-m3,default,1,0.868056,125,144,0.06108792,-1.214045,0.861111,0.914352,0.958333,140509,40495
mistralai/codestral-2508,default,1,0.409722,59,144,0.00656424,-2.182816,0.409722,0.453704,0.506944,19774,0
mistralai/devstral-2512,default,1,0.652778,94,144,0.00481824,-2.317112,0.652778,0.668981,0.6875,19748,0
mistralai/ministral-14b-2512,default,1,0.409722,59,144,0.0038878,-2.410296,0.409722,0.474537,0.541667,19814,0
mistralai/ministral-3b-2512,default,1,0.25,36,144,0.00198312,-2.702651,0.25,0.340278,0.423611,20048,0
mistralai/ministral-8b-2512,default,1,0.416667,60,144,0.00300513,-2.522137,0.416667,0.462963,0.520833,20245,0
mistralai/mistral-large,default,1,0.611111,88,144,0.1769424,-0.752168,0.604167,0.611111,0.618056,42356,0
mistralai/mistral-large-2407,default,1,0.604167,87,144,0.173432,-0.760871,0.597222,0.604167,0.611111,42015,0
mistralai/mistral-large-2512,default,1,0.604167,87,144,0.0307385,-1.512317,0.597222,0.601852,0.604167,33767,0
mistralai/mistral-medium-3,medium,3,0.645833,93,144,0.01037792,-1.98389,0.645833,0.659722,0.673611,19977,0
mistralai/mistral-medium-3-5,disabled,0,0.513889,74,144,0.0401685,-1.396114,0.513889,0.613426,0.722222,24955,0
mistralai/mistral-medium-3-5,low,2,0.902778,130,144,2.963799,0.471849,0.902778,0.946759,0.979167,414776,344083
mistralai/mistral-medium-3-5,medium,3,0.881944,127,144,2.985972,0.475086,0.875,0.944444,0.993056,417259,349345
mistralai/mistral-medium-3-5,high,4,0.909722,131,144,2.936676,0.467856,0.909722,0.956019,0.993056,411645,342052
mistralai/mistral-medium-3.1,medium,3,0.680556,98,144,0.00841424,-2.074985,0.680556,0.685185,0.6875,19767,0
mistralai/mistral-nemo,default,1,0.388889,56,144,0.00041509,-3.381858,0.381944,0.465278,0.541667,20228,0
mistralai/mistral-saba,default,1,0.5,72,144,0.0034028,-2.468164,0.5,0.578704,0.659722,25000,0
mistralai/mistral-small-24b-instruct-2501,default,1,0.319444,46,144,0.01356972,-1.867429,0.284722,0.398148,0.506944,202395,0
mistralai/mistral-small-2603,default,1,0.375,54,144,0.00276198,-2.558779,0.375,0.560185,0.729167,25001,0
mistralai/mistral-small-3.2-24b-instruct,default,1,0.416667,60,144,0.001211625,-2.916632,0.416667,0.474537,0.534722,19803,0
mistralai/mixtral-8x22b-instruct,default,1,0.520833,75,144,0.0398348,-1.399737,0.520833,0.585648,0.652778,25003,0
mistralai/voxtral-small-24b-2507,default,1,0.4375,63,144,0.00090986,-3.041025,0.4375,0.453704,0.472222,20015,0
moonshotai/kimi-k2,default,1,0.604167,87,144,0.01611313,-1.79282,0.597222,0.701389,0.805556,24839,0
moonshotai/kimi-k2-0905,default,1,0.597222,86,144,0.0181668,-1.740722,0.590278,0.689815,0.8125,25813,0
moonshotai/kimi-k2-thinking,default,1,0.972222,140,144,0.2347064,-0.629475,0.972222,0.988426,1.0,108989,85908
moonshotai/kimi-k2.5,disabled,0,0.597222,86,144,0.01444048,-1.840418,0.444444,0.652778,0.8125,24709,0
moonshotai/kimi-k2.5,default,1,0.972222,140,144,0.20676445,-0.684524,0.972222,0.988426,1.0,127425,96028
moonshotai/kimi-k2.6,disabled,0,0.638889,92,144,0.048185064,-1.317088,0.569444,0.706019,0.819444,31517,0
moonshotai/kimi-k2.6,default,1,0.951389,137,144,0.282113568,-0.549576,0.951389,0.983796,1.0,99426,75765
moonshotai/kimi-k2.7-code,default,1,0.958333,138,144,0.14975302,-0.824624,0.958333,0.986111,1.0,60047,36671
nvidia/nemotron-3-nano-30b-a3b,default,1,0.895833,129,144,0.0185894,-1.730735,0.895833,0.944444,0.986111,110866,77050
nvidia/nemotron-3-super-120b-a12b,default,1,0.881944,127,144,0.02385909,-1.622346,0.881944,0.94213,0.993056,71201,44006
nvidia/nemotron-3-ultra-550b-a55b,default,1,0.965278,139,144,0.1770149,-0.75199,0.965278,0.981481,0.993056,96527,66580
openai/gpt-3.5-turbo,none,0,0.451389,65,144,0.0117465,-1.930092,0.444444,0.592593,0.715278,21053,0
openai/gpt-3.5-turbo-0613,none,0,0.638889,92,144,0.022638,-1.645162,0.638889,0.715278,0.777778,21219,0
openai/gpt-3.5-turbo-16k,none,0,0.506944,73,144,0.064676,-1.189257,0.506944,0.650463,0.763889,21125,0
openai/gpt-3.5-turbo-instruct,none,0,0.173611,25,144,0.0369895,-1.431922,0.131944,0.356481,0.611111,23561,0
openai/gpt-4,none,0,0.729167,105,144,0.68196,-0.166241,0.708333,0.798611,0.895833,21273,0
openai/gpt-4-turbo,none,0,0.701389,101,144,0.23286,-0.632905,0.694444,0.74537,0.798611,20984,0
openai/gpt-4.1,none,0,0.756944,109,144,0.049712,-1.303539,0.743056,0.777778,0.8125,21064,0
openai/gpt-4.1-mini,none,0,0.645833,93,144,0.0094976,-2.022386,0.645833,0.712963,0.770833,20786,0
openai/gpt-4.1-nano,none,0,0.520833,75,144,0.0023816,-2.623131,0.520833,0.608796,0.6875,20804,0
openai/gpt-4o,none,0,0.756944,109,144,0.06242,-1.204676,0.715278,0.791667,0.854167,21092,0
openai/gpt-4o-2024-05-13,none,0,0.708333,102,144,0.12024,-0.919951,0.701389,0.787037,0.868056,21216,0
openai/gpt-4o-2024-08-06,none,0,0.75,108,144,0.06312,-1.199833,0.722222,0.796296,0.854167,21162,0
openai/gpt-4o-2024-11-20,none,0,0.770833,111,144,0.06045,-1.218604,0.770833,0.810185,0.840278,20895,0
openai/gpt-4o-mini,none,0,0.5625,81,144,0.0036612,-2.436377,0.541667,0.641204,0.736111,20952,0
openai/gpt-4o-mini-2024-07-18,none,0,0.590278,85,144,0.003663,-2.436163,0.583333,0.659722,0.736111,20955,0
openai/gpt-5,minimal,0,0.722222,104,144,0.11194,-0.951015,0.722222,0.782407,0.847222,28141,0
openai/gpt-5,low,2,0.986111,142,144,0.44635,-0.350324,0.986111,0.99537,1.0,61582,24640
openai/gpt-5,medium,3,1.0,144,144,0.70789,-0.150034,1.0,1.0,1.0,87736,51584
openai/gpt-5,high,4,1.0,144,144,1.17393,0.069642,1.0,1.0,1.0,134340,97728
openai/gpt-5-mini,minimal,0,0.625,90,144,0.022458,-1.648629,0.618056,0.719907,0.798611,28176,0
openai/gpt-5-mini,low,2,0.9375,135,144,0.086922,-1.06087,0.9375,0.960648,0.979167,60408,23808
openai/gpt-5-mini,medium,3,0.951389,137,144,0.140136,-0.85345,0.951389,0.960648,0.965278,87015,50432
openai/gpt-5-mini,high,4,0.958333,138,144,0.25277225,-0.597271,0.958333,0.974537,0.986111,143355,106368
openai/gpt-5-nano,minimal,0,0.375,54,144,0.0047448,-2.323782,0.375,0.511574,0.638889,28809,0
openai/gpt-5-nano,low,2,0.909722,131,144,0.0244052,-1.612518,0.909722,0.949074,0.986111,77960,41600
openai/gpt-5-nano,medium,3,0.951389,137,144,0.055226,-1.257856,0.951389,0.972222,0.993056,155012,118656
openai/gpt-5-nano,high,4,0.972222,140,144,0.11042455,-0.956934,0.972222,0.981481,0.986111,293228,256507
openai/gpt-5.2,none,0,0.673611,97,144,0.072044,-1.142402,0.666667,0.74537,0.833333,22093,0
openai/gpt-5.2,low,2,0.763889,110,144,0.109872,-0.959113,0.763889,0.824074,0.888889,24795,2566
openai/gpt-5.2,medium,3,0.784722,113,144,0.173824,-0.75989,0.784722,0.856481,0.909722,29363,6988
openai/gpt-5.2,high,4,0.847222,122,144,0.273938,-0.562348,0.847222,0.912037,0.972222,36514,13895
openai/gpt-5.2,xhigh,5,0.986111,142,144,0.812826,-0.090002,0.986111,0.993056,1.0,75006,52199
openai/gpt-5.4,none,0,0.75,108,144,0.089355,-1.048881,0.743056,0.805556,0.861111,22097,0
openai/gpt-5.4,low,2,0.951389,137,144,0.28782,-0.540879,0.951389,0.972222,0.986111,35328,12454
openai/gpt-5.4,medium,3,0.958333,138,144,0.39765,-0.400499,0.958333,0.972222,0.979167,42650,19717
openai/gpt-5.4,high,4,0.972222,140,144,0.48675,-0.312694,0.972222,0.983796,0.993056,48590,25652
openai/gpt-5.4,xhigh,5,0.986111,142,144,0.693885,-0.158713,0.986111,0.990741,0.993056,62399,39455
openai/gpt-5.4-mini,none,0,0.645833,93,144,0.027162,-1.566038,0.645833,0.733796,0.8125,22176,0
openai/gpt-5.4-mini,low,2,0.909722,131,144,0.0987705,-1.005373,0.909722,0.944444,0.972222,38089,15150
openai/gpt-5.4-mini,medium,3,0.902778,130,144,0.125748,-0.900499,0.902778,0.946759,0.979167,44084,21152
openai/gpt-5.4-mini,high,4,0.909722,131,144,0.1623645,-0.789509,0.902778,0.951389,0.979167,52221,29290
openai/gpt-5.4-mini,xhigh,5,0.9375,135,144,0.2757015,-0.559561,0.9375,0.967593,0.993056,77407,54467
openai/gpt-5.4-nano,none,0,0.368056,53,144,0.0074686,-2.126761,0.361111,0.479167,0.611111,22244,0
openai/gpt-5.4-nano,low,2,0.527778,76,144,0.0250711,-1.600827,0.520833,0.69213,0.854167,36326,13779
openai/gpt-5.4-nano,medium,3,0.715278,103,144,0.0347136,-1.4595,0.715278,0.824074,0.9375,44040,21344
openai/gpt-5.4-nano,high,4,0.819444,118,144,0.0397536,-1.400624,0.8125,0.884259,0.944444,48072,25294
openai/gpt-5.4-nano,xhigh,5,0.916667,132,144,0.08089985,-1.092052,0.916667,0.962963,0.993056,80989,58061
openai/gpt-5.5,none,0,0.840278,121,144,0.17829,-0.748873,0.840278,0.891204,0.9375,22083,0
openai/gpt-5.5,low,2,0.979167,141,144,0.64803,-0.188405,0.979167,0.993056,1.0,37741,14809
openai/gpt-5.5,medium,3,1.0,144,144,0.74403,-0.12841,1.0,1.0,1.0,40941,17991
openai/gpt-5.5,high,4,0.986111,142,144,0.88467,-0.053219,0.979167,0.993056,1.0,45629,22679
openai/gpt-5.5,xhigh,5,1.0,144,144,1.08951,0.037231,1.0,1.0,1.0,52457,29507
openai/gpt-oss-120b,low,2,0.833333,120,144,0.00564621,-2.248243,0.833333,0.909722,0.958333,67361,18638
openai/gpt-oss-120b,medium,3,0.944444,136,144,0.008421792,-2.074595,0.9375,0.967593,0.993056,82641,36535
openai/gpt-oss-120b,high,4,0.909722,131,144,0.018643869,-1.729464,0.909722,0.965278,1.0,140694,94635
openai/gpt-oss-20b,low,2,0.777778,112,144,0.005110894,-2.291503,0.75,0.868056,0.958333,75280,23725
openai/gpt-oss-20b,medium,3,0.868056,125,144,0.00925853,-2.033458,0.847222,0.928241,0.979167,107094,55113
openai/gpt-oss-20b,high,4,0.923611,133,144,0.017416821,-1.759031,0.923611,0.953704,0.986111,166273,114116
openai/o1,low,2,0.965278,139,144,7.3317,0.865205,0.930556,0.967593,1.0,136721,49166
openai/o1,medium,3,0.986111,142,144,11.41512,1.05748,0.958333,0.981481,0.993056,204778,82997
openai/o1,high,4,0.979167,141,144,16.19964,1.209505,0.923611,0.972222,1.0,284520,122688
openai/o3,low,2,0.951389,137,144,0.372616,-0.428739,0.951389,0.981481,1.0,61103,29069
openai/o3,medium,3,1.0,144,144,0.535592,-0.271166,1.0,1.0,1.0,81475,46428
openai/o3,high,4,1.0,144,144,0.620616,-0.207177,1.0,1.0,1.0,92103,56094
openai/o3-mini,low,2,0.902778,130,144,0.3977292,-0.400413,0.895833,0.951389,0.993056,104919,35630
openai/o3-mini,medium,3,0.944444,136,144,0.7728908,-0.111882,0.9375,0.962963,0.979167,190183,75969
openai/o3-mini,high,4,0.972222,140,144,1.8693752,0.271696,0.972222,0.976852,0.979167,439384,200256
openai/o3-mini-high,low,2,0.979167,141,144,1.9168732,0.282593,0.979167,0.983796,0.986111,450242,206144
openai/o3-mini-high,medium,3,0.965278,139,144,1.8484136,0.266799,0.965278,0.979167,0.986111,434620,198144
openai/o3-mini-high,high,4,0.951389,137,144,1.9247085,0.284365,0.951389,0.974537,0.986111,452721,207040
openai/o4-mini,low,2,0.958333,138,144,0.216744,-0.664053,0.958333,0.974537,0.993056,63786,29042
openai/o4-mini,medium,3,0.972222,140,144,0.3324948,-0.478215,0.972222,0.983796,0.993056,90093,53149
openai/o4-mini,high,4,0.986111,142,144,0.4127112,-0.384354,0.986111,0.988426,0.993056,108324,71936
openai/o4-mini-high,low,2,0.972222,140,144,0.4148716,-0.382086,0.972222,0.981481,0.993056,108815,72360
openai/o4-mini-high,medium,3,0.965278,139,144,0.3954819,-0.402873,0.965278,0.983796,1.0,104415,67520
openai/o4-mini-high,high,4,0.965278,139,144,0.415162,-0.381782,0.965278,0.981481,0.993056,108881,71808
qwen/qwen-2.5-72b-instruct,default,1,0.527778,76,144,0.00782324,-2.106613,0.520833,0.587963,0.652778,21590,0
qwen/qwen-2.5-7b-instruct,default,1,0.402778,58,144,0.00173614,-2.760415,0.402778,0.460648,0.513889,34996,0
qwen/qwen-plus,default,1,0.659722,95,144,0.00610662,-2.214199,0.659722,0.659722,0.659722,21375,0
qwen/qwen-plus-2025-07-28,default,1,0.604167,87,144,0.00613236,-2.212372,0.604167,0.604167,0.604167,21408,0
qwen/qwen2.5-vl-72b-instruct,default,1,0.375,54,144,0.0031135,-2.506751,0.361111,0.483796,0.625,24452,0
qwen/qwen3-14b,default,1,0.916667,132,144,0.04244046,-1.37222,0.916667,0.958333,0.993056,188940,152318
qwen/qwen3-235b-a22b,default,1,0.902778,130,144,0.462283185,-0.335092,0.847222,0.923611,0.979167,269241,241638
qwen/qwen3-235b-a22b-2507,default,1,0.548611,79,144,0.001450311,-2.838539,0.548611,0.62963,0.722222,21659,0
qwen/qwen3-235b-a22b-thinking-2507,default,1,0.944444,136,144,0.0302635,-1.519081,0.944444,0.979167,1.0,303195,273180
qwen/qwen3-30b-a3b,default,1,0.944444,136,144,0.08464113,-1.072419,0.916667,0.953704,0.986111,204545,170261
qwen/qwen3-30b-a3b-instruct-2507,default,1,0.486111,70,144,0.00254991,-2.593475,0.486111,0.539352,0.597222,26074,0
qwen/qwen3-30b-a3b-thinking-2507,default,1,0.965278,139,144,0.13707992,-0.863026,0.958333,0.969907,0.986111,358955,334987
qwen/qwen3-32b,default,1,0.75,108,144,0.0512976,-1.289903,0.541667,0.775463,0.944444,199155,167241
qwen/qwen3-8b,default,1,0.625,90,144,0.04299395,-1.366593,0.597222,0.622685,0.645833,125264,101778
qwen/qwen3-coder,default,1,0.618056,89,144,0.00537978,-2.269235,0.618056,0.68287,0.75,22016,0
