provider_model,reasoning_effort,effort_order,strict_attempt_accuracy,answer_pass3_accuracy,strict_pass3_accuracy,strict_any3_accuracy,complete_items,items,valid_attempts,total_tokens,reasoning_tokens,estimated_cost_usd
anthropic/claude-opus-4.8,none,0,0.87037,0.847222,0.840278,0.895833,144,144,432,30733,0,0.202885
anthropic/claude-opus-4.8,low,2,0.969907,0.951389,0.951389,0.986111,144,144,432,34746,3905,0.30321
anthropic/claude-opus-4.8,medium,3,0.949074,0.930556,0.930556,0.958333,144,144,432,35417,4338,0.319985
anthropic/claude-opus-4.8,high,4,0.965278,0.944444,0.944444,0.979167,144,144,432,36785,5255,0.354185
anthropic/claude-opus-4.8,xhigh,5,0.979167,0.965278,0.965278,0.993056,144,144,432,42931,7938,0.507835
anthropic/claude-opus-4.8,max,6,0.993056,0.993056,0.993056,0.993056,144,144,432,62781,17758,1.004085
anthropic/claude-sonnet-4,none,0,0.62037,0.576389,0.520833,0.708333,144,144,432,28543,0,0.170925
anthropic/claude-sonnet-4,low,2,0.969907,0.944444,0.944444,0.986111,144,144,432,96162,45404,1.034874
anthropic/claude-sonnet-4,medium,3,0.972222,0.951389,0.951389,0.986111,144,144,432,103296,50442,1.141884
anthropic/claude-sonnet-4,high,4,0.974537,0.958333,0.958333,0.993056,144,144,432,109542,55124,1.235574
anthropic/claude-sonnet-4,xhigh,5,0.969907,0.958333,0.951389,0.986111,144,144,432,108168,54591,1.214964
anthropic/claude-sonnet-4.5,none,0,0.618056,0.680556,0.576389,0.659722,144,144,432,29561,0,0.186195
anthropic/claude-sonnet-4.5,low,2,0.958333,0.958333,0.930556,0.979167,144,144,432,90317,39162,0.947199
anthropic/claude-sonnet-4.5,medium,3,0.958333,0.965278,0.930556,0.986111,144,144,432,91890,40639,0.970794
anthropic/claude-sonnet-4.5,high,4,0.958333,0.972222,0.930556,0.986111,144,144,432,99755,46853,1.088769
anthropic/claude-sonnet-4.5,xhigh,5,0.967593,0.972222,0.9375,0.986111,144,144,432,98792,46401,1.074324
anthropic/claude-sonnet-4.6,none,0,0.819444,0.798611,0.791667,0.840278,144,144,432,25758,0,0.12915
anthropic/claude-sonnet-4.6,default,1,0.803241,0.777778,0.770833,0.840278,144,144,432,25620,0,0.12708
anthropic/claude-sonnet-4.6,low,2,0.814815,0.791667,0.777778,0.840278,144,144,432,25222,520,0.12111
anthropic/claude-sonnet-4.6,medium,3,0.884259,0.881944,0.854167,0.916667,144,144,432,29748,4981,0.189
anthropic/claude-sonnet-4.6,high,4,0.858796,0.965278,0.833333,0.881944,144,144,432,55375,25841,0.573405
anthropic/claude-sonnet-4.6,max,6,0.798611,0.965278,0.770833,0.826389,144,144,432,71951,39841,0.822045
deepseek/deepseek-chat,default,1,0.516204,0.423611,0.368056,0.680556,144,144,432,22939,0,0.0074779068
deepseek/deepseek-chat-v3-0324,default,1,0.537037,0.486111,0.409722,0.666667,144,144,432,22706,0,0.0063348
deepseek/deepseek-chat-v3.1,default,1,0.648148,0.548611,0.506944,0.75,144,144,432,20905,0,0.00504029
deepseek/deepseek-v3.1-terminus,default,1,0.706019,0.583333,0.548611,0.840278,144,144,432,35724,14708,0.01980518
deepseek/deepseek-v3.2,default,1,0.662037,0.506944,0.506944,0.8125,144,144,432,21014,0,0.0037922456
deepseek/deepseek-v3.2-exp,default,1,0.696759,0.611111,0.611111,0.791667,144,144,432,19889,0,0.00553408
deepseek/deepseek-v4-flash,default,1,0.87963,0.736111,0.736111,0.993056,144,144,432,50963,29777,0.0080677963
deepseek/deepseek-v4-pro,default,1,0.921296,0.798611,0.798611,1.0,144,144,432,63532,42882,0.046928496
google/gemini-2.5-flash,none,0,0.759259,0.652778,0.652778,0.854167,144,144,432,18604,0,0.0077746
google/gemini-2.5-flash,low,2,0.960648,0.923611,0.923611,0.993056,144,144,432,95653,77036,0.2003971
google/gemini-2.5-flash,medium,3,0.972222,0.944444,0.944444,0.986111,144,144,432,89571,70823,0.1851921
google/gemini-2.5-flash,high,4,0.972222,0.930556,0.930556,1.0,144,144,432,87599,68994,0.1802621
google/gemini-2.5-flash-lite,none,0,0.696759,0.576389,0.576389,0.805556,144,144,432,18580,0,0.0021499
google/gemini-2.5-flash-lite,low,2,0.946759,0.881944,0.881944,0.993056,144,144,432,107006,88399,0.0375203
google/gemini-2.5-flash-lite,medium,3,0.930556,0.861111,0.861111,0.972222,144,144,432,131299,112689,0.0472372
google/gemini-2.5-flash-lite,high,4,0.93287,0.861111,0.861111,0.979167,144,144,432,138925,117468,0.0502876
google/gemini-2.5-pro,low,2,0.974537,0.958333,0.958333,0.986111,144,144,432,185023,166417,1.69616875
google/gemini-2.5-pro,dynamic,3,0.986111,0.972222,0.972222,1.0,144,144,432,185589,166979,1.70182875
google/gemini-2.5-pro,medium,3,0.981481,0.965278,0.965278,0.993056,144,144,432,194202,175596,1.78795875
google/gemini-2.5-pro,high,4,0.983796,0.965278,0.965278,1.0,144,144,432,187142,168611,1.718015
google/gemini-2.5-pro,xhigh,5,0.979167,0.958333,0.958333,0.993056,144,144,432,183246,164640,1.67839875
google/gemini-3-flash-preview,minimal,0,0.888889,0.861111,0.861111,0.923611,144,144,432,18729,0,0.0118895
google/gemini-3-flash-preview,default,1,0.877315,0.833333,0.833333,0.916667,144,144,432,18614,0,0.0118245
google/gemini-3-flash-preview,low,2,0.99537,0.986111,0.986111,1.0,144,144,432,90662,71981,0.227781
google/gemini-3-flash-preview,medium,3,0.990741,0.993056,0.979167,1.0,144,144,432,97133,78498,0.2473165
google/gemini-3-flash-preview,high,4,0.986111,0.972222,0.965278,1.0,144,144,432,96652,77922,0.245631
google/gemini-3.1-flash-lite,minimal,0,0.842593,0.798611,0.798611,0.881944,144,144,432,18832,0,0.00596425
google/gemini-3.1-flash-lite,default,1,0.837963,0.8125,0.8125,0.868056,144,144,432,18722,0,0.0059355
google/gemini-3.1-flash-lite,low,2,0.898148,0.833333,0.833333,0.951389,144,144,432,71560,52706,0.0850275
google/gemini-3.1-flash-lite,medium,3,0.981481,0.958333,0.944444,1.0,144,144,432,93186,74360,0.1175015
google/gemini-3.1-flash-lite,high,4,0.993056,0.979167,0.979167,1.0,144,144,432,145154,126303,0.19541975
google/gemini-3.5-flash,minimal,0,0.87963,0.833333,0.833333,0.916667,144,144,432,18602,0,0.0353655
google/gemini-3.5-flash,default,1,0.997685,0.993056,0.993056,1.0,144,144,432,114603,95996,0.8993745
google/gemini-3.5-flash,low,2,0.997685,0.993056,0.993056,1.0,144,144,432,70419,51682,0.5007285
google/gemini-3.5-flash,medium,3,0.997685,0.993056,0.993056,1.0,144,144,432,115910,97265,0.9108225
google/gemini-3.5-flash,high,4,1.0,1.0,1.0,1.0,144,144,432,125335,106673,0.9955275
google/gemma-2-27b-it,none,0,0.564815,0.451389,0.430556,0.694444,144,144,432,23923,0,0.01554995
google/gemma-3-12b-it,none,0,0.618056,0.576389,0.576389,0.652778,144,144,432,23016,0,0.00105753
google/gemma-3-27b-it,none,0,0.520833,0.506944,0.472222,0.569444,144,144,432,23370,0,0.00107672
google/gemma-3-4b-it,none,0,0.37963,0.361111,0.361111,0.402778,144,144,432,23282,0,0.00100276
google/gemma-3n-e4b-it,none,0,0.469907,0.444444,0.430556,0.506944,144,144,432,26280,0,0.00168246
google/gemma-4-26b-a4b-it,none,0,0.733796,0.6875,0.6875,0.770833,144,144,432,24195,0,0.00171255
google/gemma-4-26b-a4b-it,low,2,0.981481,0.965278,0.958333,0.993056,144,144,432,136185,95033,0.03818517
google/gemma-4-26b-a4b-it,medium,3,0.988426,0.965278,0.965278,1.0,144,144,432,127376,88645,0.03507126
google/gemma-4-26b-a4b-it,high,4,0.974537,0.958333,0.958333,0.986111,144,144,432,129452,83789,0.03557181
google/gemma-4-31b-it,none,0,0.872685,0.847222,0.847222,0.895833,144,144,432,24650,0,0.00302507
google/gemma-4-31b-it,low,2,1.0,1.0,1.0,1.0,144,144,432,91329,44722,0.02704315
google/gemma-4-31b-it,medium,3,0.997685,0.993056,0.993056,1.0,144,144,432,88146,41697,0.02517265
google/gemma-4-31b-it,high,4,1.0,1.0,1.0,1.0,144,144,432,88962,43350,0.02509939
meta-llama/llama-3-70b-instruct,none,0,0.634259,0.569444,0.555556,0.722222,144,144,432,23008,0,0.01206689
meta-llama/llama-3-8b-instruct,none,0,0.444444,0.395833,0.354167,0.513889,144,144,432,22473,0,0.00089892
meta-llama/llama-3.1-70b-instruct,none,0,0.571759,0.451389,0.395833,0.722222,144,144,432,23247,0,0.0090848
meta-llama/llama-3.1-8b-instruct,none,0,0.375,0.208333,0.180556,0.583333,144,144,432,23224,0,0.00050879
meta-llama/llama-3.2-11b-vision-instruct,none,0,0.393519,0.236111,0.222222,0.583333,144,144,432,22722,0,0.00556689
meta-llama/llama-3.2-1b-instruct,none,0,0.256944,0.243056,0.243056,0.277778,144,144,432,23331,0,0.000937917
meta-llama/llama-3.3-70b-instruct,none,0,0.611111,0.569444,0.486111,0.736111,144,144,432,26166,0,0.00258562
meta-llama/llama-4-maverick,none,0,0.615741,0.638889,0.548611,0.708333,144,144,432,22971,0,0.0039543
meta-llama/llama-4-scout,none,0,0.49537,0.506944,0.4375,0.5625,144,144,432,22748,0,0.00218526
minimax/minimax-01,default,1,0.585648,0.430556,0.409722,0.722222,144,144,432,325144,0,0.0661772
minimax/minimax-m2,default,1,0.939815,0.881944,0.875,0.986111,144,144,432,149668,113182,0.124628815
minimax/minimax-m2.1,default,1,0.844907,0.680556,0.680556,0.965278,144,144,432,162084,121072,0.12736342
minimax/minimax-m2.5,default,1,0.939815,0.875,0.875,0.993056,144,144,432,142654,104286,0.1266846
minimax/minimax-m2.7,default,1,0.921296,0.833333,0.826389,0.986111,144,144,432,151001,108812,0.14602902
minimax/minimax-m3,default,1,0.914352,0.868056,0.861111,0.958333,144,144,432,140509,40495,0.06108792
mistralai/codestral-2508,default,1,0.453704,0.409722,0.409722,0.506944,144,144,432,19774,0,0.00656424
mistralai/devstral-2512,default,1,0.668981,0.652778,0.652778,0.6875,144,144,432,19748,0,0.00481824
mistralai/ministral-14b-2512,default,1,0.474537,0.409722,0.409722,0.541667,144,144,432,19814,0,0.0038878
mistralai/ministral-3b-2512,default,1,0.340278,0.25,0.25,0.423611,144,144,432,20048,0,0.00198312
mistralai/ministral-8b-2512,default,1,0.462963,0.416667,0.416667,0.520833,144,144,432,20245,0,0.00300513
mistralai/mistral-large,default,1,0.611111,0.611111,0.604167,0.618056,144,144,432,42356,0,0.1769424
mistralai/mistral-large-2407,default,1,0.604167,0.604167,0.597222,0.611111,144,144,432,42015,0,0.173432
mistralai/mistral-large-2512,default,1,0.601852,0.604167,0.597222,0.604167,144,144,432,33767,0,0.0307385
mistralai/mistral-medium-3,medium,3,0.659722,0.645833,0.645833,0.673611,144,144,432,19977,0,0.01037792
mistralai/mistral-medium-3-5,disabled,0,0.613426,0.513889,0.513889,0.722222,144,144,432,24955,0,0.0401685
mistralai/mistral-medium-3-5,low,2,0.946759,0.902778,0.902778,0.979167,144,144,432,414776,344083,2.963799
mistralai/mistral-medium-3-5,medium,3,0.944444,0.881944,0.875,0.993056,144,144,432,417259,349345,2.985972
mistralai/mistral-medium-3-5,high,4,0.956019,0.909722,0.909722,0.993056,144,144,432,411645,342052,2.936676
mistralai/mistral-medium-3.1,medium,3,0.685185,0.680556,0.680556,0.6875,144,144,432,19767,0,0.00841424
mistralai/mistral-nemo,default,1,0.465278,0.388889,0.381944,0.541667,144,144,432,20228,0,0.00041509
mistralai/mistral-saba,default,1,0.578704,0.5,0.5,0.659722,144,144,432,25000,0,0.0034028
mistralai/mistral-small-24b-instruct-2501,default,1,0.398148,0.319444,0.284722,0.506944,144,144,432,202395,0,0.01356972
mistralai/mistral-small-2603,default,1,0.560185,0.375,0.375,0.729167,144,144,432,25001,0,0.00276198
mistralai/mistral-small-3.2-24b-instruct,default,1,0.474537,0.416667,0.416667,0.534722,144,144,432,19803,0,0.001211625
mistralai/mixtral-8x22b-instruct,default,1,0.585648,0.520833,0.520833,0.652778,144,144,432,25003,0,0.0398348
mistralai/voxtral-small-24b-2507,default,1,0.453704,0.4375,0.4375,0.472222,144,144,432,20015,0,0.00090986
moonshotai/kimi-k2,default,1,0.701389,0.604167,0.597222,0.805556,144,144,432,24839,0,0.01611313
moonshotai/kimi-k2-0905,default,1,0.689815,0.597222,0.590278,0.8125,144,144,432,25813,0,0.0181668
moonshotai/kimi-k2-thinking,default,1,0.988426,0.972222,0.972222,1.0,144,144,432,108989,85908,0.2347064
moonshotai/kimi-k2.5,disabled,0,0.652778,0.597222,0.444444,0.8125,144,144,432,24709,0,0.01444048
moonshotai/kimi-k2.5,default,1,0.988426,0.972222,0.972222,1.0,144,144,432,127425,96028,0.20676445
moonshotai/kimi-k2.6,disabled,0,0.706019,0.638889,0.569444,0.819444,144,144,432,31517,0,0.048185064
moonshotai/kimi-k2.6,default,1,0.983796,0.951389,0.951389,1.0,144,144,432,99426,75765,0.282113568
moonshotai/kimi-k2.7-code,default,1,0.986111,0.958333,0.958333,1.0,144,144,432,60047,36671,0.14975302
nvidia/nemotron-3-nano-30b-a3b,default,1,0.944444,0.895833,0.895833,0.986111,144,144,432,110866,77050,0.0185894
nvidia/nemotron-3-super-120b-a12b,default,1,0.94213,0.881944,0.881944,0.993056,144,144,432,71201,44006,0.02385909
nvidia/nemotron-3-ultra-550b-a55b,default,1,0.981481,0.965278,0.965278,0.993056,144,144,432,96527,66580,0.1770149
openai/gpt-3.5-turbo,none,0,0.592593,0.451389,0.444444,0.715278,144,144,432,21053,0,0.0117465
openai/gpt-3.5-turbo-0613,none,0,0.715278,0.638889,0.638889,0.777778,144,144,432,21219,0,0.022638
openai/gpt-3.5-turbo-16k,none,0,0.650463,0.506944,0.506944,0.763889,144,144,432,21125,0,0.064676
openai/gpt-3.5-turbo-instruct,none,0,0.356481,0.173611,0.131944,0.611111,144,144,432,23561,0,0.0369895
openai/gpt-4,none,0,0.798611,0.729167,0.708333,0.895833,144,144,432,21273,0,0.68196
openai/gpt-4-turbo,none,0,0.74537,0.701389,0.694444,0.798611,144,144,432,20984,0,0.23286
openai/gpt-4.1,none,0,0.777778,0.756944,0.743056,0.8125,144,144,432,21064,0,0.049712
openai/gpt-4.1-mini,none,0,0.712963,0.645833,0.645833,0.770833,144,144,432,20786,0,0.0094976
openai/gpt-4.1-nano,none,0,0.608796,0.520833,0.520833,0.6875,144,144,432,20804,0,0.0023816
openai/gpt-4o,none,0,0.791667,0.756944,0.715278,0.854167,144,144,432,21092,0,0.06242
openai/gpt-4o-2024-05-13,none,0,0.787037,0.708333,0.701389,0.868056,144,144,432,21216,0,0.12024
openai/gpt-4o-2024-08-06,none,0,0.796296,0.75,0.722222,0.854167,144,144,432,21162,0,0.06312
openai/gpt-4o-2024-11-20,none,0,0.810185,0.770833,0.770833,0.840278,144,144,432,20895,0,0.06045
openai/gpt-4o-mini,none,0,0.641204,0.5625,0.541667,0.736111,144,144,432,20952,0,0.0036612
openai/gpt-4o-mini-2024-07-18,none,0,0.659722,0.590278,0.583333,0.736111,144,144,432,20955,0,0.003663
openai/gpt-5,minimal,0,0.782407,0.722222,0.722222,0.847222,144,144,432,28141,0,0.11194
openai/gpt-5,low,2,0.99537,0.986111,0.986111,1.0,144,144,432,61582,24640,0.44635
openai/gpt-5,medium,3,1.0,1.0,1.0,1.0,144,144,432,87736,51584,0.70789
openai/gpt-5,high,4,1.0,1.0,1.0,1.0,144,144,432,134340,97728,1.17393
openai/gpt-5-mini,minimal,0,0.719907,0.625,0.618056,0.798611,144,144,432,28176,0,0.022458
openai/gpt-5-mini,low,2,0.960648,0.9375,0.9375,0.979167,144,144,432,60408,23808,0.086922
openai/gpt-5-mini,medium,3,0.960648,0.951389,0.951389,0.965278,144,144,432,87015,50432,0.140136
openai/gpt-5-mini,high,4,0.974537,0.958333,0.958333,0.986111,144,144,432,143355,106368,0.25277225
openai/gpt-5-nano,minimal,0,0.511574,0.375,0.375,0.638889,144,144,432,28809,0,0.0047448
openai/gpt-5-nano,low,2,0.949074,0.909722,0.909722,0.986111,144,144,432,77960,41600,0.0244052
openai/gpt-5-nano,medium,3,0.972222,0.951389,0.951389,0.993056,144,144,432,155012,118656,0.055226
openai/gpt-5-nano,high,4,0.981481,0.972222,0.972222,0.986111,144,144,432,293228,256507,0.11042455
openai/gpt-5.2,none,0,0.74537,0.673611,0.666667,0.833333,144,144,432,22093,0,0.072044
openai/gpt-5.2,low,2,0.824074,0.763889,0.763889,0.888889,144,144,432,24795,2566,0.109872
openai/gpt-5.2,medium,3,0.856481,0.784722,0.784722,0.909722,144,144,432,29363,6988,0.173824
openai/gpt-5.2,high,4,0.912037,0.847222,0.847222,0.972222,144,144,432,36514,13895,0.273938
openai/gpt-5.2,xhigh,5,0.993056,0.986111,0.986111,1.0,144,144,432,75006,52199,0.812826
openai/gpt-5.4,none,0,0.805556,0.75,0.743056,0.861111,144,144,432,22097,0,0.089355
openai/gpt-5.4,low,2,0.972222,0.951389,0.951389,0.986111,144,144,432,35328,12454,0.28782
openai/gpt-5.4,medium,3,0.972222,0.958333,0.958333,0.979167,144,144,432,42650,19717,0.39765
openai/gpt-5.4,high,4,0.983796,0.972222,0.972222,0.993056,144,144,432,48590,25652,0.48675
openai/gpt-5.4,xhigh,5,0.990741,0.986111,0.986111,0.993056,144,144,432,62399,39455,0.693885
openai/gpt-5.4-mini,none,0,0.733796,0.645833,0.645833,0.8125,144,144,432,22176,0,0.027162
openai/gpt-5.4-mini,low,2,0.944444,0.909722,0.909722,0.972222,144,144,432,38089,15150,0.0987705
openai/gpt-5.4-mini,medium,3,0.946759,0.902778,0.902778,0.979167,144,144,432,44084,21152,0.125748
openai/gpt-5.4-mini,high,4,0.951389,0.909722,0.902778,0.979167,144,144,432,52221,29290,0.1623645
openai/gpt-5.4-mini,xhigh,5,0.967593,0.9375,0.9375,0.993056,144,144,432,77407,54467,0.2757015
openai/gpt-5.4-nano,none,0,0.479167,0.368056,0.361111,0.611111,144,144,432,22244,0,0.0074686
openai/gpt-5.4-nano,low,2,0.69213,0.527778,0.520833,0.854167,144,144,432,36326,13779,0.0250711
openai/gpt-5.4-nano,medium,3,0.824074,0.715278,0.715278,0.9375,144,144,432,44040,21344,0.0347136
openai/gpt-5.4-nano,high,4,0.884259,0.819444,0.8125,0.944444,144,144,432,48072,25294,0.0397536
openai/gpt-5.4-nano,xhigh,5,0.962963,0.916667,0.916667,0.993056,144,144,432,80989,58061,0.08089985
openai/gpt-5.5,none,0,0.891204,0.840278,0.840278,0.9375,144,144,432,22083,0,0.17829
openai/gpt-5.5,low,2,0.993056,0.979167,0.979167,1.0,144,144,432,37741,14809,0.64803
openai/gpt-5.5,medium,3,1.0,1.0,1.0,1.0,144,144,432,40941,17991,0.74403
openai/gpt-5.5,high,4,0.993056,0.986111,0.979167,1.0,144,144,432,45629,22679,0.88467
openai/gpt-5.5,xhigh,5,1.0,1.0,1.0,1.0,144,144,432,52457,29507,1.08951
openai/gpt-oss-120b,low,2,0.909722,0.833333,0.833333,0.958333,144,144,432,67361,18638,0.00564621
openai/gpt-oss-120b,medium,3,0.967593,0.944444,0.9375,0.993056,144,144,432,82641,36535,0.008421792
openai/gpt-oss-120b,high,4,0.965278,0.909722,0.909722,1.0,144,144,432,140694,94635,0.018643869
openai/gpt-oss-20b,low,2,0.868056,0.777778,0.75,0.958333,144,144,432,75280,23725,0.005110894
openai/gpt-oss-20b,medium,3,0.928241,0.868056,0.847222,0.979167,144,144,432,107094,55113,0.00925853
openai/gpt-oss-20b,high,4,0.953704,0.923611,0.923611,0.986111,144,144,432,166273,114116,0.017416821
openai/o1,low,2,0.967593,0.965278,0.930556,1.0,144,144,432,136721,49166,7.3317
openai/o1,medium,3,0.981481,0.986111,0.958333,0.993056,144,144,432,204778,82997,11.41512
openai/o1,high,4,0.972222,0.979167,0.923611,1.0,144,144,432,284520,122688,16.19964
openai/o3,low,2,0.981481,0.951389,0.951389,1.0,144,144,432,61103,29069,0.372616
openai/o3,medium,3,1.0,1.0,1.0,1.0,144,144,432,81475,46428,0.535592
openai/o3,high,4,1.0,1.0,1.0,1.0,144,144,432,92103,56094,0.620616
openai/o3-mini,low,2,0.951389,0.902778,0.895833,0.993056,144,144,432,104919,35630,0.3977292
openai/o3-mini,medium,3,0.962963,0.944444,0.9375,0.979167,144,144,432,190183,75969,0.7728908
openai/o3-mini,high,4,0.976852,0.972222,0.972222,0.979167,144,144,432,439384,200256,1.8693752
openai/o3-mini-high,low,2,0.983796,0.979167,0.979167,0.986111,144,144,432,450242,206144,1.9168732
openai/o3-mini-high,medium,3,0.979167,0.965278,0.965278,0.986111,144,144,432,434620,198144,1.8484136
openai/o3-mini-high,high,4,0.974537,0.951389,0.951389,0.986111,144,144,432,452721,207040,1.9247085
openai/o4-mini,low,2,0.974537,0.958333,0.958333,0.993056,144,144,432,63786,29042,0.216744
openai/o4-mini,medium,3,0.983796,0.972222,0.972222,0.993056,144,144,432,90093,53149,0.3324948
openai/o4-mini,high,4,0.988426,0.986111,0.986111,0.993056,144,144,432,108324,71936,0.4127112
openai/o4-mini-high,low,2,0.981481,0.972222,0.972222,0.993056,144,144,432,108815,72360,0.4148716
openai/o4-mini-high,medium,3,0.983796,0.965278,0.965278,1.0,144,144,432,104415,67520,0.3954819
openai/o4-mini-high,high,4,0.981481,0.965278,0.965278,0.993056,144,144,432,108881,71808,0.415162
qwen/qwen-2.5-72b-instruct,default,1,0.587963,0.527778,0.520833,0.652778,144,144,432,21590,0,0.00782324
qwen/qwen-2.5-7b-instruct,default,1,0.460648,0.402778,0.402778,0.513889,144,144,432,34996,0,0.00173614
qwen/qwen-plus,default,1,0.659722,0.659722,0.659722,0.659722,144,144,432,21375,0,0.00610662
qwen/qwen-plus-2025-07-28,default,1,0.604167,0.604167,0.604167,0.604167,144,144,432,21408,0,0.00613236
qwen/qwen2.5-vl-72b-instruct,default,1,0.483796,0.375,0.361111,0.625,144,144,432,24452,0,0.0031135
qwen/qwen3-14b,default,1,0.958333,0.916667,0.916667,0.993056,144,144,432,188940,152318,0.04244046
qwen/qwen3-235b-a22b,default,1,0.923611,0.902778,0.847222,0.979167,144,144,432,269241,241638,0.462283185
qwen/qwen3-235b-a22b-2507,default,1,0.62963,0.548611,0.548611,0.722222,144,144,432,21659,0,0.001450311
qwen/qwen3-235b-a22b-thinking-2507,default,1,0.979167,0.944444,0.944444,1.0,144,144,432,303195,273180,0.0302635
qwen/qwen3-30b-a3b,default,1,0.953704,0.944444,0.916667,0.986111,144,144,432,204545,170261,0.08464113
qwen/qwen3-30b-a3b-instruct-2507,default,1,0.539352,0.486111,0.486111,0.597222,144,144,432,26074,0,0.00254991
qwen/qwen3-30b-a3b-thinking-2507,default,1,0.969907,0.965278,0.958333,0.986111,144,144,432,358955,334987,0.13707992
qwen/qwen3-32b,default,1,0.775463,0.75,0.541667,0.944444,144,144,432,199155,167241,0.0512976
qwen/qwen3-8b,default,1,0.622685,0.625,0.597222,0.645833,144,144,432,125264,101778,0.04299395
qwen/qwen3-coder,default,1,0.68287,0.618056,0.618056,0.75,144,144,432,22016,0,0.00537978
qwen/qwen3-coder-30b-a3b-instruct,default,1,0.502315,0.465278,0.444444,0.569444,144,144,432,28149,0,0.00353643
qwen/qwen3-coder-flash,default,1,0.486111,0.506944,0.465278,0.506944,144,144,432,23226,0,0.00679653
qwen/qwen3-coder-next,default,1,0.569444,0.430556,0.430556,0.729167,144,144,432,21859,0,0.00343941
qwen/qwen3-coder-plus,default,1,0.564815,0.569444,0.527778,0.597222,144,144,432,25153,0,0.02891785
qwen/qwen3-max,max,6,0.712963,0.6875,0.6875,0.736111,144,144,432,21363,0,0.01992042
qwen/qwen3-next-80b-a3b-instruct,default,1,0.606481,0.5625,0.5625,0.666667,144,144,432,21709,0,0.00335771
qwen/qwen3-next-80b-a3b-thinking,default,1,0.944444,0.909722,0.861111,0.993056,144,144,432,507458,462108,0.3817693425
qwen/qwen3-vl-235b-a22b-instruct,default,1,0.680556,0.638889,0.638889,0.708333,144,144,432,21792,0,0.0049272
qwen/qwen3-vl-235b-a22b-thinking,default,1,0.979167,0.965278,0.951389,1.0,144,144,432,335376,311854,0.82240938
qwen/qwen3-vl-30b-a3b-instruct,default,1,0.520833,0.465278,0.465278,0.590278,144,144,432,22043,0,0.00353795
qwen/qwen3-vl-30b-a3b-thinking,default,1,0.935185,0.888889,0.861111,0.986111,144,144,432,431561,406839,0.64294347
qwen/qwen3-vl-8b-instruct,default,1,0.490741,0.4375,0.4375,0.5625,144,144,432,21845,0,0.0023278
qwen/qwen3-vl-8b-thinking,default,1,0.881944,0.861111,0.826389,0.923611,144,144,432,517171,482805,0.679502031
qwen/qwen3.5-122b-a10b,default,1,0.988426,0.972222,0.972222,1.0,144,144,432,231631,203547,0.44180344
qwen/qwen3.5-27b,default,1,1.0,1.0,1.0,1.0,144,144,432,194098,160625,0.2728011
