model_entry_id,label,inspect_model,provider_model,reasoning_effort,model_setting_key,items,complete_items,attempt_rows,valid_attempts,strict_correct_attempts,strict_attempt_accuracy,strict_pass3_items,strict_pass3_accuracy,strict_pass3_ci_low,strict_pass3_ci_high,answer_pass3_items,answer_pass3_accuracy,format_pass3_items,format_pass3_accuracy,strict_any3_items,strict_any3_accuracy,provider_errors,timeouts,input_tokens,output_tokens,reasoning_tokens,cache_read_tokens,cache_write_tokens,total_tokens,estimated_cost_usd,manual_adjusted_attempts,complete_for_pass3
manual-20260612-anthropic-claude-haiku-4-5-medium-budget-2048,Anthropic Claude Haiku 4.5 medium_budget_2048,anthropic/claude-haiku-4-5,anthropic/claude-haiku-4.5,medium_budget_2048,anthropic-claude-haiku-4-5:f0392a020661f8af,144,144,432,432,406,0.939815,129,0.895833,0.835244,0.935852,133,0.923611,140,0.972222,140,0.972222,0,0,33963,69863,66239,0,0,103826,0.383278,0,True
manual-20260612-anthropic-claude-haiku-4-5-xhigh-budget-16384,Anthropic Claude Haiku 4.5 xhigh_budget_16384,anthropic/claude-haiku-4-5,anthropic/claude-haiku-4.5,xhigh_budget_16384,anthropic-claude-haiku-4-5:ab65794f12b63cd6,144,144,432,432,410,0.949074,132,0.916667,0.859992,0.951689,134,0.930556,140,0.972222,143,0.993056,0,0,33963,81036,73125,0,0,114999,0.439143,0,True
manual-20260612-anthropic-claude-opus-4-6-low,Anthropic Claude Opus 4.6 low,anthropic/claude-opus-4-6,anthropic/claude-opus-4-6,low,anthropic-claude-opus-4-6:9b0df420f6e132a3,144,144,432,432,389,0.900463,128,0.888889,0.827128,0.930441,130,0.902778,142,0.986111,131,0.909722,0,0,21435,2829,0,0,0,24264,0.1779,0,True
manual-20260612-anthropic-claude-opus-4-6-medium,Anthropic Claude Opus 4.6 medium,anthropic/claude-opus-4-6,anthropic/claude-opus-4-6,medium,anthropic-claude-opus-4-6:63d1d5da15a1eddc,144,144,432,432,376,0.87037,124,0.861111,0.795198,0.908258,129,0.895833,137,0.951389,126,0.875,0,0,21435,3871,229,0,0,25306,0.20395,0,True
manual-20260612-anthropic-claude-opus-4-6-high,Anthropic Claude Opus 4.6 high,anthropic/claude-opus-4-6,anthropic/claude-opus-4-6,high,anthropic-claude-opus-4-6:fa557f552e8a1bc9,144,144,432,432,400,0.925926,132,0.916667,0.859992,0.951689,141,0.979167,135,0.9375,135,0.9375,0,0,21435,21818,16465,0,0,43253,0.652625,0,True
manual-20260612-anthropic-claude-opus-4-6-xhigh,Anthropic Claude Opus 4.6 xhigh,anthropic/claude-opus-4-6,anthropic/claude-opus-4-6,xhigh,anthropic-claude-opus-4-6:789153120c3ca9ef,144,144,432,432,401,0.928241,131,0.909722,0.85167,0.946482,141,0.979167,134,0.930556,136,0.944444,0,0,21435,22023,16614,0,0,43458,0.65775,0,True
manual-20260612-anthropic-claude-opus-4-6-max,Anthropic Claude Opus 4.6 max,anthropic/claude-opus-4-6,anthropic/claude-opus-4-6,max,anthropic-claude-opus-4-6:0a7eebdd620bd1e5,144,144,432,432,397,0.918981,128,0.888889,0.827128,0.930441,140,0.972222,132,0.916667,136,0.944444,0,0,21435,28040,22596,0,0,49475,0.808175,0,True
manual-20260612-anthropic-claude-opus-4-7-low,Anthropic Claude Opus 4.7 low,anthropic/claude-opus-4-7,anthropic/claude-opus-4-7,low,anthropic-claude-opus-4-7:bd10259ecaeb7c21,144,144,432,432,374,0.865741,121,0.840278,0.771725,0.891148,121,0.840278,144,1.0,128,0.888889,0,0,30432,3312,0,0,0,33744,0.23496,0,True
manual-20260612-anthropic-claude-opus-4-7-medium,Anthropic Claude Opus 4.7 medium,anthropic/claude-opus-4-7,anthropic/claude-opus-4-7,medium,anthropic-claude-opus-4-7:6fcd98b498bac827,144,144,432,432,374,0.865741,123,0.854167,0.787333,0.902595,123,0.854167,143,0.993056,126,0.875,0,0,30432,3307,0,0,0,33739,0.234835,0,True
manual-20260612-anthropic-claude-opus-4-7-high,Anthropic Claude Opus 4.7 high,anthropic/claude-opus-4-7,anthropic/claude-opus-4-7,high,anthropic-claude-opus-4-7:512f48118696b767,144,144,432,432,378,0.875,125,0.868056,0.803107,0.913877,125,0.868056,143,0.993056,127,0.881944,0,0,30432,3734,360,0,0,34166,0.24551,0,True
manual-20260612-anthropic-claude-opus-4-7-xhigh,Anthropic Claude Opus 4.7 xhigh,anthropic/claude-opus-4-7,anthropic/claude-opus-4-7,xhigh,anthropic-claude-opus-4-7:479a7642e4e515c6,144,144,432,432,401,0.928241,132,0.916667,0.859992,0.951689,132,0.916667,143,0.993056,135,0.9375,0,0,30432,5348,1776,0,0,35780,0.28586,0,True
manual-20260612-anthropic-claude-opus-4-7-max,Anthropic Claude Opus 4.7 max,anthropic/claude-opus-4-7,anthropic/claude-opus-4-7,max,anthropic-claude-opus-4-7:3ba76346afd43c02,144,144,432,432,387,0.895833,125,0.868056,0.803107,0.913877,125,0.868056,144,1.0,132,0.916667,0,0,30432,7319,3034,0,0,37751,0.335135,0,True
requested-022-anthropic-claude-opus-4-5-none,Anthropic: Claude Opus 4.5 none,anthropic/claude-opus-4-5,anthropic/claude-opus-4.5,none,anthropic-claude-opus-4-5:6a0233592ec71ab8,144,144,432,432,358,0.828704,118,0.819444,0.748588,0.873701,118,0.819444,142,0.986111,121,0.840278,0,0,21435,3345,0,0,0,24780,0.1908,0,True
requested-023-anthropic-claude-opus-4-5-low-budget-1024,Anthropic: Claude Opus 4.5 low_budget_1024,anthropic/claude-opus-4-5,anthropic/claude-opus-4.5,low_budget_1024,anthropic-claude-opus-4-5:f8200b70282ca5f8,144,144,432,432,421,0.974537,139,0.965278,0.921297,0.985079,143,0.993056,140,0.972222,142,0.986111,0,0,33963,57286,53986,0,0,91249,1.601965,0,True
requested-024-anthropic-claude-opus-4-5-medium-budget-2048,Anthropic: Claude Opus 4.5 medium_budget_2048,anthropic/claude-opus-4-5,anthropic/claude-opus-4.5,medium_budget_2048,anthropic-claude-opus-4-5:673e97aac3b81534,144,144,432,432,416,0.962963,137,0.951389,0.903064,0.976256,143,0.993056,138,0.958333,140,0.972222,0,0,33963,60321,56386,0,0,94284,1.67784,0,True
requested-025-anthropic-claude-opus-4-5-high-budget-8192,Anthropic: Claude Opus 4.5 high_budget_8192,anthropic/claude-opus-4-5,anthropic/claude-opus-4.5,high_budget_8192,anthropic-claude-opus-4-5:e865b88fdef48e9c,144,144,432,432,422,0.976852,139,0.965278,0.921297,0.985079,143,0.993056,140,0.972222,143,0.993056,0,0,33963,60852,57291,0,0,94815,1.691115,0,True
requested-026-anthropic-claude-opus-4-5-xhigh-budget-16384,Anthropic: Claude Opus 4.5 xhigh_budget_16384,anthropic/claude-opus-4-5,anthropic/claude-opus-4.5,xhigh_budget_16384,anthropic-claude-opus-4-5:b4d76a23e0a9f67d,144,144,432,432,420,0.972222,139,0.965278,0.921297,0.985079,142,0.986111,139,0.965278,141,0.979167,0,0,33963,61590,58055,0,0,95553,1.709565,0,True
old-236-claude-opus-4-8-none,Claude Opus 4.8 none,anthropic/claude-opus-4-8,anthropic/claude-opus-4.8,none,anthropic-claude-opus-4-8:6492af2d4e431e21,144,144,432,432,376,0.87037,121,0.840278,0.771725,0.891148,122,0.847222,143,0.993056,129,0.895833,0,0,28272,2461,0,0,0,30733,0.202885,0,True
old-211-claude-opus-4-8-low,Claude Opus 4.8 low,anthropic/claude-opus-4-8,anthropic/claude-opus-4.8,low,anthropic-claude-opus-4-8:076b1433cdd544c9,144,144,432,432,419,0.969907,137,0.951389,0.903064,0.976256,137,0.951389,143,0.993056,142,0.986111,0,0,28272,6474,3905,0,0,34746,0.30321,0,True
old-212-claude-opus-4-8-medium,Claude Opus 4.8 medium,anthropic/claude-opus-4-8,anthropic/claude-opus-4.8,medium,anthropic-claude-opus-4-8:05a57c7c3be8c538,144,144,432,432,410,0.949074,134,0.930556,0.876891,0.961845,134,0.930556,143,0.993056,138,0.958333,0,0,28272,7145,4338,0,0,35417,0.319985,0,True
old-213-claude-opus-4-8-high,Claude Opus 4.8 high,anthropic/claude-opus-4-8,anthropic/claude-opus-4.8,high,anthropic-claude-opus-4-8:1dd03a19c45c84d3,144,144,432,432,417,0.965278,136,0.944444,0.894209,0.971583,136,0.944444,143,0.993056,141,0.979167,0,0,28272,8513,5255,0,0,36785,0.354185,0,True
old-214-claude-opus-4-8-xhigh,Claude Opus 4.8 xhigh,anthropic/claude-opus-4-8,anthropic/claude-opus-4.8,xhigh,anthropic-claude-opus-4-8:1c8837af9a279914,144,144,432,432,423,0.979167,139,0.965278,0.921297,0.985079,139,0.965278,144,1.0,143,0.993056,0,0,28272,14659,7938,0,0,42931,0.507835,0,True
old-215-claude-opus-4-8-max,Claude Opus 4.8 max,anthropic/claude-opus-4-8,anthropic/claude-opus-4.8,max,anthropic-claude-opus-4-8:ca4421b75142368a,144,144,432,432,429,0.993056,143,0.993056,0.961715,0.998773,143,0.993056,144,1.0,143,0.993056,0,0,28272,34509,17758,0,0,62781,1.004085,0,True
requested-027-anthropic-claude-sonnet-4-none,Anthropic: Claude Sonnet 4 none,openrouter/anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,none,openrouter-anthropic-claude-sonnet-4:243a37130a6fc7fc,144,144,432,432,268,0.62037,75,0.520833,0.439763,0.600821,83,0.576389,121,0.840278,102,0.708333,0,0,21435,7108,0,0,0,28543,0.170925,0,True
requested-028-anthropic-claude-sonnet-4-low,Anthropic: Claude Sonnet 4 low,openrouter/anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,low,openrouter-anthropic-claude-sonnet-4:c6b1f7f2cada48d4,144,144,432,432,419,0.969907,136,0.944444,0.894209,0.971583,136,0.944444,144,1.0,142,0.986111,0,0,33963,62199,45404,0,0,96162,1.034874,0,True
requested-029-anthropic-claude-sonnet-4-medium,Anthropic: Claude Sonnet 4 medium,openrouter/anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,medium,openrouter-anthropic-claude-sonnet-4:bd8cdfb4f1cb7d87,144,144,432,432,420,0.972222,137,0.951389,0.903064,0.976256,137,0.951389,144,1.0,142,0.986111,0,0,33963,69333,50442,0,0,103296,1.141884,0,True
requested-030-anthropic-claude-sonnet-4-high,Anthropic: Claude Sonnet 4 high,openrouter/anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,high,openrouter-anthropic-claude-sonnet-4:57371731099d7d9a,144,144,432,432,421,0.974537,138,0.958333,0.912082,0.980766,138,0.958333,143,0.993056,143,0.993056,0,0,33963,75579,55124,0,0,109542,1.235574,0,True
requested-031-anthropic-claude-sonnet-4-xhigh,Anthropic: Claude Sonnet 4 xhigh,openrouter/anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,xhigh,openrouter-anthropic-claude-sonnet-4:7d1247d821f1aa88,144,144,432,432,419,0.969907,137,0.951389,0.903064,0.976256,138,0.958333,142,0.986111,142,0.986111,0,0,33963,74205,54591,0,0,108168,1.214964,0,True
requested-032-anthropic-claude-sonnet-4-5-none,Anthropic: Claude Sonnet 4.5 none,openrouter/anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5,none,openrouter-anthropic-claude-sonnet-4-5:99f2b3d29892f274,144,144,432,432,267,0.618056,83,0.576389,0.494728,0.65408,98,0.680556,118,0.819444,95,0.659722,0,0,21435,8126,0,0,0,29561,0.186195,0,True
requested-033-anthropic-claude-sonnet-4-5-low,Anthropic: Claude Sonnet 4.5 low,openrouter/anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5,low,openrouter-anthropic-claude-sonnet-4-5:b7c9385e405da840,144,144,432,432,414,0.958333,134,0.930556,0.876891,0.961845,138,0.958333,138,0.958333,141,0.979167,0,0,33963,56354,39162,0,0,90317,0.947199,0,True
requested-034-anthropic-claude-sonnet-4-5-medium,Anthropic: Claude Sonnet 4.5 medium,openrouter/anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5,medium,openrouter-anthropic-claude-sonnet-4-5:5083325eed5614c9,144,144,432,432,414,0.958333,134,0.930556,0.876891,0.961845,139,0.965278,137,0.951389,142,0.986111,0,0,33963,57927,40639,0,0,91890,0.970794,0,True
requested-035-anthropic-claude-sonnet-4-5-high,Anthropic: Claude Sonnet 4.5 high,openrouter/anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5,high,openrouter-anthropic-claude-sonnet-4-5:0076c483e37c9e51,144,144,432,432,414,0.958333,134,0.930556,0.876891,0.961845,140,0.972222,136,0.944444,142,0.986111,0,0,33963,65792,46853,0,0,99755,1.088769,0,True
requested-036-anthropic-claude-sonnet-4-5-xhigh,Anthropic: Claude Sonnet 4.5 xhigh,openrouter/anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5,xhigh,openrouter-anthropic-claude-sonnet-4-5:1f81d379d7c0d2ad,144,144,432,432,418,0.967593,135,0.9375,0.885491,0.966773,140,0.972222,139,0.965278,142,0.986111,0,0,33963,64829,46401,0,0,98792,1.074324,0,True
old-237-claude-sonnet-4-6-none,Claude Sonnet 4.6 none,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-4.6,none,anthropic-claude-sonnet-4-6:bb14326198832a63,144,144,432,432,354,0.819444,114,0.791667,0.718187,0.849989,115,0.798611,140,0.972222,121,0.840278,0,0,21435,4323,0,0,0,25758,0.12915,0,True
old-4-anthropic-claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-4.6,default,anthropic-claude-sonnet-4-6:c7ae17cc4706c274,144,144,432,432,347,0.803241,111,0.770833,0.695682,0.83191,112,0.777778,140,0.972222,121,0.840278,0,0,21435,4185,0,0,0,25620,0.12708,0,True
old-216-claude-sonnet-4-6-low,Claude Sonnet 4.6 low,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-4.6,low,anthropic-claude-sonnet-4-6:ef7abe04d716b193,144,144,432,432,352,0.814815,112,0.777778,0.703158,0.837963,114,0.791667,142,0.986111,121,0.840278,0,0,21435,3787,520,0,0,25222,0.12111,0,True
old-217-claude-sonnet-4-6-medium,Claude Sonnet 4.6 medium,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-4.6,medium,anthropic-claude-sonnet-4-6:74e66c92ba93a8ab,144,144,432,432,382,0.884259,123,0.854167,0.787333,0.902595,127,0.881944,139,0.965278,132,0.916667,0,0,21435,8313,4981,0,0,29748,0.189,0,True
old-218-claude-sonnet-4-6-high,Claude Sonnet 4.6 high,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-4.6,high,anthropic-claude-sonnet-4-6:ca1eec2cec55eee2,144,144,432,432,371,0.858796,120,0.833333,0.763977,0.885367,139,0.965278,123,0.854167,127,0.881944,0,0,21435,33940,25841,0,0,55375,0.573405,0,True
old-219-claude-sonnet-4-6-max,Claude Sonnet 4.6 max,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-4.6,max,anthropic-claude-sonnet-4-6:a5e481df9e03384e,144,144,432,432,345,0.798611,111,0.770833,0.695682,0.83191,139,0.965278,115,0.798611,119,0.826389,0,0,21435,50516,39841,0,0,71951,0.822045,0,True
manual-20260630-anthropic-claude-sonnet-5-low,Anthropic Claude Sonnet 5 low,anthropic/claude-sonnet-5,anthropic/claude-sonnet-5,low,anthropic-claude-sonnet-5:91db73e1ff32510e,144,144,432,432,376,0.87037,118,0.819444,0.748588,0.873701,119,0.826389,143,0.993056,131,0.909722,0,0,28272,3972,1483,0,0,32244,0.144396,0,True
manual-20260630-anthropic-claude-sonnet-5-medium,Anthropic Claude Sonnet 5 medium,anthropic/claude-sonnet-5,anthropic/claude-sonnet-5,medium,anthropic-claude-sonnet-5:6651233ac64a8784,144,144,432,432,368,0.851852,116,0.805556,0.733328,0.861905,116,0.805556,144,1.0,129,0.895833,0,0,28272,4289,1992,0,0,32561,0.149151,0,True
manual-20260630-anthropic-claude-sonnet-5-high,Anthropic Claude Sonnet 5 high,anthropic/claude-sonnet-5,anthropic/claude-sonnet-5,high,anthropic-claude-sonnet-5:db94fe588835015a,144,144,432,432,395,0.914352,125,0.868056,0.803107,0.913877,125,0.868056,144,1.0,138,0.958333,0,0,28272,7276,3856,0,0,35548,0.193956,0,True
manual-20260630-anthropic-claude-sonnet-5-xhigh,Anthropic Claude Sonnet 5 xhigh,anthropic/claude-sonnet-5,anthropic/claude-sonnet-5,xhigh,anthropic-claude-sonnet-5:26970afb9e1aa0ac,144,144,432,432,402,0.930556,130,0.902778,0.843423,0.941201,130,0.902778,144,1.0,140,0.972222,0,0,28272,11931,7363,0,0,40203,0.263781,0,True
manual-20260630-anthropic-claude-sonnet-5-max,Anthropic Claude Sonnet 5 max,anthropic/claude-sonnet-5,anthropic/claude-sonnet-5,max,anthropic-claude-sonnet-5:7fc561aeb2249752,144,144,432,432,423,0.979167,139,0.965278,0.921297,0.985079,139,0.965278,144,1.0,142,0.986111,0,0,28272,45320,22125,0,0,73592,0.764616,0,True
old-76-deepseek-deepseek-v3,DeepSeek: DeepSeek V3,openrouter/deepseek/deepseek-chat,deepseek/deepseek-chat,default,openrouter-deepseek-deepseek-chat:aca29a9c27f327d3,144,144,432,432,223,0.516204,53,0.368056,0.293668,0.4493,61,0.423611,114,0.791667,98,0.680556,0,0,18129,4810,0,0,0,22939,0.0074779068,0,True
old-69-deepseek-deepseek-v3-0324,DeepSeek: DeepSeek V3 0324,openrouter/deepseek/deepseek-chat-v3-0324,deepseek/deepseek-chat-v3-0324,default,openrouter-deepseek-deepseek-chat-v3-0324:f8e72f12e1015a2c,144,144,432,432,232,0.537037,59,0.409722,0.332761,0.491375,70,0.486111,112,0.777778,96,0.666667,0,0,13103,4577,0,5026,0,22706,0.0063348,0,True
old-73-deepseek-deepseek-v3-1,DeepSeek: DeepSeek V3.1,openrouter/deepseek/deepseek-chat-v3.1,deepseek/deepseek-chat-v3.1,default,openrouter-deepseek-deepseek-chat-v3-1:a1bab219605b0579,144,144,432,432,280,0.648148,73,0.506944,0.426174,0.587354,79,0.548611,134,0.930556,108,0.75,0,0,15485,2038,0,3382,0,20905,0.00504029,0,True
old-80-deepseek-deepseek-v3-1-terminus,DeepSeek: DeepSeek V3.1 Terminus,openrouter/deepseek/deepseek-v3.1-terminus,deepseek/deepseek-v3.1-terminus,default,openrouter-deepseek-deepseek-v3-1-terminus:6ebd2ebdf76a3180,144,144,432,432,305,0.706019,79,0.548611,0.467123,0.627573,84,0.583333,136,0.944444,121,0.840278,0,0,15850,16674,14708,3200,0,35724,0.01980518,0,True
old-47-deepseek-deepseek-v3-2,DeepSeek: DeepSeek V3.2,openrouter/deepseek/deepseek-v3.2,deepseek/deepseek-v3.2,default,openrouter-deepseek-deepseek-v3-2:67900c1519814ba9,144,144,432,432,286,0.662037,73,0.506944,0.426174,0.587354,73,0.506944,142,0.986111,117,0.8125,0,0,16294,1511,0,3209,0,21014,0.0037922456,0,True
old-57-deepseek-deepseek-v3-2-exp,DeepSeek: DeepSeek V3.2 Exp,openrouter/deepseek/deepseek-v3.2-exp,deepseek/deepseek-v3.2-exp,default,openrouter-deepseek-deepseek-v3-2-exp:fcab714ac4ba5f53,144,144,432,432,301,0.696759,88,0.611111,0.529589,0.686859,88,0.611111,144,1.0,114,0.791667,0,0,18497,1328,0,64,0,19889,0.00553408,0,True
old-35-deepseek-deepseek-v4-flash,DeepSeek: DeepSeek V4 Flash,openrouter/deepseek/deepseek-v4-flash,deepseek/deepseek-v4-flash,default,openrouter-deepseek-deepseek-v4-flash:84fe7d3f33b4e8e2,144,144,432,432,380,0.87963,106,0.736111,0.658667,0.801285,106,0.736111,144,1.0,143,0.993056,0,0,18425,32028,29777,510,0,50963,0.0080677963,0,True
old-78-deepseek-deepseek-v4-pro,DeepSeek: DeepSeek V4 Pro,openrouter/deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,default,openrouter-deepseek-deepseek-v4-pro:8a1e2e56b483bd63,144,144,432,432,398,0.921296,115,0.798611,0.725743,0.855961,115,0.798611,144,1.0,144,1.0,0,0,18249,44971,42882,312,0,63532,0.046928496,0,True
manual-20260612-google-gemini-2-5-flash-none,Google: Gemini 2.5 Flash none,openrouter/google/gemini-2.5-flash,google/gemini-2.5-flash,none,openrouter-google-gemini-2-5-flash:f1c7ede96b11290e,144,144,432,432,328,0.759259,94,0.652778,0.571963,0.725653,94,0.652778,144,1.0,123,0.854167,0,0,17607,997,0,0,0,18604,0.0077746,0,True
manual-20260612-google-gemini-2-5-flash-low,Google: Gemini 2.5 Flash low,openrouter/google/gemini-2.5-flash,google/gemini-2.5-flash,low,openrouter-google-gemini-2-5-flash:e6de5ee4971277bd,144,144,432,432,415,0.960648,133,0.923611,0.868396,0.956813,133,0.923611,144,1.0,143,0.993056,0,0,17607,78046,77036,0,0,95653,0.2003971,0,True
manual-20260612-google-gemini-2-5-flash-medium,Google: Gemini 2.5 Flash medium,openrouter/google/gemini-2.5-flash,google/gemini-2.5-flash,medium,openrouter-google-gemini-2-5-flash:f71118c9b79dff7f,144,144,432,432,420,0.972222,136,0.944444,0.894209,0.971583,136,0.944444,143,0.993056,142,0.986111,0,0,17607,71964,70823,0,0,89571,0.1851921,0,True
manual-20260612-google-gemini-2-5-flash-high,Google: Gemini 2.5 Flash high,openrouter/google/gemini-2.5-flash,google/gemini-2.5-flash,high,openrouter-google-gemini-2-5-flash:00024a2b9ec50f91,144,144,432,432,420,0.972222,134,0.930556,0.876891,0.961845,134,0.930556,144,1.0,144,1.0,0,0,17607,69992,68994,0,0,87599,0.1802621,0,True
manual-20260612-google-gemini-2-5-flash-lite-none,Google: Gemini 2.5 Flash Lite none,openrouter/google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,none,openrouter-google-gemini-2-5-flash-lite:32d7a64bd924d50d,144,144,432,432,301,0.696759,83,0.576389,0.494728,0.65408,83,0.576389,144,1.0,116,0.805556,0,0,17607,973,0,0,0,18580,0.0021499,0,True
old-189-gemini-2-5-flash-lite-low-budget-1024,Gemini 2.5 Flash-Lite low_budget_1024,openrouter/google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,low,openrouter-google-gemini-2-5-flash-lite:995165954feb629f,144,144,432,432,409,0.946759,127,0.881944,0.819069,0.924972,127,0.881944,144,1.0,143,0.993056,0,0,17607,89399,88399,0,0,107006,0.0375203,0,True
old-197-gemini-2-5-flash-lite-medium-budget-8192,Gemini 2.5 Flash-Lite medium_budget_8192,openrouter/google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,medium,openrouter-google-gemini-2-5-flash-lite:d41194a06a7d0a4b,144,144,432,432,402,0.930556,124,0.861111,0.795198,0.908258,124,0.861111,144,1.0,140,0.972222,0,0,17608,113691,112689,0,0,131299,0.0472372,0,True
manual-20260612-google-gemini-2-5-flash-lite-high,Google: Gemini 2.5 Flash Lite high,openrouter/google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,high,openrouter-google-gemini-2-5-flash-lite:4845c51c12509e21,144,144,432,432,403,0.93287,124,0.861111,0.795198,0.908258,124,0.861111,144,1.0,141,0.979167,0,0,17608,121317,117468,0,0,138925,0.0502876,0,True
requested-045-google-gemini-2-5-pro-low,Google: Gemini 2.5 Pro low,openrouter/google/gemini-2.5-pro,google/gemini-2.5-pro,low,openrouter-google-gemini-2-5-pro:1b9605fe4301c779,144,144,432,432,421,0.974537,138,0.958333,0.912082,0.980766,138,0.958333,144,1.0,142,0.986111,0,0,17607,167416,166417,0,0,185023,1.69616875,0,True
