rank,label,model,barrage_profile,accuracy_pct,answer_accuracy_pct,format_accuracy_pct,strict_accuracy_pct,obvious_failure_rate_pct,correct,answer_correct,format_correct,strict_correct,scored_samples,provider_errors,timeouts,total_tokens,estimated_cost_usd,cost_per_correct_usd,tokens_per_correct,cost_warnings,summary_dir
11,Claude Opus 4.8 high,anthropic/claude-opus-4-8,balanced_8x10,93.75,93.75,100.00,93.75,6.25,75,75,80,75,80,0,0,5074,0.03363,0.0004484,67.65,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-high-seq-balanced_8x10-20260531-081442
12,Claude Opus 4.8 medium,anthropic/claude-opus-4-8,balanced_8x10,93.75,93.75,100.00,93.75,6.25,75,75,80,75,80,0,0,5074,0.03363,0.0004484,67.65,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-medium-seq-balanced_8x10-20260531-081256
13,Claude Opus 4.7 medium,anthropic/claude-opus-4-7,balanced_8x10,93.75,93.75,100.00,93.75,6.25,75,75,80,75,80,0,0,5673,0.040605,0.0005414,75.64,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-medium-seq-balanced_8x10-20260531-080751
14,Claude Opus 4.8 low,anthropic/claude-opus-4-8,balanced_8x10,92.50,92.50,100.00,92.50,7.50,74,74,80,74,80,0,0,5074,0.03363,0.00045446,68.57,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-low-seq-balanced_8x10-20260531-081105
15,Claude Opus 4.7 high,anthropic/claude-opus-4-7,balanced_8x10,92.50,92.50,100.00,92.50,7.50,74,74,80,74,80,0,0,5673,0.040605,0.00054872,76.66,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-high-seq-balanced_8x10-20260531-080926
16,GPT-5.5 none,openai/gpt-5.5,balanced_8x10,91.25,91.25,100.00,91.25,8.75,73,73,80,73,80,0,0,3809,0.032245,0.00044171,52.18,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-balanced-8x10-nothinking-20260530-213600
17,Claude Opus 4.6 low,anthropic/claude-opus-4-6,balanced_8x10,91.25,91.25,100.00,91.25,8.75,73,73,80,73,80,0,0,4205,0.033505,0.00045897,57.60,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-low-seq-balanced_8x10-20260531-075610
18,Claude Opus 4.7 low,anthropic/claude-opus-4-7,balanced_8x10,91.25,91.25,100.00,91.25,8.75,73,73,80,73,80,0,0,5673,0.040605,0.00055623,77.71,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-low-seq-balanced_8x10-20260531-080550
19,GPT-4o none,openai/gpt-4o,balanced_8x10,88.75,88.75,85.00,73.75,11.25,71,71,68,59,80,0,0,3626,0.0110525,0.00015567,51.07,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4o-balanced-8x10-nothinking-20260530-213550
20,Gemini 3 Flash Preview OR,openrouter/google/gemini-3-flash-preview,balanced_8x10,87.50,87.50,100.00,87.50,12.50,70,70,80,70,80,0,0,3225,0.00218,0.00003114,46.07,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-flash-preview-openrouter-balanced_8x10-20260531-080345
21,GPT-5.2 none,openai/gpt-5.2,balanced_8x10,87.50,87.50,100.00,87.50,12.50,70,70,80,70,80,0,0,3809,0.01313375,0.00018762,54.41,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-2-nothinking-balanced_8x10-20260531-001430
22,GPT-5.4 none,openai/gpt-5.4,balanced_8x10,87.50,87.50,100.00,87.50,12.50,70,70,80,70,80,0,0,3805,0.0160625,0.00022946,54.36,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-none-balanced_8x10-20260531-075312
23,Grok 4.3 xAI,grok/grok-4.3,balanced_8x10,87.50,87.50,75.00,62.50,12.50,70,70,60,50,80,0,0,36753,0.064638,0.0009234,525.04,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-3-xai-balanced_8x10-20260531-075934
24,Claude Haiku 4.5,anthropic/claude-haiku-4-5,balanced_8x10,82.50,82.50,93.75,76.25,17.50,66,66,75,61,80,0,0,4172,0.006536,0.00009903,63.21,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-haiku-4-5-balanced_8x10-20260531-001824
25,GPT-4.1 none,openai/gpt-4.1,balanced_8x10,82.50,82.50,97.50,80.00,17.50,66,66,78,64,80,0,0,3580,0.008474,0.00012839,54.24,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4-1-balanced-8x10-nothinking-20260530-213526
26,Gemini 3.1 Flash Lite OR,openrouter/google/gemini-3.1-flash-lite,balanced_8x10,81.25,81.25,100.00,81.25,18.75,65,65,80,65,80,0,0,3262,0.001098,0.00001689,50.18,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-flash-lite-openrouter-balanced_8x10-20260531-080345
27,GPT-5 Nano minimal,openai/gpt-5-nano,balanced_8x10,77.50,77.50,100.00,77.50,22.50,62,62,80,62,80,0,0,5114,0.00089725,0.00001447,82.48,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-nano-balanced-8x10-minimal-20260530-210720-costed
28,Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,balanced_8x10,77.50,77.50,92.50,77.50,22.50,62,62,74,62,80,0,0,4272,0.021108,0.00034045,68.90,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-sonnet-4-6-balanced_8x10-20260531-001905
29,Grok 4.20 xAI,grok/grok-4.20,balanced_8x10,57.50,57.50,60.00,20.00,42.50,46,46,48,16,80,0,0,69964,0.1490719,0.00324069,1520.96,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/grok-4-20-xai-balanced_8x10-20260531-075934
