provider,curve,model,mode,label,answer_pass_pow_3_pct,strict_pass_pow_3_pct,correct_pass_pow_3_pct,pass3_cost_usd,total_cost_usd,trials,source_root,provider_errors
Anthropic,Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,low,Claude Sonnet 4.6 low,87.0535714286,83.9285714286,87.0535714286,0.164118,0.164118,3,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606,0
Anthropic,Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,medium,Claude Sonnet 4.6 medium,94.1964285714,89.2857142857,94.1964285714,0.225333,0.225333,3,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606,0
Anthropic,Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,Claude Sonnet 4.6 high,97.3214285714,80.3571428571,97.3214285714,0.698043,0.698043,3,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606,0
Anthropic,Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,max,Claude Sonnet 4.6 max,98.2142857143,83.9285714286,98.2142857143,0.956943,0.956943,3,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606,0
Google,Gemini 3.5 Flash,google/gemini-3.5-flash,minimal,Gemini 3.5 Flash minimal,90.625,90.625,90.625,0.059625,0.059625,3,results/summaries/gemini-3-5-flash-3-1-flash-lite-pass3-8x28-20260606,0
Google,Gemini 3.5 Flash,google/gemini-3.5-flash,low,Gemini 3.5 Flash low,97.7678571429,97.7678571429,97.7678571429,0.80703,0.80703,3,results/summaries/gemini-3-5-flash-3-1-flash-lite-pass3-8x28-20260606,0
Google,Gemini 3.5 Flash,google/gemini-3.5-flash,medium,Gemini 3.5 Flash medium,98.6607142857,98.6607142857,98.6607142857,1.323225,1.323225,3,results/summaries/gemini-3-5-flash-3-1-flash-lite-pass3-8x28-20260606,0
Google,Gemini 3.5 Flash,google/gemini-3.5-flash,high,Gemini 3.5 Flash high,98.2142857143,98.2142857143,98.2142857143,1.392345,1.392345,3,results/summaries/gemini-3-5-flash-3-1-flash-lite-pass3-8x28-20260606,0
Google,Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,minimal,Gemini 3.1 Flash Lite minimal,89.2857142857,89.2857142857,89.2857142857,0.009699,0.009699,3,results/summaries/gemini-3-5-flash-3-1-flash-lite-pass3-8x28-20260606,0
Google,Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,low,Gemini 3.1 Flash Lite low,91.0714285714,91.0714285714,91.0714285714,0.134685,0.134685,3,results/summaries/gemini-3-5-flash-3-1-flash-lite-pass3-8x28-20260606,0
Google,Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,medium,Gemini 3.1 Flash Lite medium,97.7678571429,97.7678571429,97.7678571429,0.1504035,0.1504035,3,results/summaries/gemini-3-5-flash-3-1-flash-lite-pass3-8x28-20260606,0
Google,Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,high,Gemini 3.1 Flash Lite high,97.3214285714,97.3214285714,97.3214285714,0.2528115,0.2528115,3,results/summaries/gemini-3-5-flash-3-1-flash-lite-pass3-8x28-20260606,0
