rank,label,model,barrage_profile,accuracy_pct,accuracy_ci_95,answer_accuracy_pct,format_accuracy_pct,strict_accuracy_pct,obvious_failure_rate_pct,correct,answer_correct,format_correct,strict_correct,scored_samples,provider_errors,timeouts,total_tokens,estimated_cost_usd,cost_per_correct_usd,tokens_per_correct,overthinking_index,reasoning_token_source,cost_warnings,summary_dir
13,Claude Opus 4.7 medium,anthropic/claude-opus-4-7,balanced_8x10,93.75,86.19% - 97.30%,93.75,93.75,93.75,6.25,75,75,75,75,80,0,0,5673,0.040605,0.0005414,75.64,,,,results/summaries/opus-4-7-medium-seq-balanced_8x10-20260531-080751
14,Claude Opus 4.8 low,anthropic/claude-opus-4-8,balanced_8x10,92.50,84.59% - 96.52%,92.50,92.50,92.50,7.50,74,74,74,74,80,0,0,5074,0.03363,0.00045446,68.57,,,,results/summaries/opus-4-8-low-seq-balanced_8x10-20260531-081105
15,Claude Opus 4.7 high,anthropic/claude-opus-4-7,balanced_8x10,92.50,84.59% - 96.52%,92.50,92.50,92.50,7.50,74,74,74,74,80,0,0,5673,0.040605,0.00054872,76.66,,,,results/summaries/opus-4-7-high-seq-balanced_8x10-20260531-080926
16,GPT-5.5 none,openai/gpt-5.5,balanced_8x10,91.25,83.02% - 95.70%,91.25,91.25,91.25,8.75,73,73,73,73,80,0,0,3809,0.032245,0.00044171,52.18,,,,results/summaries/gpt-5-5-balanced-8x10-nothinking-20260530-213600
17,Claude Opus 4.6 low,anthropic/claude-opus-4-6,balanced_8x10,91.25,83.02% - 95.70%,91.25,91.25,91.25,8.75,73,73,73,73,80,0,0,4205,0.033505,0.00045897,57.60,,,,results/summaries/opus-4-6-low-seq-balanced_8x10-20260531-075610
18,Claude Opus 4.7 low,anthropic/claude-opus-4-7,balanced_8x10,91.25,83.02% - 95.70%,91.25,91.25,91.25,8.75,73,73,73,73,80,0,0,5673,0.040605,0.00055623,77.71,,,,results/summaries/opus-4-7-low-seq-balanced_8x10-20260531-080550
19,Gemini 3 Flash Preview OR,openrouter/google/gemini-3-flash-preview,balanced_8x10,87.50,78.50% - 93.07%,87.50,87.50,87.50,12.50,70,70,70,70,80,0,0,3225,0.00218,0.00003114,46.07,,,,results/summaries/gemini-3-flash-preview-openrouter-balanced_8x10-20260531-080345
20,GPT-5.2 none,openai/gpt-5.2,balanced_8x10,87.50,78.50% - 93.07%,87.50,87.50,87.50,12.50,70,70,70,70,80,0,0,3809,0.01313375,0.00018762,54.41,,,,results/summaries/gpt-5-2-nothinking-balanced_8x10-20260531-001430
21,GPT-5.4 none,openai/gpt-5.4,balanced_8x10,87.50,78.50% - 93.07%,87.50,87.50,87.50,12.50,70,70,70,70,80,0,0,3805,0.0160625,0.00022946,54.36,,,,results/summaries/gpt-5-4-none-balanced_8x10-20260531-075312
22,Gemini 3.1 Flash Lite OR,openrouter/google/gemini-3.1-flash-lite,balanced_8x10,81.25,71.34% - 88.29%,81.25,81.25,81.25,18.75,65,65,65,65,80,0,0,3262,0.001098,0.00001689,50.18,,,,results/summaries/gemini-3-1-flash-lite-openrouter-balanced_8x10-20260531-080345
23,GPT-4.1 none,openai/gpt-4.1,balanced_8x10,80.00,69.95% - 87.30%,80.00,80.00,80.00,20.00,64,64,64,64,80,0,0,3580,0.008474,0.00013241,55.94,,,,results/summaries/gpt-4-1-balanced-8x10-nothinking-20260530-213526
24,Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,balanced_8x10,77.50,67.21% - 85.27%,77.50,77.50,77.50,22.50,62,62,62,62,80,0,0,4272,0.021108,0.00034045,68.90,,,,results/summaries/claude-sonnet-4-6-balanced_8x10-20260531-001905
25,Claude Haiku 4.5,anthropic/claude-haiku-4-5,balanced_8x10,76.25,65.86% - 84.24%,76.25,76.25,76.25,23.75,61,61,61,61,80,0,0,4172,0.006536,0.00010715,68.39,,,,results/summaries/claude-haiku-4-5-balanced_8x10-20260531-001824
26,GPT-5 Nano minimal,openai/gpt-5-nano,balanced_8x10,75.00,64.52% - 83.19%,75.00,75.00,75.00,25.00,60,60,60,60,80,0,0,5114,0.00089725,0.00001495,85.23,,,,results/summaries/gpt-5-nano-balanced-8x10-minimal-20260530-210720-costed
27,GPT-4o none,openai/gpt-4o,balanced_8x10,73.75,63.18% - 82.14%,73.75,73.75,73.75,26.25,59,59,59,59,80,0,0,3626,0.0110525,0.00018733,61.46,,,,results/summaries/gpt-4o-balanced-8x10-nothinking-20260530-213550
28,Grok 4.3 xAI,grok/grok-4.3,balanced_8x10,62.50,51.55% - 72.31%,62.50,62.50,62.50,37.50,50,50,50,50,80,0,0,36753,0.064638,0.00129276,735.06,,,,results/summaries/grok-4-3-xai-balanced_8x10-20260531-075934
29,Grok 4.20 xAI,grok/grok-4.20,balanced_8x10,20.00,12.70% - 30.05%,20.00,20.00,20.00,80.00,16,16,16,16,80,0,0,69964,0.1490719,0.00931699,4372.75,,,,results/summaries/grok-4-20-xai-balanced_8x10-20260531-075934
