label,model,summary_dir
Qwen: Qwen3.6 Max Preview,openrouter/qwen/qwen3.6-max-preview,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-071-registry-openrouter-179-qwen-qwen3-6-max-preview
OpenAI GPT-5.4 nano xhigh,openai/gpt-5.4-nano,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-overline-006-openai-gpt-5-4-nano-xhigh
MiniMax: MiniMax M3,openrouter/minimax/minimax-m3,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-039-registry-openrouter-080-minimax-minimax-m3
StepFun: Step 3.5 Flash,openrouter/stepfun/step-3.5-flash,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-044-openrouter-032-stepfun-step-3-5-flash
Xiaomi: MiMo-V2.5-Pro,openrouter/xiaomi/mimo-v2.5-pro,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-080-openrouter-127-xiaomi-mimo-v2-5-pro
Gemini 2.5 Flash,google/gemini-2.5-flash,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-056-registry-gemini-2-5-flash
Qwen: Qwen3 30B A3B Thinking 2507,openrouter/qwen/qwen3-30b-a3b-thinking-2507,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-052-openrouter-117-qwen-qwen3-30b-a3b-thinking-2507
Qwen: Qwen3.6 Flash low_budget_512,openrouter/qwen/qwen3.6-flash,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-098-thinking-openrouter-qwen-qwen3-6-flash-low
MoonshotAI Kimi Latest,openrouter/~moonshotai/kimi-latest,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-064-registry-openrouter-161-moonshotai-kimi-latest
OpenAI GPT-5.4 xhigh,openai/gpt-5.4,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-010-openai-gpt-5-4-xhigh
Qwen: Qwen3 Next 80B A3B Thinking,openrouter/qwen/qwen3-next-80b-a3b-thinking,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-071-openrouter-116-qwen-qwen3-next-80b-a3b-thinking
Qwen: Qwen3.5 Plus 2026-04-20,openrouter/qwen/qwen3.5-plus-20260420,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-046-registry-openrouter-162-qwen-qwen3-5-plus-20260420
Google: Gemini 3.5 Flash medium,openrouter/google/gemini-3.5-flash,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-030-openrouter-google-gemini-3-5-flash-medium
Qwen: Qwen3.5 397B A17B,openrouter/qwen/qwen3.5-397b-a17b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-055-registry-openrouter-091-qwen-qwen3-5-397b-a17b
Qwen: Qwen3 VL 235B A22B Thinking,openrouter/qwen/qwen3-vl-235b-a22b-thinking,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-057-registry-openrouter-124-qwen-qwen3-vl-235b-a22b-thinking
OpenAI: gpt-oss-120b,openrouter/openai/gpt-oss-120b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-034-openrouter-048-openai-gpt-oss-120b
OpenAI GPT-OSS 20B,openrouter/openai/gpt-oss-20b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-paper-openrouter-gpt-oss-20b
OpenAI GPT-5 nano low,openai/gpt-5-nano,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-088-thinking-openai-gpt-5-nano-low
OpenAI GPT-5 nano medium,openai/gpt-5-nano,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-090-thinking-openai-gpt-5-nano-medium
Qwen: Qwen3 14B,openrouter/qwen/qwen3-14b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-039-openrouter-059-qwen-qwen3-14b
Xiaomi: MiMo-V2.5,openrouter/xiaomi/mimo-v2.5,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-016-registry-openrouter-163-xiaomi-mimo-v2-5
OpenAI GPT-5.4 mini medium,openai/gpt-5.4-mini,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-overline-004-openai-gpt-5-4-mini-medium
Qwen: Qwen3 30B A3B,openrouter/qwen/qwen3-30b-a3b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-061-openrouter-057-qwen-qwen3-30b-a3b
MiniMax: MiniMax M2,openrouter/minimax/minimax-m2,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-084-openrouter-040-minimax-minimax-m2
OpenAI GPT-5.4 medium,openai/gpt-5.4,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-008-openai-gpt-5-4-medium
OpenAI GPT-5.4 high,openai/gpt-5.4,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-009-openai-gpt-5-4-high
Z.ai: GLM 5 Turbo,openrouter/z-ai/glm-5-turbo,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-068-registry-openrouter-180-z-ai-glm-5-turbo
Z.ai: GLM 5,openrouter/z-ai/glm-5,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-097-openrouter-129-z-ai-glm-5
Z.ai: GLM 4.6,openrouter/z-ai/glm-4.6,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-093-openrouter-136-z-ai-glm-4-6
Qwen: Qwen3.5-27B,openrouter/qwen/qwen3.5-27b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-043-registry-openrouter-088-qwen-qwen3-5-27b
Z.ai: GLM 5V Turbo,openrouter/z-ai/glm-5v-turbo,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-069-registry-openrouter-184-z-ai-glm-5v-turbo
Prime Intellect: INTELLECT-3,openrouter/prime-intellect/intellect-3,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-087-openrouter-135-prime-intellect-intellect-3
Z.ai: GLM 4.5,openrouter/z-ai/glm-4.5,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-098-openrouter-146-z-ai-glm-4-5
Qwen: Qwen3.5-122B-A10B,openrouter/qwen/qwen3.5-122b-a10b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-050-registry-openrouter-089-qwen-qwen3-5-122b-a10b
DeepSeek: DeepSeek V4 Flash,openrouter/deepseek/deepseek-v4-flash,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-035-openrouter-027-deepseek-deepseek-v4-flash
OpenAI GPT-5.4 nano medium,openai/gpt-5.4-nano,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-overline-002-openai-gpt-5-4-nano-medium
NVIDIA Nemotron 3 Nano 30B A3B,openrouter/nvidia/nemotron-3-nano-30b-a3b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-paper-openrouter-nemotron-3-nano
NVIDIA: Llama 3.3 Nemotron Super 49B V1.5,openrouter/nvidia/llama-3.3-nemotron-super-49b-v1.5,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-overline-001-openrouter-nvidia-llama-3-3-nemotron-super-49b-v1-5
Google: Gemini 3.1 Flash Lite low,openrouter/google/gemini-3.1-flash-lite,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-035-openrouter-google-gemini-3-1-flash-lite-low
DeepSeek: DeepSeek V4 Pro,openrouter/deepseek/deepseek-v4-pro,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-079-openrouter-125-deepseek-deepseek-v4-pro
OpenAI GPT-5.4 mini high,openai/gpt-5.4-mini,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-overline-005-openai-gpt-5-4-mini-high
Qwen: Qwen3.5-Flash,openrouter/qwen/qwen3.5-flash-02-23,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-010-registry-openrouter-090-qwen-qwen3-5-flash-02-23
OpenAI GPT-5.4 low,openai/gpt-5.4,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-007-openai-gpt-5-4-low
Z.ai: GLM 4.7,openrouter/z-ai/glm-4.7,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-094-openrouter-131-z-ai-glm-4-7
Qwen: Qwen3.6 Flash,openrouter/qwen/qwen3.6-flash,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-036-registry-openrouter-081-qwen-qwen3-6-flash
Qwen: Qwen3.6 35B A3B low_budget_512,openrouter/qwen/qwen3.6-35b-a3b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-096-thinking-openrouter-qwen-qwen3-6-35b-a3b-low
Qwen: Qwen3 235B A22B,openrouter/qwen/qwen3-235b-a22b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-096-openrouter-061-qwen-qwen3-235b-a22b
Grok Build 0.1,grok/grok-build-0.1,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-058-registry-grok-build-0-1
Gemini 2.5 Flash-Lite low_budget_1024,google/gemini-2.5-flash-lite,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-089-thinking-gemini-gemini-2-5-flash-lite-low
MiniMax: MiniMax M2.1,openrouter/minimax/minimax-m2.1,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-082-openrouter-034-minimax-minimax-m2-1
OpenAI GPT-5.4 mini xhigh,openai/gpt-5.4-mini,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-overline-007-openai-gpt-5-4-mini-xhigh
Qwen: Qwen3.6 35B A3B,openrouter/qwen/qwen3.6-35b-a3b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-031-registry-openrouter-082-qwen-qwen3-6-35b-a3b
Grok 4.3,grok/grok-4.3,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-paper-grok-4-3
Google: Gemma 4 31B,openrouter/google/gemma-4-31b-it,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-017-registry-openrouter-165-google-gemma-4-31b-it
OpenAI GPT-4.1,openai/gpt-4.1,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-paper-openai-gpt-4-1
Qwen: Qwen3.5 Plus 2026-02-15,openrouter/qwen/qwen3.5-plus-02-15,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-044-registry-openrouter-168-qwen-qwen3-5-plus-02-15
Anthropic Claude Opus 4.7,anthropic/claude-opus-4-7,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-083-registry-anthropic-claude-opus-4-7
Anthropic Claude Opus 4.6,anthropic/claude-opus-4-6,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-082-registry-anthropic-claude-opus-4-6
Qwen: Qwen3.6 27B,openrouter/qwen/qwen3.6-27b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-059-registry-openrouter-083-qwen-qwen3-6-27b
Qwen: Qwen3 VL 8B Thinking,openrouter/qwen/qwen3-vl-8b-thinking,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-038-registry-openrouter-122-qwen-qwen3-vl-8b-thinking
Qwen: Qwen3 VL 30B A3B Thinking,openrouter/qwen/qwen3-vl-30b-a3b-thinking,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-041-registry-openrouter-123-qwen-qwen3-vl-30b-a3b-thinking
MoonshotAI: Kimi K2 0905,openrouter/moonshotai/kimi-k2-0905,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-100-openrouter-142-moonshotai-kimi-k2-0905
OpenAI GPT-4o,openai/gpt-4o,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-078-registry-openai-gpt-4o
Qwen: Qwen3 32B,openrouter/qwen/qwen3-32b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-041-openrouter-060-qwen-qwen3-32b
Gemini 2.5 Flash-Lite medium_budget_8192,google/gemini-2.5-flash-lite,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-097-thinking-gemini-gemini-2-5-flash-lite-medium
OpenAI GPT-5.5 no thinking,openai/gpt-5.5,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-086-registry-openai-gpt-5-5-none
Claude Opus 4.8 high,anthropic/claude-opus-4-8,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-013-anthropic-claude-opus-4-8-high
Claude Opus 4.8 low,anthropic/claude-opus-4-8,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-011-anthropic-claude-opus-4-8-low
Claude Opus 4.8 medium,anthropic/claude-opus-4-8,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-012-anthropic-claude-opus-4-8-medium
Claude Opus 4.8 xhigh,anthropic/claude-opus-4-8,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-014-anthropic-claude-opus-4-8-xhigh
Anthropic Claude Opus 4.8,anthropic/claude-opus-4-8,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-084-registry-anthropic-claude-opus-4-8
MiniMax: MiniMax M2.5,openrouter/minimax/minimax-m2.5,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-089-openrouter-031-minimax-minimax-m2-5
Qwen: Qwen3.5-35B-A3B,openrouter/qwen/qwen3.5-35b-a3b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-032-registry-openrouter-087-qwen-qwen3-5-35b-a3b
Xiaomi MiMo-V2-Flash,openrouter/xiaomi/mimo-v2-flash,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-paper-openrouter-xiaomi-mimo-v2-flash
Qwen: Qwen3 Coder Next,openrouter/qwen/qwen3-coder-next,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-075-openrouter-130-qwen-qwen3-coder-next
Claude Sonnet 4.6 low,anthropic/claude-sonnet-4-6,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-016-anthropic-claude-sonnet-4-6-low
OpenAI GPT-5.5 none,openai/gpt-5.5,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-001-openai-gpt-5-5-none
Claude Opus 4.8 max,anthropic/claude-opus-4-8,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-015-anthropic-claude-opus-4-8-max
Google: Gemma 4 26B A4B ,openrouter/google/gemma-4-26b-a4b-it,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-013-registry-openrouter-084-google-gemma-4-26b-a4b-it
OpenAI: GPT-5.4 Nano low,openrouter/openai/gpt-5.4-nano,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-100-thinking-openrouter-openai-gpt-5-4-nano-low
Google: Gemini 3.5 Flash minimal,openrouter/google/gemini-3.5-flash,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-028-openrouter-google-gemini-3-5-flash-minimal
OpenAI GPT-5.4 no thinking,openai/gpt-5.4,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-081-registry-openai-gpt-5-4-none
Claude Sonnet 4.6 medium,anthropic/claude-sonnet-4-6,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-017-anthropic-claude-sonnet-4-6-medium
OpenAI GPT-5 minimal,openai/gpt-5,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-077-registry-openai-gpt-5-minimal
Claude Sonnet 4.6 high,anthropic/claude-sonnet-4-6,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-018-anthropic-claude-sonnet-4-6-high
Anthropic Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-paper-anthropic-claude-sonnet-4-6
Z.ai: GLM 4.5V,openrouter/z-ai/glm-4.5v,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-053-registry-openrouter-173-z-ai-glm-4-5v
Z.ai: GLM 4.7 Flash,openrouter/z-ai/glm-4.7-flash,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-051-openrouter-033-z-ai-glm-4-7-flash
MiniMax: MiniMax M2.7,openrouter/minimax/minimax-m2.7,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-090-openrouter-028-minimax-minimax-m2-7
Z.ai: GLM 4.5 Air,openrouter/z-ai/glm-4.5-air,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-078-openrouter-147-z-ai-glm-4-5-air
OpenAI GPT-4.1 mini,openai/gpt-4.1-mini,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-paper-openai-gpt-4-1-mini
Nex AGI: DeepSeek V3.1 Nex N1,openrouter/nex-agi/deepseek-v3.1-nex-n1,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-062-openrouter-132-nex-agi-deepseek-v3-1-nex-n1
Qwen: Qwen3 235B A22B Instruct 2507,openrouter/qwen/qwen3-235b-a22b-2507,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-022-openrouter-053-qwen-qwen3-235b-a22b-2507
Mistral: Mistral Small 4,openrouter/mistralai/mistral-small-2603,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-025-registry-openrouter-085-mistralai-mistral-small-2603
Qwen3 Next 80B A3B Instruct,openrouter/qwen/qwen3-next-80b-a3b-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-paper-openrouter-qwen3-next
MoonshotAI: Kimi K2 0711,openrouter/moonshotai/kimi-k2,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-099-openrouter-149-moonshotai-kimi-k2
Nous: Hermes 4 405B,openrouter/nousresearch/hermes-4-405b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-062-registry-openrouter-144-nousresearch-hermes-4-405b
Anthropic Claude Haiku 4.5,anthropic/claude-haiku-4-5,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-paper-anthropic-claude-haiku-4-5
AI21: Jamba Large 1.7,openrouter/ai21/jamba-large-1.7,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-076-registry-openrouter-181-ai21-jamba-large-1-7
Baidu: ERNIE 4.5 VL 424B A47B ,openrouter/baidu/ernie-4.5-vl-424b-a47b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-040-registry-openrouter-103-baidu-ernie-4-5-vl-424b-a47b
Claude Sonnet 4.6 max,anthropic/claude-sonnet-4-6,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-019-anthropic-claude-sonnet-4-6-max
Gemini 2.5 Flash-Lite,google/gemini-2.5-flash-lite,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-paper-gemini-2-5-flash-lite
Qwen: Qwen-Plus,openrouter/qwen/qwen-plus,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-072-openrouter-152-qwen-qwen-plus
Mistral: Devstral 2 2512,openrouter/mistralai/devstral-2512,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-051-registry-openrouter-092-mistralai-devstral-2512
OpenAI GPT-5.4 nano low,openai/gpt-5.4-nano,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-099-thinking-openai-gpt-5-4-nano-low
OpenAI GPT-5 mini minimal,openai/gpt-5-mini,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-092-thinking-openai-gpt-5-mini-minimal
Nous: Hermes 3 405B Instruct,openrouter/nousresearch/hermes-3-llama-3.1-405b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-086-openrouter-157-nousresearch-hermes-3-llama-3-1-405b
MiniMax: MiniMax-01,openrouter/minimax/minimax-01,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-035-registry-openrouter-113-minimax-minimax-01
OpenAI GPT-5.2 no thinking,openai/gpt-5.2,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-080-registry-openai-gpt-5-2-none
Qwen: Qwen3 8B,openrouter/qwen/qwen3-8b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-050-openrouter-058-qwen-qwen3-8b
OpenAI GPT-5.4 none,openai/gpt-5.4,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-006-openai-gpt-5-4-none
Mistral: Mistral Large 3 2512,openrouter/mistralai/mistral-large-2512,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-045-registry-openrouter-171-mistralai-mistral-large-2512
Gemini 3.1 Flash-Lite minimal_budget_1024,google/gemini-3.1-flash-lite,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-093-thinking-gemini-gemini-3-1-flash-lite-minimal
Google: Gemma 3 12B,openrouter/google/gemma-3-12b-it,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-002-registry-openrouter-110-google-gemma-3-12b-it
Meta: Llama 3.3 70B Instruct,openrouter/meta-llama/llama-3.3-70b-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-046-openrouter-154-meta-llama-llama-3-3-70b-instruct
OpenAI GPT-5 nano minimal,openai/gpt-5-nano,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-paper-openai-gpt-5-nano-minimal
Qwen: Qwen3 VL 235B A22B Instruct,openrouter/qwen/qwen3-vl-235b-a22b-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-030-registry-openrouter-100-qwen-qwen3-vl-235b-a22b-instruct
Google: Gemini 3.1 Flash Lite minimal,openrouter/google/gemini-3.1-flash-lite,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-034-openrouter-google-gemini-3-1-flash-lite-minimal
Google: Gemini 3.1 Flash Lite minimal,openrouter/google/gemini-3.1-flash-lite,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-094-thinking-openrouter-google-gemini-3-1-flash-lite-minimal
Google: Gemini 3.1 Flash Lite Preview minimal,openrouter/google/gemini-3.1-flash-lite-preview,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-095-thinking-openrouter-google-gemini-3-1-flash-lite-preview-minimal
Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-042-registry-gemini-3-1-flash-lite
