label,model,summary_dir
DeepSeek: DeepSeek V4 Flash,openrouter/deepseek/deepseek-v4-flash,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-035-openrouter-027-deepseek-deepseek-v4-flash
Meta: Llama 3.2 1B Instruct,openrouter/meta-llama/llama-3.2-1b-instruct,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-037-openrouter-155-meta-llama-llama-3-2-1b-instruct
Tencent: Hy3 preview,openrouter/tencent/hy3-preview,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-038-openrouter-126-tencent-hy3-preview
Qwen: Qwen3 14B,openrouter/qwen/qwen3-14b,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-039-openrouter-059-qwen-qwen3-14b
Qwen: Qwen3 Coder 30B A3B Instruct,openrouter/qwen/qwen3-coder-30b-a3b-instruct,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-040-openrouter-050-qwen-qwen3-coder-30b-a3b-instruct
Qwen: Qwen3 32B,openrouter/qwen/qwen3-32b,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-041-openrouter-060-qwen-qwen3-32b
DeepSeek: R1 Distill Qwen 32B,openrouter/deepseek/deepseek-r1-distill-qwen-32b,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-042-openrouter-120-deepseek-deepseek-r1-distill-qwen-32b
OpenAI: gpt-oss-safeguard-20b,openrouter/openai/gpt-oss-safeguard-20b,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-043-openrouter-039-openai-gpt-oss-safeguard-20b
StepFun: Step 3.5 Flash,openrouter/stepfun/step-3.5-flash,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-044-openrouter-032-stepfun-step-3-5-flash
Nous: Hermes 3 70B Instruct,openrouter/nousresearch/hermes-3-llama-3.1-70b,results/summaries/paper-v1-scaled-100-10k-repair2-20260602/scaled-045-openrouter-156-nousresearch-hermes-3-llama-3-1-70b
Meta: Llama 3.3 70B Instruct,openrouter/meta-llama/llama-3.3-70b-instruct,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-046-openrouter-154-meta-llama-llama-3-3-70b-instruct
Meta: Llama 3.2 3B Instruct,openrouter/meta-llama/llama-3.2-3b-instruct,results/summaries/paper-v1-scaled-100-10k-repair2-20260602/scaled-047-openrouter-071-meta-llama-llama-3-2-3b-instruct
DeepSeek: DeepSeek V3.2,openrouter/deepseek/deepseek-v3.2,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-048-openrouter-134-deepseek-deepseek-v3-2
Microsoft: Phi 4 Mini Instruct,openrouter/microsoft/phi-4-mini-instruct,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-049-openrouter-042-microsoft-phi-4-mini-instruct
Qwen: Qwen3 8B,openrouter/qwen/qwen3-8b,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-050-openrouter-058-qwen-qwen3-8b
Z.ai: GLM 4.7 Flash,openrouter/z-ai/glm-4.7-flash,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-051-openrouter-033-z-ai-glm-4-7-flash
Qwen: Qwen3 30B A3B Thinking 2507,openrouter/qwen/qwen3-30b-a3b-thinking-2507,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-052-openrouter-117-qwen-qwen3-30b-a3b-thinking-2507
NVIDIA: Llama 3.3 Nemotron Super 49B V1.5,openrouter/nvidia/llama-3.3-nemotron-super-49b-v1.5,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-053-openrouter-043-nvidia-llama-3-3-nemotron-super-49b-v1-5
Nous: Hermes 4 70B,openrouter/nousresearch/hermes-4-70b,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-054-openrouter-143-nousresearch-hermes-4-70b
Qwen2.5 72B Instruct,openrouter/qwen/qwen-2.5-72b-instruct,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-055-openrouter-072-qwen-qwen-2-5-72b-instruct
TheDrummer: UnslopNemo 12B,openrouter/thedrummer/unslopnemo-12b,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-056-openrouter-068-thedrummer-unslopnemo-12b
Meta: Llama 3.1 70B Instruct,openrouter/meta-llama/llama-3.1-70b-instruct,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-057-openrouter-158-meta-llama-llama-3-1-70b-instruct
DeepSeek: DeepSeek V3.2 Exp,openrouter/deepseek/deepseek-v3.2-exp,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-058-openrouter-137-deepseek-deepseek-v3-2-exp
TheDrummer: Rocinante 12B,openrouter/thedrummer/rocinante-12b,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-059-openrouter-070-thedrummer-rocinante-12b
NVIDIA: Nemotron 3 Super,openrouter/nvidia/nemotron-3-super-120b-a12b,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-060-openrouter-029-nvidia-nemotron-3-super-120b-a12b
Qwen: Qwen3 30B A3B,openrouter/qwen/qwen3-30b-a3b,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-061-openrouter-057-qwen-qwen3-30b-a3b
Nex AGI: DeepSeek V3.1 Nex N1,openrouter/nex-agi/deepseek-v3.1-nex-n1,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-062-openrouter-132-nex-agi-deepseek-v3-1-nex-n1
AllenAI: Olmo 3 32B Think,openrouter/allenai/olmo-3-32b-think,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-063-openrouter-038-allenai-olmo-3-32b-think
TheDrummer: Cydonia 24B V4.1,openrouter/thedrummer/cydonia-24b-v4.1,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-064-openrouter-044-thedrummer-cydonia-24b-v4-1
Tencent: Hunyuan A13B Instruct,openrouter/tencent/hunyuan-a13b-instruct,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-065-openrouter-054-tencent-hunyuan-a13b-instruct
WizardLM-2 8x22B,openrouter/microsoft/wizardlm-2-8x22b,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-066-openrouter-077-microsoft-wizardlm-2-8x22b
ReMM SLERP 13B,openrouter/undi95/remm-slerp-l2-13b,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-067-openrouter-078-undi95-remm-slerp-l2-13b
Google: Gemma 2 27B,openrouter/google/gemma-2-27b-it,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-068-openrouter-074-google-gemma-2-27b-it
Meta: Llama 3 70B Instruct,openrouter/meta-llama/llama-3-70b-instruct,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-069-openrouter-160-meta-llama-llama-3-70b-instruct
DeepSeek: DeepSeek V3 0324,openrouter/deepseek/deepseek-chat-v3-0324,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-070-openrouter-150-deepseek-deepseek-chat-v3-0324
Qwen: Qwen3 Next 80B A3B Thinking,openrouter/qwen/qwen3-next-80b-a3b-thinking,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-071-openrouter-116-qwen-qwen3-next-80b-a3b-thinking
Qwen: Qwen-Plus,openrouter/qwen/qwen-plus,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-072-openrouter-152-qwen-qwen-plus
Qwen: Qwen Plus 0728,openrouter/qwen/qwen-plus-2025-07-28,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-073-openrouter-141-qwen-qwen-plus-2025-07-28
DeepSeek: DeepSeek V3.1,openrouter/deepseek/deepseek-chat-v3.1,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-074-openrouter-145-deepseek-deepseek-chat-v3-1
Qwen: Qwen3 Coder Next,openrouter/qwen/qwen3-coder-next,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-075-openrouter-130-qwen-qwen3-coder-next
TheDrummer: Skyfall 36B V2,openrouter/thedrummer/skyfall-36b-v2,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-076-openrouter-151-thedrummer-skyfall-36b-v2
DeepSeek: DeepSeek V3,openrouter/deepseek/deepseek-chat,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-077-openrouter-153-deepseek-deepseek-chat
Z.ai: GLM 4.5 Air,openrouter/z-ai/glm-4.5-air,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-078-openrouter-147-z-ai-glm-4-5-air
DeepSeek: DeepSeek V4 Pro,openrouter/deepseek/deepseek-v4-pro,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-079-openrouter-125-deepseek-deepseek-v4-pro
Xiaomi: MiMo-V2.5-Pro,openrouter/xiaomi/mimo-v2.5-pro,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-080-openrouter-127-xiaomi-mimo-v2-5-pro
DeepSeek: DeepSeek V3.1 Terminus,openrouter/deepseek/deepseek-v3.1-terminus,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-081-openrouter-140-deepseek-deepseek-v3-1-terminus
MiniMax: MiniMax M2.1,openrouter/minimax/minimax-m2.1,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-082-openrouter-034-minimax-minimax-m2-1
Qwen: Qwen3 Coder Flash,openrouter/qwen/qwen3-coder-flash,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-083-openrouter-045-qwen-qwen3-coder-flash
MiniMax: MiniMax M2,openrouter/minimax/minimax-m2,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-084-openrouter-040-minimax-minimax-m2
Qwen2.5 Coder 32B Instruct,openrouter/qwen/qwen-2.5-coder-32b-instruct,results/summaries/paper-v1-scaled-100-10k-repair2-20260602/scaled-085-openrouter-067-qwen-qwen-2-5-coder-32b-instruct
Nous: Hermes 3 405B Instruct,openrouter/nousresearch/hermes-3-llama-3.1-405b,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-086-openrouter-157-nousresearch-hermes-3-llama-3-1-405b
Prime Intellect: INTELLECT-3,openrouter/prime-intellect/intellect-3,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-087-openrouter-135-prime-intellect-intellect-3
Baidu: ERNIE 4.5 300B A47B ,openrouter/baidu/ernie-4.5-300b-a47b,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-088-openrouter-055-baidu-ernie-4-5-300b-a47b
MiniMax: MiniMax M2.5,openrouter/minimax/minimax-m2.5,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-089-openrouter-031-minimax-minimax-m2-5
MiniMax: MiniMax M2.7,openrouter/minimax/minimax-m2.7,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-090-openrouter-028-minimax-minimax-m2-7
AionLabs: Aion-1.0-Mini,openrouter/aion-labs/aion-1.0-mini,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-091-openrouter-119-aion-labs-aion-1-0-mini
AionLabs: Aion-RP 1.0 (8B),openrouter/aion-labs/aion-rp-llama-3.1-8b,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-092-openrouter-064-aion-labs-aion-rp-llama-3-1-8b
Z.ai: GLM 4.6,openrouter/z-ai/glm-4.6,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-093-openrouter-136-z-ai-glm-4-6
Z.ai: GLM 4.7,openrouter/z-ai/glm-4.7,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-094-openrouter-131-z-ai-glm-4-7
Qwen: Qwen3 Coder 480B A35B,openrouter/qwen/qwen3-coder,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-095-openrouter-148-qwen-qwen3-coder
Qwen: Qwen3 235B A22B,openrouter/qwen/qwen3-235b-a22b,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-096-openrouter-061-qwen-qwen3-235b-a22b
Z.ai: GLM 5,openrouter/z-ai/glm-5,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-097-openrouter-129-z-ai-glm-5
Z.ai: GLM 4.5,openrouter/z-ai/glm-4.5,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-098-openrouter-146-z-ai-glm-4-5
MoonshotAI: Kimi K2 0711,openrouter/moonshotai/kimi-k2,results/summaries/paper-v1-scaled-100-10k-repair2-20260602/scaled-099-openrouter-149-moonshotai-kimi-k2
MoonshotAI: Kimi K2 0905,openrouter/moonshotai/kimi-k2-0905,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-100-openrouter-142-moonshotai-kimi-k2-0905
