item_id,family,subfamily,target,answer_type,scorer
obviousbench.negation.en.v0.public.000032,negation,without_constraint,paper,string,exact_string_trim_v0
obviousbench.constraint.en.v0.public.000032,constraint_awareness,object_must_be_present,B,multiple_choice,multiple_choice_letter_v0
obviousbench.char_count.en.v0.public.000054,character_count,single_letter_count,1,integer,exact_integer_extract_first_v0
obviousbench.spell.en.v0.public.000028,spelling_transform,remove_letter,rliability,string,exact_string_trim_v0
obviousbench.arith.en.v0.public.000028,arithmetic,unit_conversion_and_small_calc,60,integer,exact_integer_extract_first_v0
obviousbench.word_count.en.v0.public.000036,word_count,comma_list_count,4,integer,word_count_v0
obviousbench.ordering.en.v0.public.000012,ordering,alphabetical_sort,"cap, car, cat",list,normalized_list_v0
obviousbench.format.en.v0.public.000028,format_compliance,json_field,3,json,json_exact_field_v0
obviousbench.negation.en.v0.public.000018,negation,not_choice,C,multiple_choice,multiple_choice_letter_v0
obviousbench.constraint.en.v0.public.000028,constraint_awareness,object_must_be_present,B,multiple_choice,multiple_choice_letter_v0
obviousbench.char_count.en.v0.public.000008,character_count,single_letter_count,3,integer,exact_integer_extract_first_v0
obviousbench.spell.en.v0.public.000017,spelling_transform,remove_letter,orang,string,exact_string_trim_v0
obviousbench.arith.en.v0.public.000027,arithmetic,unit_conversion_and_small_calc,0.75,decimal,exact_string_trim_v0
obviousbench.word_count.en.v0.public.000042,word_count,comma_list_count,4,integer,word_count_v0
obviousbench.ordering.en.v0.public.000055,ordering,alphabetical_sort,"beige, black, blue, brown",list,normalized_list_v0
obviousbench.format.en.v0.public.000020,format_compliance,json_field,3,json,json_exact_field_v0
obviousbench.negation.en.v0.public.000020,negation,not_choice,C,multiple_choice,multiple_choice_letter_v0
obviousbench.constraint.en.v0.public.000025,constraint_awareness,object_must_be_present,B,multiple_choice,multiple_choice_letter_v0
obviousbench.char_count.en.v0.public.000038,character_count,single_letter_count,2,integer,exact_integer_extract_first_v0
obviousbench.spell.en.v0.public.000025,spelling_transform,remove_letter,bookkpr,string,exact_string_trim_v0
obviousbench.arith.en.v0.public.000026,arithmetic,unit_conversion_and_small_calc,126,integer,exact_integer_extract_first_v0
obviousbench.word_count.en.v0.public.000027,word_count,comma_list_count,4,integer,word_count_v0
obviousbench.ordering.en.v0.public.000025,ordering,alphabetical_sort,"blue, green, red",list,normalized_list_v0
obviousbench.format.en.v0.public.000008,format_compliance,json_field,3,json,json_exact_field_v0
obviousbench.negation.en.v0.public.000019,negation,not_choice,C,multiple_choice,multiple_choice_letter_v0
obviousbench.constraint.en.v0.public.000033,constraint_awareness,object_must_be_present,B,multiple_choice,multiple_choice_letter_v0
obviousbench.char_count.en.v0.public.000062,character_count,single_letter_count,1,integer,exact_integer_extract_first_v0
obviousbench.spell.en.v0.public.000014,spelling_transform,remove_letter,plant,string,exact_string_trim_v0
obviousbench.arith.en.v0.public.000007,arithmetic,small_integer_arithmetic,22,integer,exact_integer_extract_first_v0
obviousbench.word_count.en.v0.public.000024,word_count,comma_list_count,4,integer,word_count_v0
obviousbench.ordering.en.v0.public.000045,ordering,alphabetical_sort,"blue, green, red",list,normalized_list_v0
obviousbench.format.en.v0.public.000030,format_compliance,json_field,3,json,json_exact_field_v0
obviousbench.negation.en.v0.public.000012,negation,not_choice,C,multiple_choice,multiple_choice_letter_v0
obviousbench.constraint.en.v0.public.000021,constraint_awareness,object_must_be_present,B,multiple_choice,multiple_choice_letter_v0
obviousbench.char_count.en.v0.public.000057,character_count,single_letter_count,2,integer,exact_integer_extract_first_v0
obviousbench.spell.en.v0.public.000015,spelling_transform,replace_letter,pl@net,string,exact_string_trim_v0
obviousbench.arith.en.v0.public.000020,arithmetic,small_integer_arithmetic,47,integer,exact_integer_extract_first_v0
obviousbench.word_count.en.v0.public.000052,word_count,comma_list_count,5,integer,word_count_v0
obviousbench.ordering.en.v0.public.000036,ordering,alphabetical_sort,"apple, banana, pear",list,normalized_list_v0
obviousbench.format.en.v0.public.000026,format_compliance,json_field,3,json,json_exact_field_v0
obviousbench.negation.en.v0.public.000016,negation,not_choice,C,multiple_choice,multiple_choice_letter_v0
obviousbench.constraint.en.v0.public.000008,constraint_awareness,object_must_be_present,B,multiple_choice,multiple_choice_letter_v0
