item_id,family,subfamily,scorer,response_count,correct_count,accuracy,median_seconds,confusion_note_count,status,reason
obviousbench.negation.en.v0.public.000018,negation,not_choice,multiple_choice_letter_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.constraint.en.v0.public.000028,constraint_awareness,object_must_be_present,multiple_choice_letter_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.char_count.en.v0.public.000008,character_count,single_letter_count,exact_integer_extract_first_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.spell.en.v0.public.000017,spelling_transform,remove_letter,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.arith.en.v0.public.000027,arithmetic,unit_conversion_and_small_calc,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.word_count.en.v0.public.000042,word_count,comma_list_count,word_count_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.ordering.en.v0.public.000055,ordering,alphabetical_sort,normalized_list_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.format.en.v0.public.000020,format_compliance,json_field,json_exact_field_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.negation.en.v0.public.000020,negation,not_choice,multiple_choice_letter_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.constraint.en.v0.public.000025,constraint_awareness,object_must_be_present,multiple_choice_letter_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.char_count.en.v0.public.000038,character_count,single_letter_count,exact_integer_extract_first_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.spell.en.v0.public.000025,spelling_transform,remove_letter,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.arith.en.v0.public.000026,arithmetic,unit_conversion_and_small_calc,exact_integer_extract_first_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.word_count.en.v0.public.000027,word_count,comma_list_count,word_count_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.ordering.en.v0.public.000025,ordering,alphabetical_sort,normalized_list_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.format.en.v0.public.000008,format_compliance,json_field,json_exact_field_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.negation.en.v0.public.000019,negation,not_choice,multiple_choice_letter_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.constraint.en.v0.public.000033,constraint_awareness,object_must_be_present,multiple_choice_letter_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.char_count.en.v0.public.000062,character_count,single_letter_count,exact_integer_extract_first_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.spell.en.v0.public.000014,spelling_transform,remove_letter,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.arith.en.v0.public.000007,arithmetic,small_integer_arithmetic,exact_integer_extract_first_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.word_count.en.v0.public.000024,word_count,comma_list_count,word_count_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.ordering.en.v0.public.000045,ordering,alphabetical_sort,normalized_list_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.format.en.v0.public.000030,format_compliance,json_field,json_exact_field_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.negation.en.v0.public.000012,negation,not_choice,multiple_choice_letter_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.constraint.en.v0.public.000021,constraint_awareness,object_must_be_present,multiple_choice_letter_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.char_count.en.v0.public.000057,character_count,single_letter_count,exact_integer_extract_first_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.spell.en.v0.public.000015,spelling_transform,replace_letter,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.arith.en.v0.public.000020,arithmetic,small_integer_arithmetic,exact_integer_extract_first_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.word_count.en.v0.public.000052,word_count,comma_list_count,word_count_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.ordering.en.v0.public.000036,ordering,alphabetical_sort,normalized_list_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.format.en.v0.public.000026,format_compliance,json_field,json_exact_field_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.negation.en.v0.public.000016,negation,not_choice,multiple_choice_letter_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.constraint.en.v0.public.000008,constraint_awareness,object_must_be_present,multiple_choice_letter_v0,0,0,,,0,no_data,No scored human response rows are available.
