item_id,participant_id,answer,seconds,correct,notes,scorer,target,extracted,failure_type,format_correct,strict_correct
obviousbench.constraint.en.v0.public.000032,p02,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.arith.en.v0.public.000007,p02,,,,,exact_integer_extract_first_v0,22,,,,
obviousbench.negation.en.v0.public.000018,p02,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.arith.en.v0.public.000025,p02,,,,,exact_integer_extract_first_v0,210,,,,
obviousbench.negation.en.v0.public.000033,p02,,,,,exact_string_trim_v0,circle,,,,
obviousbench.spell.en.v0.public.000008,p02,,,,,exact_string_trim_v0,sntnc,,,,
obviousbench.word_count.en.v0.public.000015,p02,,,,,word_count_v0,4,,,,
obviousbench.negation.en.v0.public.000035,p02,,,,,exact_string_trim_v0,9,,,,
obviousbench.ordering.en.v0.public.000045,p02,,,,,normalized_list_v0,"blue, green, red",,,,
obviousbench.spell.en.v0.public.000002,p02,,,,,exact_string_trim_v0,strawbrry,,,,
obviousbench.ordering.en.v0.public.000049,p02,,,,,normalized_list_v0,"1, 2, 12, 21",,,,
obviousbench.ordering.en.v0.public.000046,p02,,,,,normalized_list_v0,"1, 2, 7, 10",,,,
obviousbench.format.en.v0.public.000020,p02,,,,,json_exact_field_v0,3,,,,
obviousbench.ordering.en.v0.public.000055,p02,,,,,normalized_list_v0,"beige, black, blue, brown",,,,
obviousbench.spell.en.v0.public.000015,p02,,,,,exact_string_trim_v0,pl@net,,,,
obviousbench.constraint.en.v0.public.000021,p02,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.arith.en.v0.public.000023,p02,,,,,exact_string_trim_v0,3.5,,,,
obviousbench.word_count.en.v0.public.000052,p02,,,,,word_count_v0,5,,,,
obviousbench.format.en.v0.public.000030,p02,,,,,json_exact_field_v0,3,,,,
obviousbench.spell.en.v0.public.000028,p02,,,,,exact_string_trim_v0,rliability,,,,
obviousbench.char_count.en.v0.public.000062,p02,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.arith.en.v0.public.000028,p02,,,,,exact_integer_extract_first_v0,60,,,,
obviousbench.char_count.en.v0.public.000038,p02,,,,,exact_integer_extract_first_v0,2,,,,
obviousbench.ordering.en.v0.public.000048,p02,,,,,normalized_list_v0,"-3, -1, 0, 4",,,,
obviousbench.ordering.en.v0.public.000012,p02,,,,,normalized_list_v0,"cap, car, cat",,,,
obviousbench.negation.en.v0.public.000032,p02,,,,,exact_string_trim_v0,paper,,,,
obviousbench.word_count.en.v0.public.000042,p02,,,,,word_count_v0,4,,,,
obviousbench.char_count.en.v0.public.000040,p02,,,,,exact_integer_extract_first_v0,3,,,,
obviousbench.spell.en.v0.public.000020,p02,,,,,exact_string_trim_v0,committ,,,,
obviousbench.arith.en.v0.public.000026,p02,,,,,exact_integer_extract_first_v0,126,,,,
obviousbench.char_count.en.v0.public.000029,p02,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.negation.en.v0.public.000031,p02,,,,,exact_string_trim_v0,plum,,,,
obviousbench.arith.en.v0.public.000027,p02,,,,,exact_string_trim_v0,0.75,,,,
obviousbench.char_count.en.v0.public.000017,p02,,,,,exact_integer_extract_first_v0,3,,,,
obviousbench.spell.en.v0.public.000025,p02,,,,,exact_string_trim_v0,bookkpr,,,,
obviousbench.negation.en.v0.public.000034,p02,,,,,exact_string_trim_v0,July,,,,
obviousbench.word_count.en.v0.public.000070,p02,,,,,word_count_v0,4,,,,
obviousbench.spell.en.v0.public.000017,p02,,,,,exact_string_trim_v0,orang,,,,
obviousbench.spell.en.v0.public.000014,p02,,,,,exact_string_trim_v0,plant,,,,
obviousbench.ordering.en.v0.public.000050,p02,,,,,normalized_list_v0,"5.05, 5.15, 5.5",,,,
obviousbench.format.en.v0.public.000046,p02,,,,,json_exact_field_v0,blue,,,,
obviousbench.negation.en.v0.public.000012,p02,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.char_count.en.v0.public.000054,p02,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.spell.en.v0.public.000005,p02,,,,,exact_string_trim_v0,ncssary,,,,
obviousbench.format.en.v0.public.000026,p02,,,,,json_exact_field_v0,3,,,,
obviousbench.spell.en.v0.public.000022,p02,,,,,exact_string_trim_v0,paralll,,,,
obviousbench.constraint.en.v0.public.000028,p02,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.negation.en.v0.public.000019,p02,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.char_count.en.v0.public.000046,p02,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.format.en.v0.public.000028,p02,,,,,json_exact_field_v0,3,,,,
obviousbench.constraint.en.v0.public.000040,p02,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.word_count.en.v0.public.000027,p02,,,,,word_count_v0,4,,,,
obviousbench.arith.en.v0.public.000024,p02,,,,,exact_string_trim_v0,4.827,,,,
obviousbench.constraint.en.v0.public.000036,p02,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.arith.en.v0.public.000020,p02,,,,,exact_integer_extract_first_v0,47,,,,
obviousbench.ordering.en.v0.public.000025,p02,,,,,normalized_list_v0,"blue, green, red",,,,
obviousbench.char_count.en.v0.public.000057,p02,,,,,exact_integer_extract_first_v0,2,,,,
obviousbench.word_count.en.v0.public.000045,p02,,,,,word_count_v0,4,,,,
obviousbench.ordering.en.v0.public.000036,p02,,,,,normalized_list_v0,"apple, banana, pear",,,,
obviousbench.word_count.en.v0.public.000036,p02,,,,,word_count_v0,4,,,,
obviousbench.word_count.en.v0.public.000051,p02,,,,,word_count_v0,4,,,,
obviousbench.constraint.en.v0.public.000025,p02,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.word_count.en.v0.public.000024,p02,,,,,word_count_v0,4,,,,
obviousbench.format.en.v0.public.000049,p02,,,,,json_exact_field_v0,north,,,,
obviousbench.negation.en.v0.public.000016,p02,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.char_count.en.v0.public.000008,p02,,,,,exact_integer_extract_first_v0,3,,,,
obviousbench.constraint.en.v0.public.000038,p02,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.negation.en.v0.public.000020,p02,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.char_count.en.v0.public.000030,p03,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.negation.en.v0.public.000016,p03,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.ordering.en.v0.public.000055,p03,,,,,normalized_list_v0,"beige, black, blue, brown",,,,
obviousbench.spell.en.v0.public.000028,p03,,,,,exact_string_trim_v0,rliability,,,,
obviousbench.negation.en.v0.public.000020,p03,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.spell.en.v0.public.000025,p03,,,,,exact_string_trim_v0,bookkpr,,,,
obviousbench.word_count.en.v0.public.000036,p03,,,,,word_count_v0,4,,,,
obviousbench.format.en.v0.public.000048,p03,,,,,json_exact_field_v0,cat,,,,
obviousbench.char_count.en.v0.public.000029,p03,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.format.en.v0.public.000047,p03,,,,,json_exact_field_v0,17,,,,
obviousbench.char_count.en.v0.public.000040,p03,,,,,exact_integer_extract_first_v0,3,,,,
obviousbench.format.en.v0.public.000046,p03,,,,,json_exact_field_v0,blue,,,,
obviousbench.char_count.en.v0.public.000008,p03,,,,,exact_integer_extract_first_v0,3,,,,
obviousbench.spell.en.v0.public.000005,p03,,,,,exact_string_trim_v0,ncssary,,,,
obviousbench.arith.en.v0.public.000023,p03,,,,,exact_string_trim_v0,3.5,,,,
obviousbench.ordering.en.v0.public.000047,p03,,,,,normalized_list_v0,"3.01, 3.1, 3.2",,,,
obviousbench.ordering.en.v0.public.000012,p03,,,,,normalized_list_v0,"cap, car, cat",,,,
obviousbench.ordering.en.v0.public.000045,p03,,,,,normalized_list_v0,"blue, green, red",,,,
obviousbench.word_count.en.v0.public.000045,p03,,,,,word_count_v0,4,,,,
obviousbench.negation.en.v0.public.000012,p03,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.ordering.en.v0.public.000025,p03,,,,,normalized_list_v0,"blue, green, red",,,,
obviousbench.arith.en.v0.public.000028,p03,,,,,exact_integer_extract_first_v0,60,,,,
obviousbench.constraint.en.v0.public.000038,p03,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.constraint.en.v0.public.000040,p03,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.arith.en.v0.public.000022,p03,,,,,exact_string_trim_v0,7.2,,,,
obviousbench.negation.en.v0.public.000035,p03,,,,,exact_string_trim_v0,9,,,,
obviousbench.arith.en.v0.public.000020,p03,,,,,exact_integer_extract_first_v0,47,,,,
obviousbench.constraint.en.v0.public.000028,p03,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.word_count.en.v0.public.000027,p03,,,,,word_count_v0,4,,,,
obviousbench.word_count.en.v0.public.000033,p03,,,,,word_count_v0,4,,,,
obviousbench.ordering.en.v0.public.000050,p03,,,,,normalized_list_v0,"5.05, 5.15, 5.5",,,,
obviousbench.char_count.en.v0.public.000038,p03,,,,,exact_integer_extract_first_v0,2,,,,
obviousbench.char_count.en.v0.public.000062,p03,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.spell.en.v0.public.000014,p03,,,,,exact_string_trim_v0,plant,,,,
obviousbench.char_count.en.v0.public.000046,p03,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.constraint.en.v0.public.000021,p03,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.word_count.en.v0.public.000042,p03,,,,,word_count_v0,4,,,,
obviousbench.word_count.en.v0.public.000052,p03,,,,,word_count_v0,5,,,,
obviousbench.constraint.en.v0.public.000008,p03,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.format.en.v0.public.000049,p03,,,,,json_exact_field_v0,north,,,,
obviousbench.constraint.en.v0.public.000025,p03,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.negation.en.v0.public.000018,p03,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.arith.en.v0.public.000021,p03,,,,,exact_string_trim_v0,9.9,,,,
obviousbench.spell.en.v0.public.000017,p03,,,,,exact_string_trim_v0,orang,,,,
obviousbench.negation.en.v0.public.000031,p03,,,,,exact_string_trim_v0,plum,,,,
obviousbench.word_count.en.v0.public.000051,p03,,,,,word_count_v0,4,,,,
obviousbench.arith.en.v0.public.000007,p03,,,,,exact_integer_extract_first_v0,22,,,,
obviousbench.word_count.en.v0.public.000070,p03,,,,,word_count_v0,4,,,,
obviousbench.format.en.v0.public.000026,p03,,,,,json_exact_field_v0,3,,,,
obviousbench.format.en.v0.public.000050,p03,,,,,json_exact_field_v0,true,,,,
obviousbench.constraint.en.v0.public.000036,p03,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.spell.en.v0.public.000015,p03,,,,,exact_string_trim_v0,pl@net,,,,
obviousbench.negation.en.v0.public.000032,p03,,,,,exact_string_trim_v0,paper,,,,
obviousbench.spell.en.v0.public.000008,p03,,,,,exact_string_trim_v0,sntnc,,,,
obviousbench.arith.en.v0.public.000025,p03,,,,,exact_integer_extract_first_v0,210,,,,
obviousbench.format.en.v0.public.000020,p03,,,,,json_exact_field_v0,3,,,,
obviousbench.negation.en.v0.public.000019,p03,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.spell.en.v0.public.000022,p03,,,,,exact_string_trim_v0,paralll,,,,
obviousbench.format.en.v0.public.000030,p03,,,,,json_exact_field_v0,3,,,,
obviousbench.constraint.en.v0.public.000003,p03,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.ordering.en.v0.public.000046,p03,,,,,normalized_list_v0,"1, 2, 7, 10",,,,
obviousbench.char_count.en.v0.public.000057,p03,,,,,exact_integer_extract_first_v0,2,,,,
obviousbench.negation.en.v0.public.000033,p03,,,,,exact_string_trim_v0,circle,,,,
obviousbench.word_count.en.v0.public.000024,p03,,,,,word_count_v0,4,,,,
obviousbench.char_count.en.v0.public.000017,p03,,,,,exact_integer_extract_first_v0,3,,,,
obviousbench.arith.en.v0.public.000026,p03,,,,,exact_integer_extract_first_v0,126,,,,
obviousbench.negation.en.v0.public.000034,p03,,,,,exact_string_trim_v0,July,,,,
obviousbench.format.en.v0.public.000028,p03,,,,,json_exact_field_v0,3,,,,
obviousbench.arith.en.v0.public.000027,p03,,,,,exact_string_trim_v0,0.75,,,,
obviousbench.ordering.en.v0.public.000049,p03,,,,,normalized_list_v0,"1, 2, 12, 21",,,,
obviousbench.spell.en.v0.public.000020,p03,,,,,exact_string_trim_v0,committ,,,,
obviousbench.arith.en.v0.public.000024,p03,,,,,exact_string_trim_v0,4.827,,,,
obviousbench.ordering.en.v0.public.000036,p03,,,,,normalized_list_v0,"apple, banana, pear",,,,
obviousbench.constraint.en.v0.public.000033,p03,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.constraint.en.v0.public.000032,p03,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.spell.en.v0.public.000002,p03,,,,,exact_string_trim_v0,strawbrry,,,,
obviousbench.char_count.en.v0.public.000054,p03,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.ordering.en.v0.public.000048,p03,,,,,normalized_list_v0,"-3, -1, 0, 4",,,,
obviousbench.word_count.en.v0.public.000015,p03,,,,,word_count_v0,4,,,,
obviousbench.format.en.v0.public.000008,p03,,,,,json_exact_field_v0,3,,,,
obviousbench.negation.en.v0.public.000034,p04,,,,,exact_string_trim_v0,July,,,,
obviousbench.constraint.en.v0.public.000036,p04,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.char_count.en.v0.public.000046,p04,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.ordering.en.v0.public.000045,p04,,,,,normalized_list_v0,"blue, green, red",,,,
obviousbench.word_count.en.v0.public.000024,p04,,,,,word_count_v0,4,,,,
obviousbench.arith.en.v0.public.000022,p04,,,,,exact_string_trim_v0,7.2,,,,
obviousbench.arith.en.v0.public.000026,p04,,,,,exact_integer_extract_first_v0,126,,,,
obviousbench.spell.en.v0.public.000022,p04,,,,,exact_string_trim_v0,paralll,,,,
obviousbench.format.en.v0.public.000026,p04,,,,,json_exact_field_v0,3,,,,
obviousbench.char_count.en.v0.public.000057,p04,,,,,exact_integer_extract_first_v0,2,,,,
obviousbench.spell.en.v0.public.000005,p04,,,,,exact_string_trim_v0,ncssary,,,,
obviousbench.word_count.en.v0.public.000015,p04,,,,,word_count_v0,4,,,,
obviousbench.negation.en.v0.public.000031,p04,,,,,exact_string_trim_v0,plum,,,,
obviousbench.ordering.en.v0.public.000025,p04,,,,,normalized_list_v0,"blue, green, red",,,,
obviousbench.arith.en.v0.public.000007,p04,,,,,exact_integer_extract_first_v0,22,,,,
obviousbench.negation.en.v0.public.000032,p04,,,,,exact_string_trim_v0,paper,,,,
obviousbench.ordering.en.v0.public.000050,p04,,,,,normalized_list_v0,"5.05, 5.15, 5.5",,,,
obviousbench.format.en.v0.public.000008,p04,,,,,json_exact_field_v0,3,,,,
obviousbench.word_count.en.v0.public.000070,p04,,,,,word_count_v0,4,,,,
obviousbench.format.en.v0.public.000020,p04,,,,,json_exact_field_v0,3,,,,
obviousbench.ordering.en.v0.public.000046,p04,,,,,normalized_list_v0,"1, 2, 7, 10",,,,
obviousbench.word_count.en.v0.public.000036,p04,,,,,word_count_v0,4,,,,
obviousbench.arith.en.v0.public.000025,p04,,,,,exact_integer_extract_first_v0,210,,,,
obviousbench.char_count.en.v0.public.000054,p04,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.ordering.en.v0.public.000036,p04,,,,,normalized_list_v0,"apple, banana, pear",,,,
obviousbench.ordering.en.v0.public.000047,p04,,,,,normalized_list_v0,"3.01, 3.1, 3.2",,,,
obviousbench.negation.en.v0.public.000019,p04,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.ordering.en.v0.public.000012,p04,,,,,normalized_list_v0,"cap, car, cat",,,,
obviousbench.constraint.en.v0.public.000038,p04,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.word_count.en.v0.public.000045,p04,,,,,word_count_v0,4,,,,
obviousbench.spell.en.v0.public.000002,p04,,,,,exact_string_trim_v0,strawbrry,,,,
obviousbench.format.en.v0.public.000050,p04,,,,,json_exact_field_v0,true,,,,
obviousbench.spell.en.v0.public.000017,p04,,,,,exact_string_trim_v0,orang,,,,
obviousbench.char_count.en.v0.public.000040,p04,,,,,exact_integer_extract_first_v0,3,,,,
obviousbench.constraint.en.v0.public.000003,p04,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.char_count.en.v0.public.000038,p04,,,,,exact_integer_extract_first_v0,2,,,,
obviousbench.negation.en.v0.public.000018,p04,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.constraint.en.v0.public.000008,p04,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.negation.en.v0.public.000033,p04,,,,,exact_string_trim_v0,circle,,,,
obviousbench.char_count.en.v0.public.000062,p04,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.negation.en.v0.public.000020,p04,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.arith.en.v0.public.000021,p04,,,,,exact_string_trim_v0,9.9,,,,
obviousbench.arith.en.v0.public.000020,p04,,,,,exact_integer_extract_first_v0,47,,,,
obviousbench.spell.en.v0.public.000025,p04,,,,,exact_string_trim_v0,bookkpr,,,,
obviousbench.spell.en.v0.public.000014,p04,,,,,exact_string_trim_v0,plant,,,,
obviousbench.word_count.en.v0.public.000042,p04,,,,,word_count_v0,4,,,,
obviousbench.constraint.en.v0.public.000032,p04,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.word_count.en.v0.public.000033,p04,,,,,word_count_v0,4,,,,
obviousbench.negation.en.v0.public.000035,p04,,,,,exact_string_trim_v0,9,,,,
obviousbench.format.en.v0.public.000028,p04,,,,,json_exact_field_v0,3,,,,
obviousbench.ordering.en.v0.public.000055,p04,,,,,normalized_list_v0,"beige, black, blue, brown",,,,
obviousbench.char_count.en.v0.public.000030,p04,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.word_count.en.v0.public.000052,p04,,,,,word_count_v0,5,,,,
obviousbench.ordering.en.v0.public.000048,p04,,,,,normalized_list_v0,"-3, -1, 0, 4",,,,
obviousbench.format.en.v0.public.000046,p04,,,,,json_exact_field_v0,blue,,,,
obviousbench.constraint.en.v0.public.000028,p04,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.spell.en.v0.public.000015,p04,,,,,exact_string_trim_v0,pl@net,,,,
obviousbench.constraint.en.v0.public.000033,p04,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.format.en.v0.public.000030,p04,,,,,json_exact_field_v0,3,,,,
obviousbench.arith.en.v0.public.000024,p04,,,,,exact_string_trim_v0,4.827,,,,
obviousbench.arith.en.v0.public.000027,p04,,,,,exact_string_trim_v0,0.75,,,,
obviousbench.arith.en.v0.public.000023,p04,,,,,exact_string_trim_v0,3.5,,,,
obviousbench.constraint.en.v0.public.000025,p04,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.format.en.v0.public.000049,p04,,,,,json_exact_field_v0,north,,,,
obviousbench.spell.en.v0.public.000008,p04,,,,,exact_string_trim_v0,sntnc,,,,
obviousbench.negation.en.v0.public.000016,p04,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.format.en.v0.public.000047,p04,,,,,json_exact_field_v0,17,,,,
obviousbench.word_count.en.v0.public.000027,p04,,,,,word_count_v0,4,,,,
