item_id,participant_id,answer,seconds,correct,notes
obviousbench.word_count.en.v0.public.000070,p02,,,,
obviousbench.spell.en.v0.public.000017,p02,,,,
obviousbench.spell.en.v0.public.000014,p02,,,,
obviousbench.ordering.en.v0.public.000050,p02,,,,
obviousbench.format.en.v0.public.000046,p02,,,,
obviousbench.negation.en.v0.public.000012,p02,,,,
obviousbench.char_count.en.v0.public.000054,p02,,,,
obviousbench.spell.en.v0.public.000005,p02,,,,
obviousbench.format.en.v0.public.000026,p02,,,,
obviousbench.spell.en.v0.public.000022,p02,,,,
obviousbench.constraint.en.v0.public.000028,p02,,,,
obviousbench.negation.en.v0.public.000019,p02,,,,
obviousbench.char_count.en.v0.public.000046,p02,,,,
obviousbench.format.en.v0.public.000028,p02,,,,
obviousbench.constraint.en.v0.public.000040,p02,,,,
obviousbench.word_count.en.v0.public.000027,p02,,,,
obviousbench.arith.en.v0.public.000024,p02,,,,
obviousbench.constraint.en.v0.public.000036,p02,,,,
obviousbench.arith.en.v0.public.000020,p02,,,,
obviousbench.ordering.en.v0.public.000025,p02,,,,
obviousbench.char_count.en.v0.public.000057,p02,,,,
obviousbench.word_count.en.v0.public.000045,p02,,,,
obviousbench.ordering.en.v0.public.000036,p02,,,,
obviousbench.word_count.en.v0.public.000036,p02,,,,
obviousbench.word_count.en.v0.public.000051,p02,,,,
obviousbench.constraint.en.v0.public.000025,p02,,,,
obviousbench.word_count.en.v0.public.000024,p02,,,,
obviousbench.format.en.v0.public.000049,p02,,,,
obviousbench.negation.en.v0.public.000016,p02,,,,
obviousbench.char_count.en.v0.public.000008,p02,,,,
obviousbench.constraint.en.v0.public.000038,p02,,,,
obviousbench.negation.en.v0.public.000020,p02,,,,
obviousbench.char_count.en.v0.public.000030,p03,,,,
obviousbench.negation.en.v0.public.000016,p03,,,,
obviousbench.ordering.en.v0.public.000055,p03,,,,
obviousbench.spell.en.v0.public.000028,p03,,,,
obviousbench.negation.en.v0.public.000020,p03,,,,
obviousbench.spell.en.v0.public.000025,p03,,,,
obviousbench.word_count.en.v0.public.000036,p03,,,,
obviousbench.format.en.v0.public.000048,p03,,,,
obviousbench.char_count.en.v0.public.000029,p03,,,,
obviousbench.format.en.v0.public.000047,p03,,,,
obviousbench.char_count.en.v0.public.000040,p03,,,,
obviousbench.format.en.v0.public.000046,p03,,,,
obviousbench.char_count.en.v0.public.000008,p03,,,,
obviousbench.spell.en.v0.public.000005,p03,,,,
obviousbench.arith.en.v0.public.000023,p03,,,,
obviousbench.ordering.en.v0.public.000047,p03,,,,
obviousbench.ordering.en.v0.public.000012,p03,,,,
obviousbench.ordering.en.v0.public.000045,p03,,,,
obviousbench.word_count.en.v0.public.000045,p03,,,,
obviousbench.negation.en.v0.public.000012,p03,,,,
obviousbench.ordering.en.v0.public.000025,p03,,,,
obviousbench.arith.en.v0.public.000028,p03,,,,
obviousbench.constraint.en.v0.public.000038,p03,,,,
obviousbench.constraint.en.v0.public.000040,p03,,,,
obviousbench.arith.en.v0.public.000022,p03,,,,
obviousbench.negation.en.v0.public.000035,p03,,,,
obviousbench.arith.en.v0.public.000020,p03,,,,
obviousbench.constraint.en.v0.public.000028,p03,,,,
obviousbench.word_count.en.v0.public.000027,p03,,,,
obviousbench.word_count.en.v0.public.000033,p03,,,,
obviousbench.ordering.en.v0.public.000050,p03,,,,
obviousbench.char_count.en.v0.public.000038,p03,,,,
obviousbench.char_count.en.v0.public.000062,p03,,,,
obviousbench.spell.en.v0.public.000014,p03,,,,
obviousbench.char_count.en.v0.public.000046,p03,,,,
obviousbench.constraint.en.v0.public.000021,p03,,,,
obviousbench.word_count.en.v0.public.000042,p03,,,,
obviousbench.word_count.en.v0.public.000052,p03,,,,
obviousbench.constraint.en.v0.public.000008,p03,,,,
obviousbench.format.en.v0.public.000049,p03,,,,
obviousbench.constraint.en.v0.public.000025,p03,,,,
obviousbench.negation.en.v0.public.000018,p03,,,,
obviousbench.arith.en.v0.public.000021,p03,,,,
obviousbench.spell.en.v0.public.000017,p03,,,,
obviousbench.negation.en.v0.public.000031,p03,,,,
obviousbench.word_count.en.v0.public.000051,p03,,,,
obviousbench.arith.en.v0.public.000007,p03,,,,
obviousbench.word_count.en.v0.public.000070,p03,,,,
obviousbench.format.en.v0.public.000026,p03,,,,
obviousbench.format.en.v0.public.000050,p03,,,,
obviousbench.constraint.en.v0.public.000036,p03,,,,
obviousbench.spell.en.v0.public.000015,p03,,,,
obviousbench.negation.en.v0.public.000032,p03,,,,
obviousbench.spell.en.v0.public.000008,p03,,,,
obviousbench.arith.en.v0.public.000025,p03,,,,
obviousbench.format.en.v0.public.000020,p03,,,,
obviousbench.negation.en.v0.public.000019,p03,,,,
obviousbench.spell.en.v0.public.000022,p03,,,,
obviousbench.format.en.v0.public.000030,p03,,,,
obviousbench.constraint.en.v0.public.000003,p03,,,,
obviousbench.ordering.en.v0.public.000046,p03,,,,
obviousbench.char_count.en.v0.public.000057,p03,,,,
obviousbench.negation.en.v0.public.000033,p03,,,,
obviousbench.word_count.en.v0.public.000024,p03,,,,
obviousbench.char_count.en.v0.public.000017,p03,,,,
obviousbench.arith.en.v0.public.000026,p03,,,,
obviousbench.negation.en.v0.public.000034,p03,,,,
obviousbench.format.en.v0.public.000028,p03,,,,
obviousbench.arith.en.v0.public.000027,p03,,,,
obviousbench.ordering.en.v0.public.000049,p03,,,,
obviousbench.spell.en.v0.public.000020,p03,,,,
obviousbench.arith.en.v0.public.000024,p03,,,,
obviousbench.ordering.en.v0.public.000036,p03,,,,
obviousbench.constraint.en.v0.public.000033,p03,,,,
obviousbench.constraint.en.v0.public.000032,p03,,,,
obviousbench.spell.en.v0.public.000002,p03,,,,
obviousbench.char_count.en.v0.public.000054,p03,,,,
obviousbench.ordering.en.v0.public.000048,p03,,,,
obviousbench.word_count.en.v0.public.000015,p03,,,,
obviousbench.format.en.v0.public.000008,p03,,,,
obviousbench.negation.en.v0.public.000034,p04,,,,
obviousbench.constraint.en.v0.public.000036,p04,,,,
obviousbench.char_count.en.v0.public.000046,p04,,,,
obviousbench.ordering.en.v0.public.000045,p04,,,,
obviousbench.word_count.en.v0.public.000024,p04,,,,
obviousbench.arith.en.v0.public.000022,p04,,,,
obviousbench.arith.en.v0.public.000026,p04,,,,
obviousbench.spell.en.v0.public.000022,p04,,,,
obviousbench.format.en.v0.public.000026,p04,,,,
obviousbench.char_count.en.v0.public.000057,p04,,,,
obviousbench.spell.en.v0.public.000005,p04,,,,
obviousbench.word_count.en.v0.public.000015,p04,,,,
obviousbench.negation.en.v0.public.000031,p04,,,,
obviousbench.ordering.en.v0.public.000025,p04,,,,
obviousbench.arith.en.v0.public.000007,p04,,,,
obviousbench.negation.en.v0.public.000032,p04,,,,
obviousbench.ordering.en.v0.public.000050,p04,,,,
obviousbench.format.en.v0.public.000008,p04,,,,
obviousbench.word_count.en.v0.public.000070,p04,,,,
obviousbench.format.en.v0.public.000020,p04,,,,
obviousbench.ordering.en.v0.public.000046,p04,,,,
obviousbench.word_count.en.v0.public.000036,p04,,,,
obviousbench.arith.en.v0.public.000025,p04,,,,
obviousbench.char_count.en.v0.public.000054,p04,,,,
obviousbench.ordering.en.v0.public.000036,p04,,,,
obviousbench.ordering.en.v0.public.000047,p04,,,,
obviousbench.negation.en.v0.public.000019,p04,,,,
obviousbench.ordering.en.v0.public.000012,p04,,,,
obviousbench.constraint.en.v0.public.000038,p04,,,,
obviousbench.word_count.en.v0.public.000045,p04,,,,
obviousbench.spell.en.v0.public.000002,p04,,,,
obviousbench.format.en.v0.public.000050,p04,,,,
obviousbench.spell.en.v0.public.000017,p04,,,,
obviousbench.char_count.en.v0.public.000040,p04,,,,
obviousbench.constraint.en.v0.public.000003,p04,,,,
obviousbench.char_count.en.v0.public.000038,p04,,,,
obviousbench.negation.en.v0.public.000018,p04,,,,
obviousbench.constraint.en.v0.public.000008,p04,,,,
obviousbench.negation.en.v0.public.000033,p04,,,,
obviousbench.char_count.en.v0.public.000062,p04,,,,
obviousbench.negation.en.v0.public.000020,p04,,,,
obviousbench.arith.en.v0.public.000021,p04,,,,
obviousbench.arith.en.v0.public.000020,p04,,,,
obviousbench.spell.en.v0.public.000025,p04,,,,
obviousbench.spell.en.v0.public.000014,p04,,,,
obviousbench.word_count.en.v0.public.000042,p04,,,,
obviousbench.constraint.en.v0.public.000032,p04,,,,
obviousbench.word_count.en.v0.public.000033,p04,,,,
obviousbench.negation.en.v0.public.000035,p04,,,,
obviousbench.format.en.v0.public.000028,p04,,,,
obviousbench.ordering.en.v0.public.000055,p04,,,,
obviousbench.char_count.en.v0.public.000030,p04,,,,
obviousbench.word_count.en.v0.public.000052,p04,,,,
obviousbench.ordering.en.v0.public.000048,p04,,,,
obviousbench.format.en.v0.public.000046,p04,,,,
obviousbench.constraint.en.v0.public.000028,p04,,,,
obviousbench.spell.en.v0.public.000015,p04,,,,
obviousbench.constraint.en.v0.public.000033,p04,,,,
obviousbench.format.en.v0.public.000030,p04,,,,
obviousbench.arith.en.v0.public.000024,p04,,,,
obviousbench.arith.en.v0.public.000027,p04,,,,
obviousbench.arith.en.v0.public.000023,p04,,,,
obviousbench.constraint.en.v0.public.000025,p04,,,,
obviousbench.format.en.v0.public.000049,p04,,,,
obviousbench.spell.en.v0.public.000008,p04,,,,
obviousbench.negation.en.v0.public.000016,p04,,,,
obviousbench.format.en.v0.public.000047,p04,,,,
obviousbench.word_count.en.v0.public.000027,p04,,,,
obviousbench.char_count.en.v0.public.000008,p04,,,,
obviousbench.negation.en.v0.public.000012,p04,,,,
obviousbench.ordering.en.v0.public.000049,p04,,,,
obviousbench.arith.en.v0.public.000028,p04,,,,
obviousbench.spell.en.v0.public.000028,p04,,,,
obviousbench.char_count.en.v0.public.000029,p04,,,,
obviousbench.constraint.en.v0.public.000040,p04,,,,
obviousbench.char_count.en.v0.public.000017,p04,,,,
obviousbench.format.en.v0.public.000048,p04,,,,
obviousbench.word_count.en.v0.public.000051,p04,,,,
obviousbench.spell.en.v0.public.000020,p04,,,,
obviousbench.constraint.en.v0.public.000021,p04,,,,
obviousbench.format.en.v0.public.000028,p05,,,,
obviousbench.format.en.v0.public.000047,p05,,,,
obviousbench.spell.en.v0.public.000002,p05,,,,
obviousbench.negation.en.v0.public.000031,p05,,,,
obviousbench.format.en.v0.public.000048,p05,,,,
obviousbench.word_count.en.v0.public.000027,p05,,,,
obviousbench.spell.en.v0.public.000028,p05,,,,
obviousbench.char_count.en.v0.public.000017,p05,,,,
obviousbench.word_count.en.v0.public.000052,p05,,,,
obviousbench.arith.en.v0.public.000026,p05,,,,
obviousbench.format.en.v0.public.000030,p05,,,,
obviousbench.word_count.en.v0.public.000051,p05,,,,
obviousbench.spell.en.v0.public.000020,p05,,,,
obviousbench.word_count.en.v0.public.000042,p05,,,,
obviousbench.arith.en.v0.public.000007,p05,,,,
obviousbench.constraint.en.v0.public.000025,p05,,,,
obviousbench.word_count.en.v0.public.000045,p05,,,,
obviousbench.word_count.en.v0.public.000024,p05,,,,
obviousbench.constraint.en.v0.public.000040,p05,,,,
obviousbench.format.en.v0.public.000008,p05,,,,
obviousbench.arith.en.v0.public.000023,p05,,,,
obviousbench.constraint.en.v0.public.000021,p05,,,,
obviousbench.spell.en.v0.public.000017,p05,,,,
obviousbench.spell.en.v0.public.000015,p05,,,,
obviousbench.negation.en.v0.public.000018,p05,,,,
obviousbench.negation.en.v0.public.000034,p05,,,,
obviousbench.arith.en.v0.public.000022,p05,,,,
obviousbench.ordering.en.v0.public.000048,p05,,,,
obviousbench.word_count.en.v0.public.000070,p05,,,,
obviousbench.constraint.en.v0.public.000003,p05,,,,
obviousbench.spell.en.v0.public.000008,p05,,,,
obviousbench.ordering.en.v0.public.000055,p05,,,,
obviousbench.arith.en.v0.public.000025,p05,,,,
obviousbench.format.en.v0.public.000020,p05,,,,
obviousbench.ordering.en.v0.public.000050,p05,,,,
obviousbench.spell.en.v0.public.000014,p05,,,,
obviousbench.negation.en.v0.public.000033,p05,,,,
obviousbench.char_count.en.v0.public.000054,p05,,,,
obviousbench.constraint.en.v0.public.000033,p05,,,,
obviousbench.spell.en.v0.public.000022,p05,,,,
obviousbench.negation.en.v0.public.000012,p05,,,,
obviousbench.ordering.en.v0.public.000012,p05,,,,
obviousbench.char_count.en.v0.public.000040,p05,,,,
obviousbench.format.en.v0.public.000050,p05,,,,
obviousbench.arith.en.v0.public.000021,p05,,,,
obviousbench.char_count.en.v0.public.000030,p05,,,,
obviousbench.word_count.en.v0.public.000033,p05,,,,
obviousbench.format.en.v0.public.000026,p05,,,,
obviousbench.negation.en.v0.public.000032,p05,,,,
obviousbench.char_count.en.v0.public.000038,p05,,,,
obviousbench.arith.en.v0.public.000028,p05,,,,
obviousbench.negation.en.v0.public.000016,p05,,,,
obviousbench.char_count.en.v0.public.000046,p05,,,,
obviousbench.ordering.en.v0.public.000045,p05,,,,
obviousbench.format.en.v0.public.000046,p05,,,,
obviousbench.ordering.en.v0.public.000046,p05,,,,
obviousbench.constraint.en.v0.public.000038,p05,,,,
obviousbench.ordering.en.v0.public.000025,p05,,,,
obviousbench.arith.en.v0.public.000027,p05,,,,
obviousbench.negation.en.v0.public.000035,p05,,,,
obviousbench.negation.en.v0.public.000019,p05,,,,
obviousbench.word_count.en.v0.public.000015,p05,,,,
obviousbench.negation.en.v0.public.000020,p05,,,,
obviousbench.arith.en.v0.public.000024,p05,,,,
obviousbench.ordering.en.v0.public.000047,p05,,,,
obviousbench.char_count.en.v0.public.000062,p05,,,,
obviousbench.constraint.en.v0.public.000028,p05,,,,
obviousbench.word_count.en.v0.public.000036,p05,,,,
obviousbench.constraint.en.v0.public.000032,p05,,,,
obviousbench.ordering.en.v0.public.000036,p05,,,,
obviousbench.spell.en.v0.public.000005,p05,,,,
obviousbench.char_count.en.v0.public.000008,p05,,,,
obviousbench.format.en.v0.public.000049,p05,,,,
obviousbench.constraint.en.v0.public.000036,p05,,,,
obviousbench.char_count.en.v0.public.000057,p05,,,,
obviousbench.spell.en.v0.public.000025,p05,,,,
obviousbench.ordering.en.v0.public.000049,p05,,,,
obviousbench.char_count.en.v0.public.000029,p05,,,,
obviousbench.arith.en.v0.public.000020,p05,,,,
obviousbench.constraint.en.v0.public.000008,p05,,,,
